t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.252270,-53.4375,-88.7695,-88.7695,112,5
0.254297,-54.6680,-88.2422,-88.2422,112,5
0.256291,-55.5469,-87.8906,-87.8906,111,5
0.258288,-56.7773,-87.3633,-87.3633,111,5
0.260285,-57.6562,-87.0117,-87.0117,111,5
0.262285,-58.8867,-86.6602,-86.6602,110,5
0.264285,-59.9414,-86.1328,-86.1328,110,5
0.266285,-60.9961,-85.7812,-85.7812,110,5
0.268285,-62.0508,-85.4297,-85.4297,109,5
0.270285,-63.1055,-85.2539,-85.2539,109,5
0.272285,-64.1602,-84.7266,-84.7266,109,5
0.274285,-65.2148,-84.5508,-84.5508,108,5
0.279481,-68.0273,-83.8477,-83.8477,108,5
0.279857,-68.2031,-83.6719,-83.6719,107,5
0.280245,-68.5547,-83.6719,-83.6719,107,5
0.282312,-69.6094,-83.3203,-83.3203,107,5
0.284320,-70.6641,-83.1445,-83.1445,107,5
0.286305,-71.7188,-82.9688,-82.9688,106,5
0.288299,-72.9492,-82.7930,-82.7930,106,5
0.290295,-74.0039,-82.6172,-82.6172,105,5
0.292289,-75.0586,-82.4414,-82.4414,105,5
0.294285,-76.2891,-82.2656,-82.2656,105,5
0.296285,-77.3438,-82.0898,-82.0898,104,5
0.298285,-78.3984,-81.9141,-81.9141,104,5
0.300285,-79.6289,-81.9141,-81.9141,104,5
0.302285,-80.6836,-81.7383,-81.7383,103,5
0.304285,-81.9141,-81.7383,-81.7383,103,5
0.306286,-82.9688,-81.7383,-81.7383,102,5
0.308285,-84.0234,-81.5625,-81.5625,102,5
0.310285,-85.2539,-81.5625,-81.5625,101,5
0.312285,-86.3086,-81.5625,-81.5625,101,5
0.314285,-87.5391,-81.5625,-81.5625,101,5
0.316285,-88.5938,-81.5625,-81.5625,100,5
0.318285,-89.8242,-81.5625,-81.5625,100,5
0.320285,-90.8789,-81.7383,-81.7383,99,5
0.322285,-92.1094,-81.7383,-81.7383,58,5
0.324280,-93.1641,-81.9141,-81.9141,57,5
0.326277,-94.3945,-81.9141,-81.9141,57,5
0.328277,-95.4492,-82.0898,-82.0898,0,0
0.330264,-96.6797,-82.2656,-82.2656,0,0
0.332318,-97.7344,-82.4414,-82.4414,0,0
0.334290,-98.9648,-82.6172,-82.6172,0,0
0.336264,-100.0195,-82.9688,-82.9688,0,0
0.338318,-101.0742,-83.1445,-83.1445,0,0
0.340290,-102.1289,-83.3203,-83.3203,0,0
0.342264,-103.3594,-83.6719,-83.6719,0,0
0.344318,-104.4141,-83.8477,-83.8477,0,0
0.346290,-105.4688,-84.1992,-84.1992,0,0
0.348264,-106.5234,-84.5508,-84.5508,0,0
0.350318,-107.5781,-84.9023,-84.9023,0,0
0.352304,-108.6328,-85.2539,-85.2539,0,0
0.354280,-109.6875,-85.7812,-85.7812,0,0
0.356253,-110.7422,-86.1328,-86.1328,0,0
0.358307,-111.7969,-86.4844,-86.4844,0,0
0.360286,-112.8516,-87.0117,-87.0117,0,0
0.362258,-113.9062,-87.5391,-87.5391,0,0
0.364316,-114.7852,-88.0664,-88.0664,0,0
0.366288,-115.8398,-88.5938,-88.5938,0,0
0.368259,-116.8945,-88.9453,-88.9453,0,0
0.370315,-117.9492,-89.6484,-89.6484,0,0
0.372288,-118.8281,-90.1758,-90.1758,0,0
0.374259,-119.8828,-90.7031,-90.7031,0,0
0.379039,-122.1680,-92.2852,-92.2852,0,0
0.379323,-122.1680,-92.4609,-92.4609,0,0
0.380318,-122.6953,-92.8125,-92.8125,0,0
0.382294,-123.5742,-93.5156,-93.5156,0,0
0.384311,-124.4531,-94.2188,-94.2188,0,0
0.386285,-125.5078,-94.9219,-94.9219,0,0
0.388258,-126.3867,-95.6250,-95.6250,0,0
0.390317,-127.2656,-96.5039,-96.5039,0,0
0.392316,-128.1445,-97.2070,-97.2070,0,0
0.394292,-129.0234,-98.0859,-98.0859,0,0
0.396270,-129.9023,-98.7891,-98.7891,0,0
0.398245,-130.7812,-99.6680,-99.6680,0,0
0.400300,-131.4844,-100.7227,-100.7227,0,0
0.402277,-132.3633,-101.6016,-101.6016,0,0
0.404254,-133.2422,-102.4805,-102.4805,0,0
0.406308,-133.9453,-103.3594,-103.3594,0,0
0.408285,-134.8242,-104.5898,-104.5898,0,0
0.410258,-135.0000,-105.8203,-105.8203,0,0
0.412316,-134.6484,-107.7539,-107.7539,0,0
0.414288,-134.1211,-109.8633,-109.8633,0,0
0.416259,-133.5938,-111.4453,-111.4453,0,0
0.418315,-133.4180,-113.2031,-113.2031,0,0
0.420288,-132.8906,-115.1367,-115.1367,0,0
0.422259,-132.3633,-117.0703,-117.0703,0,0
0.424315,-131.8359,-119.1797,-119.1797,0,0
0.426288,-131.1328,-121.4648,-121.4648,0,0
0.428259,-130.4297,-123.7500,-123.7500,0,0
0.430315,-129.7266,-126.2109,-126.2109,0,0
0.432288,-128.8477,-128.6719,-128.6719,0,0
0.434259,-128.1445,-131.1328,-131.1328,0,0
0.436315,-127.2656,-133.5938,-133.5938,0,0
0.438288,-126.5625,-135.8789,-135.8789,0,0
0.440246,-125.6836,-138.3398,-138.3398,0,0
0.442273,-124.8047,-140.9766,-140.9766,0,0
0.444246,-123.9258,-143.4375,-143.4375,0,0
0.446322,-122.8711,-146.2500,-146.2500,0,0
0.448277,-121.8164,-148.8867,-148.8867,0,0
0.450281,-120.7617,-151.5234,-151.5234,0,0
0.452271,-119.7070,-154.1602,-154.1602,0,0
0.454244,-118.6523,-156.7969,-156.7969,0,0
0.456307,-117.5977,-159.6094,-159.6094,0,0
0.458285,-116.7188,-162.2461,-162.2461,0,0
0.460296,-115.6641,-164.8828,-164.8828,0,0
0.462285,-114.7852,-167.3438,-167.3438,0,0
0.464303,-113.9062,-169.8047,-169.8047,0,0
0.466284,-113.2031,-172.2656,-172.2656,0,0
0.468256,-112.5000,-174.3750,-174.3750,0,0
0.470311,-111.7969,-176.8359,-176.8359,0,0
0.472285,-111.0938,-178.9453,-178.9453,0,0
0.474258,-110.5664,178.9453,-181.0547,0,0
0.479254,-108.9844,173.3203,-186.6797,0,0
0.479569,-108.9844,172.9688,-187.0312,0,0
0.480294,-108.8086,172.2656,-187.7344,0,0
0.482271,-108.2812,170.1562,-189.8438,0,0
0.484314,-107.9297,168.2227,-191.7773,0,0
0.486336,-107.5781,166.2891,-193.7109,0,0
0.488245,-107.2266,164.5312,-195.4688,0,0
0.490267,-106.8750,162.7734,-197.2266,0,0
0.494556,-106.1719,158.5547,-201.4453,0,0
0.495097,-106.1719,158.2031,-201.7969,0,0
0.496307,-106.1719,157.1484,-202.8516,0,0
0.498277,-105.8203,155.2148,-204.7852,0,0
0.500294,-105.6445,153.8086,-206.1914,0,0
0.502289,-105.4688,152.4023,-207.5977,0,0
0.504284,-105.2930,150.8203,-209.1797,0,0
0.506320,-105.1172,149.0625,-210.9375,0,0
0.508315,-105.1172,147.4805,-212.5195,0,0
0.510262,-104.9414,146.0742,-213.9258,0,0
0.512290,-104.7656,144.4922,-215.5078,0,0
0.514249,-104.7656,143.0859,-216.9141,0,0
0.516338,-104.7656,141.6797,-218.3203,0,0
0.518340,-104.7656,140.2734,-219.7266,0,0
0.520318,-104.5898,139.0430,-220.9570,0,0
0.522337,-104.5898,137.6367,-222.3633,0,0
0.524333,-104.5898,136.2305,-223.7695,0,0
0.526329,-104.5898,135.0000,-225.0000,0,0
0.528326,-104.5898,133.7695,-226.2305,0,0
0.530323,-104.5898,132.7148,-227.2852,0,0
0.532333,-104.5898,131.4844,-228.5156,0,0
0.534312,-104.5898,130.4297,-229.5703,0,0
0.536311,-104.7656,129.1992,-230.8008,0,0
0.538304,-104.7656,128.1445,-231.8555,0,0
0.540301,-104.7656,127.0898,-232.9102,0,0
0.542297,-104.7656,126.0352,-233.9648,0,0
0.544294,-104.9414,124.9805,-235.0195,0,0
0.546290,-104.9414,124.1016,-235.8984,0,0
0.548284,-105.1172,123.2227,-236.7773,0,0
0.550282,-105.1172,122.1680,-237.8320,0,0
0.552301,-105.2930,121.2891,-238.7109,0,0
0.554297,-105.2930,120.4102,-239.5898,0,0
0.556294,-105.4688,119.5312,-240.4688,0,0
0.558290,-105.4688,118.8281,-241.1719,0,0
0.560284,-105.4688,118.1250,-241.8750,0,0
0.562282,-105.6445,117.2461,-242.7539,0,0
0.564276,-105.8203,116.5430,-243.4570,0,0
0.566271,-105.8203,115.8398,-244.1602,0,0
0.568270,-105.9961,115.1367,-244.8633,0,0
0.570266,-105.9961,114.6094,-245.3906,0,0
0.572262,-106.1719,113.9062,-246.0938,0,0
0.574261,-106.1719,113.3789,-246.6211,0,0
0.579515,-106.5234,111.9727,-248.0273,0,0
0.579845,-106.5234,111.7969,-248.2031,0,0
0.580321,-106.5234,111.7969,-248.2031,0,0
0.582314,-106.5234,111.2695,-248.7305,0,0
0.584311,-106.6992,110.9180,-249.0820,0,0
0.586304,-106.6992,110.3906,-249.6094,0,0
0.588341,-106.8750,110.0391,-249.9609,0,0
0.590262,-106.8750,109.6875,-250.3125,0,0
0.592261,-106.8750,109.3359,-250.6641,0,0
0.594261,-107.0508,108.9844,-251.0156,0,0
0.596294,-107.0508,108.8086,-251.1914,0,0
0.598290,-107.2266,108.4570,-251.5430,0,0
0.600284,-107.2266,108.2812,-251.7188,0,0
0.602282,-107.2266,108.1055,-251.8945,0,0
0.604276,-107.4023,107.9297,-252.0703,0,0
