t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.217653,27.9492,-43.5938,-43.5938,117,5
0.219577,27.0703,-42.8906,-42.8906,117,5
0.221599,26.0156,-42.1875,-42.1875,117,5
0.223617,24.9609,-41.6602,-41.6602,118,5
0.225633,24.0820,-40.9570,-40.9570,118,5
0.227653,23.0273,-40.2539,-40.2539,118,5
0.229575,21.9727,-39.7266,-39.7266,118,5
0.231599,21.0938,-39.1992,-39.1992,118,5
0.233617,20.0391,-38.6719,-38.6719,118,5
0.235633,18.9844,-37.9688,-37.9688,118,5
0.237653,17.9297,-37.4414,-37.4414,118,5
0.239570,16.8750,-36.9141,-36.9141,119,5
0.241591,15.8203,-36.2109,-36.2109,119,5
0.243613,14.7656,-35.8594,-35.8594,119,5
0.245591,13.7109,-35.1562,-35.1562,119,5
0.247655,12.6562,-34.6289,-34.6289,119,5
0.249605,11.7773,-34.1016,-34.1016,119,5
0.251624,10.7227,-33.7500,-33.7500,119,5
0.253643,9.6680,-33.2227,-33.2227,119,5
0.255616,8.6133,-32.6953,-32.6953,119,5
0.257633,7.3828,-32.1680,-32.1680,119,5
0.259665,6.3281,-31.8164,-31.8164,119,5
0.262211,4.9219,-31.1133,-31.1133,119,5
0.265344,3.3398,-30.4102,-30.4102,119,5
0.265974,2.9883,-30.4102,-30.4102,119,5
0.267637,2.1094,-30.0586,-30.0586,119,5
0.269643,0.8789,-29.5312,-29.5312,119,5
0.271573,0.0000,-29.1797,-29.1797,119,5
0.273592,-1.2305,-28.8281,-28.8281,120,5
0.275567,-2.2852,-28.4766,-28.4766,119,5
0.277576,-3.5156,-28.1250,-28.1250,119,5
0.279641,-4.5703,-27.7734,-27.7734,119,5
0.281635,-5.6250,-27.4219,-27.4219,119,5
0.283572,-6.8555,-27.0703,-27.0703,119,5
0.285609,-7.9102,-26.7188,-26.7188,119,5
0.287626,-9.1406,-26.3672,-26.3672,119,5
0.289626,-10.3711,-26.1914,-26.1914,119,5
0.291626,-11.4258,-25.8398,-25.8398,119,5
0.293578,-12.6562,-25.6641,-25.6641,119,5
0.295595,-13.7109,-25.3125,-25.3125,119,5
0.297634,-14.9414,-25.1367,-25.1367,119,5
0.299634,-16.1719,-24.9609,-24.9609,119,5
0.301634,-17.4023,-24.6094,-24.6094,119,5
0.303634,-18.4570,-24.4336,-24.4336,119,5
0.305634,-19.6875,-24.2578,-24.2578,118,5
0.307634,-20.9180,-24.0820,-24.0820,118,5
0.309634,-22.1484,-23.9062,-23.9062,118,5
0.311634,-23.3789,-23.7305,-23.7305,118,5
0.313634,-24.6094,-23.5547,-23.5547,118,5
0.315634,-25.8398,-23.3789,-23.3789,118,5
0.317634,-27.0703,-23.3789,-23.3789,118,5
0.319634,-28.3008,-23.2031,-23.2031,117,5
0.321634,-29.5312,-23.0273,-23.0273,117,5
0.323634,-30.7617,-22.8516,-22.8516,117,5
0.325634,-32.1680,-22.8516,-22.8516,117,5
0.327634,-33.3984,-22.8516,-22.8516,116,5
0.329634,-34.6289,-22.6758,-22.6758,116,5
0.331634,-35.8594,-22.6758,-22.6758,116,5
0.333634,-37.2656,-22.6758,-22.6758,116,5
0.335634,-38.4961,-22.6758,-22.6758,115,5
0.337634,-39.9023,-22.5000,-22.5000,115,5
0.339634,-41.1328,-22.5000,-22.5000,115,5
0.341634,-42.5391,-22.5000,-22.5000,115,5
0.343634,-43.7695,-22.5000,-22.5000,114,5
0.345634,-45.1758,-22.5000,-22.5000,114,5
0.347634,-46.4062,-22.6758,-22.6758,114,5
0.349643,-47.8125,-22.6758,-22.6758,113,5
0.351638,-49.2188,-22.6758,-22.6758,113,5
0.353634,-50.6250,-22.6758,-22.6758,113,5
0.355634,-52.0312,-22.8516,-22.8516,112,5
0.357634,-53.2617,-22.8516,-22.8516,112,5
0.359634,-54.6680,-22.8516,-22.8516,112,5
0.361634,-56.0742,-23.0273,-23.0273,111,5
0.363634,-57.4805,-23.2031,-23.2031,111,5
0.365634,-58.7109,-23.3789,-23.3789,-110,5
0.367634,-60.1172,-23.5547,-23.5547,-110,5
0.369634,-61.5234,-23.5547,-23.5547,-110,5
0.371634,-62.7539,-23.9062,-23.9062,-109,5
0.373634,-64.1602,-24.0820,-24.0820,-109,5
0.375634,-65.3906,-24.2578,-24.2578,-108,5
0.377634,-66.7969,-24.4336,-24.4336,-108,5
0.379634,-68.0273,-24.7852,-24.7852,-107,5
0.381634,-69.2578,-24.9609,-24.9609,-107,5
0.383634,-70.4883,-25.3125,-25.3125,-107,5
0.385634,-71.7188,-25.6641,-25.6641,-106,5
0.387634,-72.9492,-26.0156,-26.0156,-106,5
0.389634,-74.1797,-26.3672,-26.3672,-105,5
0.391634,-75.2344,-26.7188,-26.7188,-105,5
0.393634,-76.4648,-27.0703,-27.0703,-105,5
0.395587,-77.5195,-27.5977,-27.5977,-104,5
0.397592,-78.7500,-28.1250,-28.1250,-104,5
0.399581,-79.8047,-28.4766,-28.4766,-103,5
0.401651,-80.8594,-29.0039,-29.0039,-103,5
0.403646,-81.9141,-29.7070,-29.7070,-103,5
0.405643,-82.9688,-30.2344,-30.2344,-102,5
0.407637,-84.0234,-30.7617,-30.7617,-102,5
0.409634,-85.0781,-31.2891,-31.2891,-101,5
0.411634,-85.9570,-31.9922,-31.9922,-101,5
0.413634,-87.0117,-32.6953,-32.6953,-101,5
0.415634,-87.8906,-33.3984,-33.3984,-100,5
0.417634,-88.9453,-34.1016,-34.1016,-100,5
0.419634,-89.8242,-34.8047,-34.8047,-100,5
0.421634,-90.7031,-35.5078,-35.5078,-99,5
0.423634,-91.7578,-36.3867,-36.3867,58,5
0.425629,-92.6367,-37.2656,-37.2656,57,5
0.427626,-93.3398,-37.9688,-37.9688,57,5
0.429626,-94.3945,-38.8477,-38.8477,57,5
0.431626,-95.0977,-39.7266,-39.7266,0,0
0.433607,-95.9766,-40.6055,-40.6055,0,0
0.435572,-96.8555,-41.4844,-41.4844,0,0
0.437637,-97.7344,-42.3633,-42.3633,0,0
0.439608,-98.4375,-43.4180,-43.4180,0,0
0.441571,-99.3164,-44.2969,-44.2969,0,0
0.443637,-100.1953,-45.3516,-45.3516,0,0
0.445608,-101.0742,-46.4062,-46.4062,0,0
0.447571,-101.7773,-47.2852,-47.2852,0,0
0.449641,-102.4805,-48.5156,-48.5156,0,0
0.451619,-103.3594,-49.5703,-49.5703,0,0
0.453592,-104.0625,-50.6250,-50.6250,0,0
0.455656,-104.7656,-51.6797,-51.6797,0,0
0.457634,-105.4688,-52.9102,-52.9102,0,0
0.459607,-106.1719,-53.9648,-53.9648,0,0
0.461572,-106.8750,-55.1953,-55.1953,0,0
0.463637,-107.5781,-56.4258,-56.4258,0,0
0.465608,-108.2812,-57.6562,-57.6562,0,0
0.467571,-108.9844,-58.8867,-58.8867,0,0
0.469637,-109.6875,-60.1172,-60.1172,0,0
0.471608,-110.2148,-61.5234,-61.5234,0,0
0.473571,-110.9180,-62.7539,-62.7539,0,0
0.475637,-111.4453,-64.1602,-64.1602,0,0
0.477608,-111.9727,-65.5664,-65.5664,0,0
0.479571,-112.5000,-66.9727,-66.9727,0,0
0.481637,-113.2031,-68.5547,-68.5547,0,0
0.483608,-113.7305,-69.9609,-69.9609,0,0
0.485600,-114.0820,-71.3672,-71.3672,0,0
0.487603,-114.6094,-72.9492,-72.9492,0,0
0.489570,-115.1367,-74.5312,-74.5312,0,0
0.491581,-115.4883,-76.1133,-76.1133,0,0
0.495370,-116.3672,-79.1016,-79.1016,0,0
0.495858,-116.3672,-79.4531,-79.4531,0,0
0.497622,-116.7188,-81.0352,-81.0352,0,0
0.499635,-117.0703,-82.6172,-82.6172,0,0
0.501638,-117.4219,-84.3750,-84.3750,0,0
0.503577,-117.7734,-85.9570,-85.9570,0,0
0.505571,-118.1250,-87.7148,-87.7148,0,0
0.507616,-118.3008,-89.4727,-89.4727,0,0
0.509612,-118.6523,-91.2305,-91.2305,0,0
0.511645,-118.8281,-92.9883,-92.9883,0,0
0.513710,-119.1797,-94.9219,-94.9219,0,0
0.515585,-119.3555,-96.5039,-96.5039,0,0
0.517615,-119.7070,-98.2617,-98.2617,0,0
0.519569,-119.8828,-100.0195,-100.0195,0,0
0.521658,-120.2344,-101.7773,-101.7773,0,0
0.523633,-120.4102,-103.5352,-103.5352,0,0
0.525610,-120.7617,-105.2930,-105.2930,0,0
0.527605,-120.9375,-107.0508,-107.0508,0,0
0.529600,-121.2891,-108.6328,-108.6328,0,0
0.531599,-121.4648,-110.3906,-110.3906,0,0
0.533599,-121.8164,-112.1484,-112.1484,0,0
0.535599,-122.1680,-113.7305,-113.7305,0,0
0.537599,-122.3438,-115.3125,-115.3125,0,0
