t_s,theta_deg,alpha_deg,alpha_raw_deg,pwm,mode
0.221568,52.0312,-45.3516,-45.3516,28,2
0.223612,51.8555,-45.5273,-45.5273,29,2
0.225560,51.6797,-45.7031,-45.7031,32,2
0.227600,51.3281,-45.8789,-45.8789,34,2
0.229635,51.3281,-46.0547,-46.0547,30,2
0.231579,50.9766,-46.2305,-46.2305,37,2
0.233621,50.8008,-46.4062,-46.4062,33,2
0.235568,50.6250,-46.5820,-46.5820,35,2
0.237606,50.4492,-46.9336,-46.9336,36,2
0.242346,50.0977,-47.4609,-47.4609,37,2
0.243422,49.9219,-47.6367,-47.6367,32,2
0.243781,49.9219,-47.8125,-47.8125,34,2
0.245574,49.9219,-47.9883,-47.9883,40,2
0.247582,49.5703,-48.3398,-48.3398,46,2
0.249585,49.5703,-48.6914,-48.6914,40,2
0.251563,49.3945,-48.8672,-48.8672,45,2
0.253580,49.2188,-49.2188,-49.2188,45,2
0.255604,49.0430,-49.5703,-49.5703,44,2
0.257564,49.0430,-49.9219,-49.9219,44,2
0.259617,48.8672,-50.2734,-50.2734,49,2
0.261571,48.6914,-50.8008,-50.8008,48,2
0.263612,48.5156,-51.1523,-51.1523,47,2
0.265557,48.5156,-51.5039,-51.5039,46,2
0.267562,48.3398,-52.0312,-52.0312,50,2
0.269603,48.1641,-52.3828,-52.3828,49,2
0.271567,48.1641,-52.7344,-52.7344,47,2
0.273612,47.9883,-53.2617,-53.2617,51,2
0.275601,47.8125,-53.6133,-53.6133,50,2
0.277615,47.8125,-54.1406,-54.1406,48,2
0.282227,47.4609,-55.1953,-55.1953,52,2
0.282688,47.4609,-55.1953,-55.1953,45,2
0.283557,47.4609,-55.5469,-55.5469,49,2
0.285597,47.2852,-55.8984,-55.8984,52,2
0.287585,47.1094,-56.4258,-56.4258,50,2
0.289602,47.1094,-56.9531,-56.9531,48,2
0.291635,46.9336,-57.3047,-57.3047,52,2
0.293567,46.7578,-57.8320,-57.8320,50,2
0.295605,46.7578,-58.3594,-58.3594,48,2
0.297551,46.5820,-58.7109,-58.7109,51,2
0.299584,46.4062,-59.2383,-59.2383,49,2
0.301571,46.4062,-59.7656,-59.7656,47,2
0.303626,46.2305,-60.2930,-60.2930,50,2
0.305571,46.0547,-60.8203,-60.8203,48,2
0.307607,45.8789,-61.1719,-61.1719,46,2
0.309554,45.7031,-61.6992,-61.6992,44,2
0.311620,45.7031,-62.2266,-62.2266,43,2
0.313567,45.5273,-62.7539,-62.7539,46,2
0.315620,45.3516,-63.2812,-63.2812,44,2
0.317566,45.1758,-63.6328,-63.6328,43,2
0.319625,45.1758,-64.1602,-64.1602,41,2
0.321627,45.0000,-64.6875,-64.6875,45,2
0.323571,44.8242,-65.2148,-65.2148,43,2
0.325628,44.6484,-65.5664,-65.5664,41,2
0.327605,44.4727,-66.0938,-66.0938,40,2
0.329571,44.4727,-66.6211,-66.6211,39,2
0.331562,44.2969,-67.1484,-67.1484,42,2
0.333607,44.1211,-67.5000,-67.5000,40,2
0.335581,43.9453,-68.0273,-68.0273,39,2
0.337581,43.7695,-68.5547,-68.5547,37,2
0.339580,43.5938,-68.9062,-68.9062,36,2
0.341593,43.4180,-69.4336,-69.4336,35,2
0.343611,43.2422,-69.9609,-69.9609,33,2
0.345608,43.0664,-70.3125,-70.3125,32,2
0.347634,42.8906,-70.8398,-70.8398,31,2
0.349575,42.8906,-71.1914,-71.1914,30,2
0.351576,42.7148,-71.7188,-71.7188,34,2
0.353601,42.5391,-72.0703,-72.0703,33,2
0.355600,42.3633,-72.5977,-72.5977,32,2
0.357600,42.1875,-72.9492,-72.9492,30,2
0.359600,42.0117,-73.3008,-73.3008,29,2
0.361600,41.8359,-73.8281,-73.8281,28,2
0.363600,41.6602,-74.1797,-74.1797,27,2
0.365618,41.4844,-74.7070,-74.7070,26,2
0.367621,41.1328,-75.0586,-75.0586,25,2
0.369621,40.9570,-75.4102,-75.4102,20,2
0.371621,40.7812,-75.7617,-75.7617,20,2
0.373621,40.6055,-76.1133,-76.1133,20,2
0.375621,40.4297,-76.6406,-76.6406,19,2
0.377621,40.2539,-76.8164,-76.8164,19,2
0.381791,39.7266,-77.5195,-77.5195,19,2
0.382142,39.7266,-77.6953,-77.6953,8,2
0.383621,39.5508,-77.8711,-77.8711,14,2
0.385621,39.3750,-78.2227,-78.2227,14,2
0.387621,39.1992,-78.5742,-78.5742,14,2
0.389621,39.0234,-78.9258,-78.9258,13,2
0.391621,38.6719,-79.1016,-79.1016,13,2
0.393621,38.4961,-79.4531,-79.4531,8,2
0.395621,38.3203,-79.8047,-79.8047,8,2
0.397621,38.1445,-79.9805,-79.9805,8,2
0.399621,37.7930,-80.3320,-80.3320,9,2
0.401621,37.6172,-80.5078,-80.5078,3,2
0.403621,37.4414,-80.8594,-80.8594,4,2
0.405621,37.0898,-81.0352,-81.0352,4,2
0.407621,36.9141,-81.2109,-81.2109,0,2
0.409621,36.7383,-81.3867,-81.3867,0,2
0.411621,36.3867,-81.7383,-81.7383,1,2
0.413621,36.2109,-81.9141,-81.9141,-1,2
0.415621,35.8594,-82.0898,-82.0898,0,2
0.417621,35.6836,-82.2656,-82.2656,-5,2
0.419621,35.3320,-82.4414,-82.4414,-3,2
0.421621,35.1562,-82.4414,-82.4414,-8,2
0.423621,34.8047,-82.6172,-82.6172,-6,2
0.425621,34.6289,-82.7930,-82.7930,-11,2
0.427621,34.4531,-82.9688,-82.9688,-9,2
0.429621,34.1016,-82.9688,-82.9688,-8,2
0.431621,33.7500,-83.1445,-83.1445,-12,2
0.433621,33.5742,-83.1445,-83.1445,-16,2
0.435621,33.2227,-83.3203,-83.3203,-14,2
0.437621,33.0469,-83.3203,-83.3203,-18,2
0.439621,32.6953,-83.4961,-83.4961,-16,2
0.441621,32.3438,-83.4961,-83.4961,-20,2
0.443621,32.1680,-83.4961,-83.4961,-23,2
0.445621,31.8164,-83.4961,-83.4961,-21,2
0.447621,31.4648,-83.6719,-83.6719,-25,2
0.449584,31.2891,-83.6719,-83.6719,-28,2
0.451592,30.9375,-83.6719,-83.6719,-25,2
0.453586,30.5859,-83.6719,-83.6719,-29,2
0.455578,30.2344,-83.4961,-83.4961,-32,2
0.457573,30.0586,-83.4961,-83.4961,-34,2
0.459573,29.7070,-83.4961,-83.4961,-32,2
0.461577,29.3555,-83.3203,-83.3203,-35,2
0.463572,29.0039,-83.3203,-83.3203,-37,2
0.465578,28.8281,-83.3203,-83.3203,-40,2
0.467577,28.4766,-83.1445,-83.1445,-37,2
0.469577,28.1250,-83.1445,-83.1445,-40,2
0.471576,27.7734,-82.9688,-82.9688,-42,2
0.473576,27.5977,-82.9688,-82.9688,-45,2
0.475575,27.2461,-82.7930,-82.7930,-42,2
0.477575,26.8945,-82.6172,-82.6172,-44,2
0.481738,26.3672,-82.4414,-82.4414,-47,2
0.482073,26.1914,-82.4414,-82.4414,-54,2
0.483633,26.0156,-82.2656,-82.2656,-51,2
0.485635,25.6641,-82.2656,-82.2656,-47,2
0.487635,25.4883,-81.9141,-81.9141,-50,2
0.489635,25.1367,-81.9141,-81.9141,-47,2
0.491635,24.7852,-81.7383,-81.7383,-50,2
0.493635,24.6094,-81.5625,-81.5625,-34,2
0.495635,24.2578,-81.3867,-81.3867,-34,2
0.497635,23.9062,-81.2109,-81.2109,-34,2
0.499635,23.7305,-81.0352,-81.0352,-34,2
0.501635,23.3789,-80.8594,-80.8594,-34,2
0.503635,23.2031,-80.6836,-80.6836,-34,2
0.505635,22.8516,-80.5078,-80.5078,-34,2
0.507635,22.5000,-80.3320,-80.3320,-34,2
0.509635,22.1484,-80.1562,-80.1562,-34,2
0.511635,21.9727,-79.8047,-79.8047,-34,2
0.513635,21.6211,-79.6289,-79.6289,-34,2
0.515635,21.2695,-79.4531,-79.4531,-34,2
0.517635,21.0938,-79.1016,-79.1016,-34,2
0.519635,20.7422,-78.9258,-78.9258,-34,2
0.521635,20.3906,-78.5742,-78.5742,0,2
0.523635,20.0391,-78.3984,-78.3984,0,2
0.525635,19.8633,-78.0469,-78.0469,0,2
0.527635,19.5117,-77.6953,-77.6953,0,2
0.529635,19.1602,-77.5195,-77.5195,0,2
0.531635,18.9844,-77.1680,-77.1680,-34,2
0.533635,18.6328,-76.8164,-76.8164,-34,2
0.535589,18.2812,-76.6406,-76.6406,-34,2
0.537595,17.9297,-76.2891,-76.2891,-34,2
0.539586,17.7539,-75.9375,-75.9375,-34,2
0.541582,17.4023,-75.5859,-75.5859,-34,2
0.543632,17.0508,-75.4102,-75.4102,-34,2
0.545623,16.8750,-75.0586,-75.0586,-34,2
0.547805,16.5234,-74.7070,-74.7070,-34,2
0.551462,15.9961,-74.0039,-74.0039,-34,2
0.551839,15.8203,-74.0039,-74.0039,-34,2
0.553646,15.6445,-73.8281,-73.8281,-34,2
0.555688,15.2930,-73.3008,-73.3008,-34,2
0.557614,14.9414,-73.1250,-73.1250,-34,2
0.559633,14.7656,-72.7734,-72.7734,-54,2
0.561633,14.4141,-72.4219,-72.4219,-54,2
0.563637,14.2383,-72.0703,-72.0703,-54,2
0.565606,14.0625,-71.7188,-71.7188,-54,2
0.567551,13.7109,-71.5430,-71.5430,-54,2
0.569575,13.5352,-71.1914,-71.1914,-54,2
0.571639,13.1836,-70.8398,-70.8398,-54,2
0.573602,13.0078,-70.6641,-70.6641,-54,2
0.575592,12.8320,-70.3125,-70.3125,-54,2
0.577615,12.6562,-69.9609,-69.9609,-54,2
0.582228,12.1289,-69.4336,-69.4336,-54,2
0.582638,12.1289,-69.4336,-69.4336,-54,2
0.583563,12.1289,-69.2578,-69.2578,-54,2
0.585593,11.9531,-69.0820,-69.0820,-54,2
0.587616,11.7773,-68.9062,-68.9062,-54,2
0.589644,11.6016,-68.5547,-68.5547,-54,2
0.591570,11.4258,-68.3789,-68.3789,-54,2
0.593593,11.2500,-68.2031,-68.2031,-54,2
0.595616,11.2500,-68.0273,-68.0273,-54,2
0.597644,11.0742,-67.8516,-67.8516,-54,2
0.599570,11.0742,-67.6758,-67.6758,-54,2
0.601596,10.8984,-67.5000,-67.5000,-54,2
0.603619,10.8984,-67.3242,-67.3242,-54,2
0.605644,10.7227,-67.1484,-67.1484,-54,2
0.607570,10.7227,-67.1484,-67.1484,-54,2
0.609596,10.7227,-66.9727,-66.9727,-54,2
0.611618,10.7227,-66.7969,-66.7969,-51,2
0.613644,10.7227,-66.7969,-66.7969,-48,2
0.615571,10.7227,-66.7969,-66.7969,-45,2
0.617596,10.7227,-66.6211,-66.6211,-43,2
0.619620,10.7227,-66.4453,-66.4453,-41,2
0.621644,10.7227,-66.4453,-66.4453,-39,2
0.623571,10.7227,-66.4453,-66.4453,-38,2
0.625596,10.7227,-66.2695,-66.2695,-36,2
0.627620,10.7227,-66.2695,-66.2695,-35,2
0.629644,10.7227,-66.2695,-66.2695,-34,2
0.631571,10.7227,-66.2695,-66.2695,-33,2
0.633596,10.7227,-66.0938,-66.0938,-32,2
0.635620,10.7227,-66.0938,-66.0938,-32,2
0.637644,10.8984,-66.0938,-66.0938,-31,2
0.639571,10.8984,-66.0938,-66.0938,-29,2
0.641597,10.8984,-66.0938,-66.0938,-29,2
0.643620,11.0742,-66.0938,-66.0938,-29,2
0.645644,11.0742,-66.0938,-66.0938,-29,2
0.647571,11.2500,-66.0938,-66.0938,-29,2
0.649597,11.2500,-66.0938,-66.0938,-16,2
0.651620,11.2500,-66.0938,-66.0938,-17,2
0.653644,11.4258,-66.0938,-66.0938,-18,2
0.655579,11.4258,-66.0938,-66.0938,-14,2
0.657551,11.4258,-66.0938,-66.0938,-15,2
0.659571,11.6016,-66.0938,-66.0938,-16,2
0.661618,11.6016,-66.0938,-66.0938,-12,2
0.663557,11.7773,-66.0938,-66.0938,-13,2
0.665560,11.7773,-66.0938,-66.0938,-9,2
0.667591,11.9531,-66.0938,-66.0938,-11,2
0.669614,11.9531,-66.0938,-66.0938,-7,2
0.671633,12.1289,-66.0938,-66.0938,-9,2
