t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,131.309,1.23,59,95.8,222
0.079,5,142.559,-8.789,59,95.8,222
0.1478,5,151.172,-31.992,58,94.2,222
0.2789,5,130.43,-37.09,-57,91.3,222
0.3457,5,97.207,-28.652,-58,84.8,222
0.4604,5,96.504,-24.258,59,88.2,222
0.5448,5,137.637,-40.957,57,90.2,222
0.6316,5,177.891,-56.074,-55,82.4,222
0.7048,4,173.145,-47.109,-66,82.4,18
0.7766,4,161.719,-17.93,69,99.2,96
0.8594,4,133.418,-3.164,69,126.5,168
0.9218,4,141.504,-8.965,-69,113.3,232
0.9896,4,170.332,-18.105,-69,113.3,313
1.0803,4,181.055,-7.031,69,111.2,400
1.1521,4,178.594,9.844,69,120.2,478
1.2399,4,177.539,18.984,62,70.5,548
1.3047,4,177.891,23.203,-69,70.5,618
1.3796,4,177.715,24.082,68,110.0,697
1.4534,4,178.418,19.512,69,119.7,771
1.5247,4,178.242,11.777,69,109.9,841
1.597,4,178.594,0.176,69,109.9,907
1.6638,4,179.297,-15.469,69,117.8,975
1.7297,4,180.0,-36.035,67,113.0,1047
1.8022,4,179.648,-61.348,64,113.0,1121
1.876,4,178.418,-85.254,59,106.2,1186
1.9488,0,169.98,-108.984,0,27.2,1214
