t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,113.555,11.074,59,96.1,318
0.0744,5,126.035,0.352,59,96.1,318
0.1532,5,136.055,-15.996,59,92.7,318
0.231,5,121.289,-30.41,-58,74.7,318
0.3222,5,89.297,-23.73,-59,84.3,318
0.3981,5,68.555,-17.93,-59,84.3,318
0.4718,5,77.695,-17.578,59,87.8,318
0.5387,5,124.805,-38.145,58,96.1,318
0.6122,5,163.652,-55.371,40,71.7,318
0.7,4,155.039,-53.789,23,43.9,318
0.7898,4,141.328,-32.344,0,43.9,318
0.8653,4,123.926,-15.645,24,27.9,318
0.961,4,126.738,-15.996,24,27.1,318
1.0249,4,137.812,-29.355,0,27.6,318
1.0897,4,191.426,-47.988,-42,58.6,51
1.1944,4,190.547,-42.363,66,58.6,124
1.2568,4,181.23,-33.047,-43,118.8,188
1.3371,4,158.203,-13.535,69,127.4,268
1.4019,4,151.699,-21.797,69,54.6,344
1.4812,4,171.035,-47.812,-42,54.6,412
1.5474,4,192.832,-67.5,-8,61.9,476
1.6212,4,190.898,-74.707,61,101.7,560
1.695,4,176.66,-76.465,61,101.7,624
1.7638,4,165.234,-83.672,59,101.0,692
1.8336,0,165.762,-100.547,0,91.9,750
