t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,110.566,7.91,59,88.9,338
0.0762,5,122.52,-1.055,59,88.9,338
0.1589,5,135.879,-18.457,59,96.8,338
0.2477,5,129.727,-32.871,-58,93.1,338
0.328,5,94.57,-27.246,-58,85.9,338
0.4068,5,69.961,-20.391,-59,89.9,338
0.4761,5,77.871,-18.281,59,96.0,338
0.5744,5,125.684,-38.145,57,96.0,338
0.6467,5,167.344,-55.547,-55,87.2,338
0.732,4,158.555,-53.789,65,80.5,34
0.8192,4,113.906,-43.77,66,114.0,118
0.8861,4,85.078,-46.055,66,111.1,188
0.9559,4,87.012,-68.73,62,111.1,264
1.0337,0,110.215,-102.832,0,92.3,318
