t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,129.199,4.131,59,96.5,582
0.0804,5,137.637,-3.604,59,96.5,582
0.1552,5,147.129,-18.896,59,94.4,582
0.227,5,144.844,-31.729,-50,91.0,582
0.3073,5,114.082,-28.564,-58,83.9,582
0.3795,5,89.648,-21.182,-59,83.9,582
0.4513,5,88.066,-17.139,59,87.1,582
0.5209,5,105.996,-24.346,59,93.0,582
0.5947,5,162.246,-49.658,56,87.2,582
0.6785,5,170.684,-52.646,-56,87.2,582
0.7473,4,146.777,-42.451,23,39.6,582
0.8271,4,100.371,-12.744,69,132.4,58
0.9235,4,97.031,-21.885,69,118.1,138
1.0038,4,126.211,-53.525,-42,63.5,212
1.0731,4,150.293,-73.037,-21,63.5,289
1.1506,4,146.25,-80.244,60,99.8,367
1.2344,4,121.816,-82.354,59,97.3,443
1.3012,4,104.238,-88.857,58,97.3,511
1.374,0,102.305,-103.271,0,91.4,543
