t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,4,173.496,11.426,0,27.2,750
0.0743,4,175.254,11.777,0,39.4,750
0.1459,4,175.078,13.008,0,27.1,750
0.2267,4,172.793,14.766,0,27.1,750
0.297,4,171.387,16.172,0,27.1,750
0.3862,4,172.266,16.172,69,27.1,18
0.463,4,174.023,15.645,69,116.8,80
0.5368,4,175.957,14.238,69,126.5,158
0.6057,4,177.363,11.777,69,126.5,226
0.6705,4,178.418,7.559,-69,121.3,288
0.7333,4,178.77,0.352,69,119.7,362
0.8155,4,179.297,-10.195,69,119.7,434
0.8845,4,180.0,-26.719,68,115.8,516
0.9662,4,180.703,-44.648,66,113.1,586
1.0485,4,180.352,-69.434,62,91.7,666
1.1203,4,177.715,-92.988,57,91.7,740
1.1867,0,165.586,-110.566,0,86.4,740
