t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,50.449,13.711,-13,29.2,369
0.1143,5,48.34,19.336,-59,29.2,369
0.19,5,39.902,33.223,-58,87.2,369
0.2588,5,34.805,50.801,-55,82.4,369
0.3356,5,44.121,62.578,54,87.5,369
0.4174,5,74.531,58.711,55,87.5,369
0.4992,5,88.945,55.02,55,87.1,369
0.5705,5,77.344,54.844,-41,87.9,369
0.6408,5,41.836,66.27,-10,33.6,369
0.7087,5,17.578,71.895,4,33.6,369
0.7778,5,20.039,65.918,54,27.2,369
0.8621,5,59.59,39.375,57,83.5,369
0.9289,5,92.637,15.469,59,83.5,369
0.9996,5,103.535,-2.988,59,91.3,369
1.0735,5,75.059,-14.238,-59,92.0,369
1.1558,5,18.984,-1.582,-59,83.6,369
1.2331,5,-17.227,2.109,-59,88.7,369
1.3085,5,-13.887,2.637,6,88.7,369
1.3753,5,21.621,-5.801,59,95.4,369
1.448,5,95.977,-39.902,57,87.1,369
1.5208,5,129.902,-50.801,54,87.1,369
1.5989,5,126.387,-56.777,37,80.6,369
1.6657,5,86.133,-52.207,-56,80.3,369
1.7515,5,62.578,-17.051,-59,80.7,369
1.8253,5,21.621,-6.855,-59,80.7,369
1.8981,5,23.906,3.867,59,86.4,369
1.9759,5,65.742,6.152,59,98.1,369
2.0555,5,165.059,-26.543,0,27.6,369
2.1368,5,-153.281,-25.312,-59,27.6,369
2.2076,5,-147.832,-14.238,-2,86.7,369
2.2797,5,-178.418,-2.285,59,99.5,369
2.3749,5,-268.242,35.684,58,110.3,369
2.4428,5,-312.715,44.121,57,92.6,369
2.5263,5,-312.012,34.102,-58,92.6,369
2.6041,5,-271.934,14.59,-59,85.4,369
2.6732,5,-219.375,-10.02,-59,96.3,369
2.7436,5,-201.445,-10.02,-59,87.5,369
2.8139,4,-233.437,15.996,24,42.3,369
2.9156,4,-280.723,49.395,7,39.0,369
3.0104,4,-283.008,56.953,15,39.0,369
3.0752,4,-256.465,53.262,23,41.6,369
3.144,4,-219.023,43.242,23,40.5,369
3.2236,4,-209.004,49.219,66,40.5,70
3.3109,4,-227.812,58.887,36,115.4,147
3.3867,4,-262.09,72.773,0,39.7,225
3.4694,4,-274.746,74.883,0,27.6,307
3.5393,4,-253.652,62.578,0,27.5,389
3.624,4,-231.504,52.91,-57,27.5,465
3.6998,4,-232.031,57.129,41,83.8,552
3.7931,4,-242.227,60.82,29,54.9,625
3.8659,4,-253.477,62.93,0,40.0,701
3.9427,4,-254.004,59.414,0,27.8,791
4.0305,4,-240.645,48.691,-66,93.0,886
4.1192,4,-230.449,38.145,67,93.0,955
4.1894,4,-224.824,24.434,68,112.9,1024
4.2552,4,-225.527,5.801,69,115.7,1095
4.3266,4,-231.152,-20.918,69,115.7,1171
4.4139,4,-236.074,-57.129,64,117.8,1255
4.4906,4,-239.941,-90.0,58,99.4,1323
4.5545,0,-253.301,-118.652,0,26.9,1335
