t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,92.637,6.855,-59,54.6,543
0.0857,5,83.145,17.754,-59,54.6,543
0.1655,5,74.004,40.781,-57,85.0,543
0.2599,5,83.848,52.031,56,80.7,543
0.3337,5,115.312,47.812,56,89.0,543
0.4085,5,133.77,43.77,57,92.3,543
0.4804,5,123.223,43.418,-57,92.3,543
0.5601,5,74.004,63.457,-19,82.7,543
0.6563,5,49.043,71.191,2,27.6,543
0.7397,5,67.5,61.699,54,83.1,543
0.8045,5,119.18,30.586,58,87.3,543
0.8843,5,150.293,10.371,59,87.3,543
0.9511,5,152.227,-2.988,-34,93.8,543
1.0209,5,103.008,-4.395,-59,90.0,543
1.1197,5,38.848,12.129,-59,86.7,543
1.2031,5,15.82,14.766,-59,91.2,543
1.2759,5,33.398,15.645,59,91.2,543
1.3427,5,91.582,-4.746,59,93.5,543
1.4165,5,162.598,-30.234,0,27.2,543
1.4953,5,177.539,-30.234,-58,27.2,543
1.5592,4,163.477,-24.961,68,86.5,30
1.6489,4,95.625,-6.855,69,124.3,122
1.7257,4,46.934,-1.758,69,121.5,198
1.7892,4,41.133,-18.633,69,121.5,266
1.8674,4,70.84,-55.547,-41,113.2,349
1.9462,0,111.973,-96.855,0,27.1,419
