t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,8.438,1.143,59,27.1
0.0782,5,-6.504,-28.916,-58,89.2
0.5023,5,36.914,-48.779,56,88.8
0.9658,5,57.656,-43.33,-57,30.0
1.3309,5,-96.328,13.799,59,99.0
2.8277,5,-99.492,-20.654,-59,80.2
2.8965,5,-140.098,-17.842,-59,87.5
2.9803,5,-130.605,0.439,59,87.5
3.073,5,-88.77,10.107,59,94.0
3.1646,5,12.48,-22.412,59,92.2
3.2525,5,111.094,-47.549,56,91.9
3.3395,5,149.766,-53.525,46,90.4
3.4252,5,138.691,-75.146,-52,28.2
3.5289,5,103.008,-84.814,-50,76.4
3.5987,5,27.773,-68.467,-53,76.4
3.6735,5,-62.227,-26.631,-58,63.4
3.7493,5,-122.695,-16.611,-59,87.1
3.8142,5,-145.02,-7.822,-59,87.1
3.8785,5,-123.398,22.588,59,83.5
3.9783,5,-79.98,34.189,58,96.3
4.0431,5,155.215,-8.701,59,94.6
4.491,5,-114.785,-6.416,-59,79.5
5.0578,5,126.035,-28.213,58,94.4
5.1904,0,-58.184,-65.479,0,28.0
