t_s,mode,alpha_deg,theta_deg,pwm
11.3959,5,-140.449,-18.281,-49
11.4592,5,-140.273,-8.438,49
11.5311,5,-105.469,5.449,49
11.6263,5,-16.875,-10.371,49
11.7071,5,79.98,-44.824,47
11.7789,5,130.43,-45.703,47
11.8532,5,146.602,-49.043,47
11.9197,5,134.297,-62.578,-45
11.9914,5,98.437,-71.895,-44
12.0597,5,38.848,-63.809,-45
12.1206,5,-67.676,-22.148,-49
12.2093,5,-120.938,-18.984,-49
12.2734,5,-143.437,-17.051,-49
12.3433,5,-132.539,-4.043,49
12.4311,5,-79.102,6.328,49
12.5115,5,16.172,-25.312,49
12.5815,5,89.648,-44.121,47
12.6469,5,132.539,-43.77,47
12.7187,5,146.777,-47.637,47
12.7875,5,133.242,-60.996,-45
12.8543,5,96.855,-69.258,-44
12.9241,5,2.461,-44.824,-47
13.0079,5,-85.781,-15.996,-49
13.0788,5,-125.156,-15.117,-49
13.1469,5,-143.262,-11.602,-49
13.2223,5,-124.102,4.043,49
13.2995,5,-75.937,10.723,49
13.3764,5,23.555,-23.555,49
13.4442,5,98.086,-39.375,48
13.5195,5,136.582,-38.496,48
13.5844,5,144.844,-47.637,47
13.6734,5,109.16,-65.215,-45
13.7643,5,52.91,-63.633,-45
13.8296,5,-50.625,-23.379,-49
13.9004,5,-109.863,-17.402,-49
13.9657,5,-139.922,-18.809,-49
14.0367,5,-142.383,-11.074,-49
14.1056,5,-106.699,2.988,49
14.1939,5,-33.75,-6.328,49
14.2722,5,60.82,-45.352,47
14.344,5,120.41,-50.098,47
14.4109,5,143.086,-50.625,46
14.4836,5,140.801,-62.051,-45
14.548,5,114.961,-73.477,-44
14.6139,5,58.184,-72.598,-44
14.6857,5,-38.672,-32.871,-48
14.7585,5,-105.996,-21.797,-49
14.8383,5,-140.801,-20.742,-49
14.9171,5,-134.121,-7.207,49
15.0028,5,-95.449,3.164,49
15.0744,5,17.754,-30.41,48
15.1702,5,96.328,-49.395,47
15.2414,5,133.242,-49.043,47
15.3008,5,145.195,-54.668,46
15.3796,5,125.684,-68.027,-44
15.4563,5,65.215,-71.016,-44
15.5381,5,-19.863,-37.09,-48
15.6049,5,-93.691,-18.105,-49
15.6708,5,-129.727,-17.578,-49
15.7341,5,-142.559,-13.535,-49
15.794,5,-128.496,-0.703,49
15.8638,5,-89.824,7.559,49
15.9353,5,2.461,-17.754,49
16.0181,5,95.273,-43.594,47
16.0984,5,136.055,-43.242,47
16.1656,5,144.844,-50.625,47
16.2403,5,125.859,-64.16,-45
16.3036,5,83.496,-71.016,-44
16.3739,5,-8.086,-43.066,-46
16.4527,5,-96.68,-20.391,-49
16.5272,5,-134.297,-21.621,-49
16.5907,5,-142.734,-15.996,-49
16.6705,5,-123.75,-5.098,49
16.7324,5,-83.848,-1.055,49
16.7992,5,1.23,-28.652,49
16.869,5,83.32,-56.25,46
16.9368,5,126.211,-57.656,46
17.0176,5,143.965,-61.699,45
17.0789,5,133.945,-71.191,-44
17.1424,5,96.855,-78.574,-43
17.2193,5,10.195,-55.723,-46
17.3324,5,-103.887,-19.336,-49
17.4012,5,-139.043,-16.172,-49
17.4943,5,-130.781,-2.285,49
17.5654,5,-96.855,7.734,49
17.6364,5,-7.734,-11.25,49
17.7195,5,99.844,-41.133,47
17.8084,5,136.23,-40.254,48
17.8784,5,143.437,-47.988,47
17.9475,5,124.277,-60.645,-45
18.0149,5,80.859,-67.148,-44
18.0789,5,3.691,-45.352,-47
18.1429,5,-79.102,-18.633,-49
18.2046,5,-126.738,-18.984,-49
18.2762,5,-143.437,-17.754,-49
18.353,5,-122.695,-3.516,49
18.4371,5,-69.961,-1.055,49
18.528,5,37.969,-43.945,47
18.5977,5,117.949,-56.25,46
18.6905,5,144.316,-59.766,45
18.7792,5,131.309,-71.543,-44
18.8491,5,85.43,-77.871,-43
18.9328,5,3.867,-52.207,-46
19.0152,5,-107.578,-19.512,-49
19.1108,5,-138.34,-17.402,-49
19.1797,5,-137.637,-8.438,49
19.2523,5,-88.77,6.504,49
19.3441,5,-12.832,-11.602,49
19.4184,5,81.387,-43.77,47
19.5056,5,144.316,-50.098,47
19.6378,5,127.969,-63.457,-45
19.7046,5,89.473,-71.016,-44
19.7705,5,15.82,-54.141,-46
19.8393,5,-81.387,-21.094,-49
19.9171,5,-127.969,-21.094,-49
19.9879,5,-142.91,-18.281,-49
20.0577,5,-123.926,-4.746,49
20.1958,5,13.359,-31.816,48
20.2888,5,98.437,-53.613,46
20.3556,5,132.187,-53.262,46
20.4155,5,144.668,-56.953,46
20.4813,5,125.508,-70.84,-44
20.5666,5,84.551,-75.41,-43
20.6369,5,3.516,-50.273,-46
20.7067,5,-98.789,-18.809,-49
20.7915,5,-136.23,-17.754,-49
20.8703,5,-131.66,-3.516,49
20.967,5,-99.141,6.152,49
21.0347,5,-30.41,-3.867,49
21.1025,5,71.895,-42.363,47
21.1759,5,118.301,-44.648,47
21.2397,5,144.844,-47.285,47
21.3265,5,135.352,-59.941,-45
21.3883,5,101.074,-70.84,-44
21.4559,5,42.012,-65.039,-45
21.5227,5,-53.613,-26.719,-49
21.5905,5,-111.445,-21.27,-49
21.6648,5,-140.449,-21.973,-49
21.7281,5,-140.273,-14.59,-49
21.7899,5,-116.895,-2.988,49
21.8547,5,-71.016,-0.176,50
21.9216,5,31.816,-38.672,48
