t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,2.285,2.109,60
0.0697,5,9.316,-6.504,64
0.1345,5,19.687,-23.73,64
0.2088,5,22.148,-40.43,62
0.2729,5,4.746,-49.57,-61
0.3457,5,-31.992,-42.187,-62
0.4151,5,-48.867,-37.793,-62
0.4863,5,-41.309,-36.387,62
0.5536,5,7.031,-54.668,51
0.6244,5,48.34,-68.906,2
0.7072,5,47.461,-65.391,10
0.7691,5,10.02,-43.594,-61
0.8429,5,-37.793,-12.129,-64
0.9037,5,-67.5,10.371,-64
0.9831,5,-60.996,26.367,63
1.0549,5,-22.324,28.301,63
1.1242,5,50.625,8.613,64
1.196,5,84.551,5.449,64
1.2578,5,87.891,1.23,64
1.3242,5,61.699,-2.637,-64
1.389,5,-4.57,17.93,-64
1.4601,5,-76.465,40.43,-62
1.5319,5,-102.832,45.176,-61
1.5947,5,-94.219,54.668,60
1.6765,5,-54.141,54.844,60
1.7502,5,34.102,19.687,64
1.8101,5,94.395,5.449,64
1.8819,5,122.695,-8.438,64
1.9802,5,99.668,-25.488,-63
2.0729,5,8.613,-15.82,-64
2.1487,5,-76.992,10.02,-64
2.2115,5,-126.738,10.547,-64
2.2879,5,-138.164,16.875,-64
2.3607,5,-103.008,36.563,62
2.4529,5,-50.625,33.926,63
2.5163,5,44.824,-5.977,64
2.6,5,126.035,-18.457,64
2.6838,5,151.523,-28.477,63
2.745,5,142.559,-51.328,-61
2.8118,5,116.895,-68.379,-58
2.8738,5,66.094,-72.246,-57
2.9425,5,-22.852,-38.145,-62
3.0084,5,-103.711,-18.984,-64
3.0901,5,-152.93,-12.656,-64
3.1788,5,-150.293,6.152,64
3.2417,5,-128.496,25.84,63
3.3125,5,-76.289,34.98,63
3.3913,5,20.566,0.176,64
3.4556,5,118.652,-21.094,64
3.5472,5,159.434,-31.816,63
3.6409,4,153.457,-56.953,23
3.7063,4,126.035,-84.551,21
3.7701,0,73.652,-100.898,0
