t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,40.078,9.316,54
0.0658,5,50.449,-0.352,55
0.1406,5,61.172,-13.359,54
0.2327,5,60.117,-32.52,-53
0.3064,5,30.762,-29.707,-53
0.382,5,6.855,-24.785,-54
0.4538,5,5.801,-24.434,-54
0.5249,5,32.344,-34.277,53
0.5858,5,72.949,-53.965,45
0.6611,5,87.539,-60.645,25
0.7369,5,65.215,-52.207,-51
0.8047,5,17.402,-26.543,-53
0.8702,5,-8.965,-12.656,-54
0.9322,5,-11.953,-4.746,-54
0.9949,5,15.117,-3.516,54
1.0648,5,74.883,-24.082,54
1.1376,5,107.402,-31.465,53
1.2004,5,111.621,-34.453,53
1.2832,5,54.492,-20.918,-54
1.3739,5,-11.602,5.625,-54
1.4458,5,-35.859,11.953,-54
1.5111,5,-27.773,16.348,54
1.583,5,11.953,8.789,54
1.6528,5,85.605,-23.379,54
1.7156,5,127.969,-34.277,53
1.7883,5,135.176,-40.957,52
1.8693,5,81.211,-42.891,-52
1.9588,5,8.086,-15.293,-54
2.0208,5,-55.898,-5.801,-54
2.1221,5,-55.02,-1.934,54
2.2458,5,25.137,-15.82,54
2.3096,5,100.547,-47.637,52
2.3815,5,146.074,-54.668,41
2.4445,5,151.875,-59.414,29
2.529,5,124.102,-61.699,-50
2.5974,5,53.789,-40.078,-52
2.6642,5,-26.367,-7.031,-54
2.7341,5,-69.609,0.352,-54
2.8128,5,-72.598,10.195,54
2.8846,5,-44.648,18.984,54
2.9535,5,25.488,5.801,54
3.0302,5,117.598,-26.543,54
3.0961,5,160.312,-29.18,53
3.1647,5,174.375,-33.223,-53
3.2524,4,155.039,-37.969,0
3.3198,4,100.898,-36.387,0
3.401,4,9.844,-1.582,0
3.4725,4,-56.426,7.383,0
3.5374,4,-81.562,2.813,0
3.6181,4,-60.645,2.988,-69
3.7238,4,22.852,-8.789,-66
3.8056,4,102.129,-27.773,-49
3.8751,4,136.582,-18.457,-60
3.9469,4,138.164,-4.922,69
4.0138,4,108.984,5.801,67
4.0915,4,31.992,34.98,44
4.1572,4,-17.051,46.934,42
4.2264,4,-29.707,43.066,42
4.2902,4,-13.711,37.793,-67
4.358,4,29.531,26.191,-68
4.4259,4,84.727,18.105,-69
4.5067,4,89.648,32.344,45
4.5925,4,66.621,53.262,42
4.6587,4,21.797,84.375,-59
4.7551,0,1.934,102.305,0
