t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,0.703,3.076,49
0.0892,5,7.207,-3.428,49
0.1819,5,13.535,-19.951,49
0.2847,5,2.461,-24.17,-49
0.3525,5,-21.797,-18.193,-49
0.4312,5,-27.949,-16.084,-49
0.4961,5,-12.656,-19.951,49
0.583,5,27.07,-38.232,48
0.6677,5,35.332,-43.506,47
0.7305,5,7.031,-35.42,-48
0.8203,5,-28.125,-19.248,-49
0.8891,5,-44.824,-9.58,-49
0.9812,5,28.652,-34.189,48
1.1325,5,53.613,-42.627,47
1.1976,5,44.473,-42.627,-47
1.2674,5,-10.723,-19.775,-49
1.3512,5,-57.48,-0.791,-49
1.4379,5,-59.941,3.955,-49
1.5134,5,-21.27,-2.021,49
1.5786,5,33.926,-24.17,49
1.6424,5,72.246,-34.541,48
1.7517,5,48.867,-33.838,-48
1.833,5,-19.512,-7.295,-49
1.9244,5,-75.586,9.053,-49
2.0037,5,-75.059,12.217,-49
2.0665,5,-45.879,10.459,49
2.1296,5,36.914,-21.885,49
2.2141,5,78.223,-31.553,48
2.2845,5,87.363,-35.068,48
2.3453,5,63.281,-36.475,-48
2.4281,5,-30.937,-2.021,-49
2.5129,5,-85.078,10.459,-49
2.5917,5,-93.691,13.623,-49
2.6605,5,-70.137,16.084,49
2.7425,5,23.379,-17.314,49
2.8185,5,77.871,-32.607,48
2.9008,5,102.656,-37.354,48
2.9719,5,87.363,-42.979,-47
3.0339,5,14.766,-28.037,-48
3.1197,5,-60.996,0.615,-49
3.1901,5,-101.953,5.186,-49
3.2608,5,-97.207,12.041,49
3.3586,5,-51.152,11.162,49
3.4354,5,31.992,-21.006,49
3.4948,5,91.582,-32.432,48
3.565,5,115.84,-33.838,48
3.6391,5,104.59,-40.693,-48
3.7353,5,24.785,-31.201,-48
3.83,5,-87.012,5.186,-49
3.9247,5,-120.938,8.525,-49
4.0165,5,-104.941,15.908,49
4.0801,5,-41.133,11.689,49
4.1744,5,71.895,-29.971,48
4.2753,5,120.234,-32.607,48
4.3386,5,116.191,-43.506,-47
4.4486,5,56.426,-45.088,-47
4.5388,5,-52.734,-3.428,-49
4.6159,5,-108.105,2.549,-49
4.6924,5,-129.902,7.471,-49
4.8071,5,-99.668,18.369,49
4.8789,5,10.371,-9.404,49
4.9738,5,89.473,-31.025,48
5.0436,5,125.156,-31.377,48
5.1085,5,136.055,-36.826,48
5.1845,5,113.379,-49.131,-47
5.2613,5,32.344,-43.506,-47
5.366,5,-75.234,-5.361,-49
5.4328,5,-119.883,-4.482,-49
5.4956,5,-137.988,-3.076,-49
5.5765,5,-115.84,10.986,49
5.6584,5,-69.434,12.744,49
5.7252,5,22.324,-21.885,49
5.8012,5,110.918,-39.463,48
5.8878,5,137.988,-40.166,48
5.9526,5,137.285,-48.779,47
6.0186,5,107.578,-61.084,-45
6.0913,5,45.176,-56.865,-46
6.1635,5,-64.16,-14.678,-49
6.2483,5,-116.719,-11.162,-49
6.3141,5,-139.746,-10.283,-49
6.3821,5,-130.605,1.846,49
6.4579,5,-102.305,9.58,49
6.5277,5,10.723,-19.775,49
6.6195,5,103.008,-42.1,47
6.7052,5,142.734,-43.506,47
6.8065,5,129.551,-57.041,-46
6.8983,5,84.023,-64.951,-45
6.972,5,-5.801,-36.826,-48
7.0409,5,-80.332,-13.447,-49
7.1087,5,-135.176,-12.217,-49
7.1944,5,-140.801,-5.186,-49
7.276,5,-99.844,12.217,49
7.3623,5,-26.543,1.846,49
7.4401,5,64.863,-32.783,48
7.513,5,130.254,-34.541,48
7.5928,5,145.547,-38.936,48
7.6836,5,124.98,-52.822,-46
7.7606,5,73.652,-57.041,-46
7.8315,5,-47.812,-12.041,-49
7.923,5,-107.402,-3.779,-49
7.9921,5,-141.855,-1.318,-49
8.0787,5,-135.0,9.229,49
8.1381,5,-105.996,20.127,49
8.2039,5,-37.793,14.15,49
8.3069,5,107.754,-28.564,49
8.4027,5,139.043,-28.213,49
8.4695,5,144.668,-35.947,48
8.5413,5,116.719,-53.174,-46
8.6166,5,60.996,-56.162,-46
8.6994,5,-87.363,-10.811,-49
8.8161,5,-142.031,-12.92,-49
8.9088,5,-142.559,-6.416,-49
8.9716,5,-122.168,4.131,49
9.036,5,-69.609,7.119,49
9.1208,5,45.527,-36.826,48
9.1965,5,115.488,-45.791,47
9.2724,5,142.383,-45.967,47
9.3362,5,137.109,-59.15,-46
9.4439,5,98.613,-69.521,-44
9.5152,5,4.395,-45.615,-47
9.596,5,-101.602,-14.15,-49
9.6887,5,-141.328,-12.393,-49
9.7765,5,-139.219,-3.252,49
9.8419,5,-111.621,9.053,49
9.9127,5,-40.078,4.131,49
9.9954,5,82.441,-39.463,48
10.0892,5,128.32,-39.99,48
10.153,5,145.02,-42.627,47
10.2198,5,127.793,-58.271,-46
10.3156,5,79.98,-64.248,-45
10.4044,5,-24.785,-26.982,-48
10.4679,5,-101.074,-10.459,-49
10.5803,5,-142.207,-6.768,-49
