t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,-0.527,-6.943,-59,27.5
0.0638,5,13.711,-21.182,59,92.6
0.1676,5,20.391,-38.408,57,90.5
0.2577,5,7.91,-47.373,-56,90.5
0.3265,5,-21.27,-41.221,-57,81.3
0.3954,5,-39.727,-36.123,-58,82.8
0.4671,5,-34.98,-34.365,58,82.8
0.5339,5,-2.637,-46.143,57,92.7
0.5979,5,34.805,-62.139,21,53.5
0.6637,5,45.352,-63.721,16,53.5
0.7255,5,29.531,-55.283,-55,32.3
0.7853,5,-16.523,-26.982,-58,75.7
0.8541,5,-54.844,-2.197,-59,75.7
0.9309,5,-58.008,9.756,-59,82.9
0.9938,5,-32.695,16.084,59,99.0
1.0656,5,22.852,0.615,59,99.0
1.1264,5,69.961,-8.525,59,94.2
1.2022,5,76.816,-12.041,59,96.1
1.283,5,51.855,-12.92,-59,86.7
1.3558,5,84.727,-8.174,59,89.3
1.8463,5,34.805,-61.963,-54,76.5
2.7752,5,-59.238,-23.643,-59,83.3
2.8411,5,-111.797,-17.49,-59,83.3
2.9079,5,-136.934,-14.326,-59,88.8
2.9763,5,-133.945,-0.967,-59,88.8
3.0381,5,-99.844,16.436,59,83.3
3.1069,5,-26.191,10.283,59,96.1
3.1802,5,63.105,-21.533,59,96.1
3.242,5,120.234,-23.818,59,96.0
3.3184,5,150.996,-24.697,59,100.3
3.3857,5,148.887,-40.869,-57,100.3
3.4515,5,122.695,-59.502,-55,90.1
3.5193,5,65.215,-64.072,-54,81.8
3.5952,5,-26.191,-28.564,-58,69.6
3.661,5,-97.207,-12.393,-59,69.6
3.7258,5,-143.086,-11.162,-59,88.5
3.8176,5,-150.996,3.076,-2,85.4
3.8913,5,-129.199,22.939,59,101.1
3.9532,5,-88.594,32.256,58,101.1
4.0243,5,27.949,-4.834,59,90.5
4.1187,5,105.293,-21.182,59,92.6
4.1816,5,144.316,-22.412,59,92.6
4.2614,5,158.027,-37.529,58,98.3
4.3407,5,135.352,-66.709,-54,86.4
4.4025,5,94.922,-81.299,-51,77.6
4.4744,5,20.391,-68.994,-53,77.6
4.5431,5,-87.539,-34.014,-58,69.2
4.6201,5,-141.328,-34.893,-58,87.0
4.6989,5,-157.148,-29.619,-58,83.0
4.7696,4,-145.195,-9.229,-24,83.0
4.842,4,-93.516,15.732,-24,36.6
4.9242,4,-5.098,7.471,-24,41.7
5.0035,4,83.32,-5.01,-24,40.6
5.0713,4,127.793,9.756,-24,40.6
5.1392,4,147.305,28.564,-68,41.9
5.2051,4,140.449,40.518,43,66.8
5.2768,4,101.602,43.154,43,66.8
5.3491,0,-116.191,99.58,0,76.4
