t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-91.23,-11.689,59
0.0824,5,-78.75,-25.049,59
0.1474,5,-74.18,-43.154,57
0.2321,5,-91.582,-47.549,-56
0.3035,5,-124.805,-39.287,-57
0.3793,5,-140.273,-34.365,-58
0.4461,5,-128.145,-34.189,58
0.513,5,-83.145,-52.471,50
0.5902,5,-51.328,-63.545,17
0.6562,5,-54.844,-59.326,-55
0.732,5,-94.219,-36.475,-57
0.8023,5,-148.008,-2.549,-59
0.8856,5,-154.863,15.908,0
0.9803,4,-124.277,23.818,-24
1.0481,4,-71.367,19.072,-24
1.123,4,-36.563,27.334,-24
1.2066,4,-41.66,44.736,-23
1.2764,4,-81.914,74.443,-22
1.3482,0,-134.824,113.818,0
