t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-161.895,12.217,0,-95
0.0832,7,-169.98,23.994,1,15
0.1537,7,-166.816,30.146,1,6
0.2196,7,-151.348,31.201,1,36
0.3003,7,-140.977,32.08,1,22
0.3881,7,-151.348,42.627,1,67
0.4729,7,-155.566,41.396,1,-66
0.5522,7,-158.027,38.232,1,67
0.627,7,-154.687,28.916,1,-68
0.7021,7,-158.906,25.752,1,68
0.7736,7,-161.367,18.018,1,69
0.8678,7,-157.5,7.295,1,-69
0.9521,7,-161.367,4.834,1,69
1.0398,7,-160.84,-1.318,1,69
1.1256,7,-163.477,-2.9,1,-69
1.2213,7,-169.277,3.428,1,10
1.2891,7,-162.246,3.604,1,16
1.3604,7,-152.227,2.373,1,23
1.432,7,-150.293,6.768,1,-69
1.5183,7,-158.906,15.908,1,69
1.5921,7,-156.797,14.502,1,-69
1.6698,7,-160.137,17.666,1,69
1.7406,7,-158.379,16.787,1,-69
1.8207,7,-162.246,21.709,1,69
1.8916,7,-156.445,19.072,1,-69
1.974,7,-158.555,24.873,1,-68
2.0698,7,-162.773,32.783,1,68
2.1342,7,-156.445,33.486,1,-68
2.2288,7,-159.609,42.451,1,-67
2.3174,7,-161.016,52.471,1,-65
2.3893,7,-159.434,60.205,1,-64
2.4711,7,-159.258,76.025,1,-61
2.5659,7,-159.961,88.506,1,-59
2.6319,0,-163.652,105.205,0,0
