t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-9.668,5.361,0,94
0.0948,7,1.758,-6.768,0,67
0.1769,7,2.461,-17.49,0,84
0.2467,7,0.879,-35.596,0,71
0.3364,7,-7.031,-63.018,0,-92
0.4212,7,-40.254,-64.775,0,45
0.509,7,-46.758,-72.51,0,-78
0.5829,7,-40.254,-72.158,0,-115
0.6647,7,-35.156,-48.955,0,-38
0.7505,7,-35.156,-28.213,0,38
0.8333,7,-35.156,-21.357,0,99
0.9051,7,-35.156,-25.928,0,84
0.9899,7,-37.793,-33.662,0,69
1.0746,7,-72.598,-45.088,0,74
1.1464,7,-107.402,-55.811,0,-123
1.2402,7,-143.613,-48.076,0,-116
1.313,7,-145.547,-28.916,0,-21
1.4047,7,-145.547,-19.6,0,-34
1.4731,7,-128.145,-14.15,0,144
1.5549,7,-102.48,-10.107,0,177
1.6382,7,-105.645,-31.201,0,98
1.7359,7,-175.254,-40.693,0,-79
1.8227,7,-221.309,-38.408,1,38
2.0002,7,-187.031,-38.408,0,-80
2.1229,7,-103.535,-32.08,0,147
2.2357,7,-103.535,-35.42,0,130
2.3383,7,-131.66,-53.525,0,-114
2.4131,7,-178.242,-29.268,1,38
2.487,7,-178.242,-25.225,1,1
2.5979,7,-178.242,-34.014,1,0
2.6747,7,-138.691,-43.33,1,-67
2.7485,7,-65.742,-65.83,0,-113
2.8163,7,-47.109,-30.85,0,111
3.0018,7,-47.109,-28.037,0,66
3.1135,7,-51.68,-47.725,0,-31
3.304,7,-46.582,-66.006,0,-64
3.3818,7,-43.945,-59.854,0,-34
3.4516,7,-37.441,-50.713,0,-73
3.539,7,-37.441,-29.971,0,49
3.6148,7,-37.441,-28.037,0,31
3.6811,7,-37.441,-28.037,0,67
3.7599,7,-37.441,-31.904,0,56
3.8417,7,-37.441,-36.299,0,17
3.9135,7,-37.441,-36.65,0,27
3.9831,7,-41.484,-44.561,0,-12
4.0544,7,-34.102,-52.822,0,-124
4.1422,7,-31.816,-40.693,0,-39
4.2349,7,-31.816,-25.576,0,19
4.3447,7,-31.816,-26.279,0,68
4.4269,7,-35.859,-39.287,0,20
4.5247,7,-58.887,-42.451,0,114
4.599,7,-79.805,-58.447,0,-66
4.6898,7,-115.137,-61.084,0,-124
4.7625,7,-129.199,-48.604,0,-50
4.8343,7,-129.199,-39.639,0,3
4.9042,7,-129.199,-42.451,0,-49
4.982,7,-129.199,-34.893,0,39
5.0772,7,-129.199,-23.818,0,106
5.1555,7,-129.199,-24.346,0,31
5.2233,7,-137.285,-21.006,0,84
5.2875,7,-158.906,-23.818,0,11
5.3569,7,-165.41,-29.619,1,16
5.4327,7,-142.031,-46.494,1,38
5.5045,7,-109.336,-66.006,0,-139
5.5828,7,-116.895,-51.416,0,62
5.6795,7,-122.168,-43.154,0,21
5.753,7,-122.168,-41.396,0,25
5.8258,7,-122.168,-41.748,0,18
5.9045,7,-122.168,-42.1,0,25
6.0138,7,-122.168,-42.1,0,24
6.0931,7,-122.168,-42.1,0,24
6.1663,7,-122.168,-42.451,0,26
6.2347,7,-122.168,-42.979,0,22
6.304,7,-122.168,-43.154,0,15
6.3758,7,-122.168,-43.154,0,21
6.4647,7,-122.168,-43.154,0,21
6.5509,7,-122.168,-43.154,0,21
6.6328,7,-122.168,-43.154,0,21
6.7095,7,-122.168,-43.154,0,21
6.7823,7,-122.168,-43.154,0,21
