t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-192.129,15.293,1,-4
0.1087,7,-194.59,17.578,1,-4
0.2114,7,-193.008,17.754,1,-69
0.3152,7,-191.953,19.336,1,-44
0.4125,7,-187.91,17.402,1,-69
0.5193,7,-193.711,22.324,1,69
0.604,7,-187.207,14.59,1,-69
0.6788,7,-192.305,15.82,1,69
0.7566,7,-185.977,4.043,1,-69
0.8573,7,-192.832,1.582,1,69
0.9242,7,-189.492,-13.359,1,-6
1.0209,7,-192.305,-23.027,1,69
1.1087,7,-195.645,-34.805,1,68
1.1994,7,-193.887,-47.812,1,-66
1.2872,7,-194.766,-59.062,1,-2
1.4169,7,-205.137,-61.172,1,-5
1.5306,7,-199.687,-54.844,1,-64
1.6677,7,-198.281,-43.77,1,-66
1.7441,7,-198.281,-18.809,1,-69
1.8408,7,-199.512,3.34,1,69
1.9281,7,-174.727,16.172,1,-25
2.0517,7,-182.461,42.012,1,-21
2.1568,7,-197.227,65.039,1,63
2.2316,7,-189.316,68.027,1,-16
2.31,7,-180.0,70.664,1,-16
2.4137,7,-184.395,78.574,1,-10
2.5165,7,-192.129,84.023,1,59
2.5913,7,-185.977,76.816,1,-60
2.6783,7,-185.977,72.773,1,-61
2.7746,7,-187.383,67.5,1,62
2.8514,7,-186.328,56.602,1,64
2.9427,7,-187.91,45.879,1,66
3.0255,7,-185.098,30.762,1,-67
3.1232,7,-185.977,10.898,1,69
3.2119,7,-185.801,-9.844,1,69
3.3356,7,-187.91,-45.176,1,67
3.4443,7,-185.801,-78.047,1,-61
3.5228,0,-194.941,-101.602,0,0
