t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-0.176,-1.494,52
0.0729,5,8.965,-10.459,52
0.1511,5,16.699,-24.697,52
0.223,5,8.965,-34.541,-51
0.3062,5,-16.875,-29.971,-51
0.3791,5,-33.574,-25.928,-52
0.4489,5,-24.082,-28.037,52
0.5207,5,7.383,-42.803,50
0.5825,5,37.793,-57.568,34
0.6688,5,32.52,-57.217,-48
0.7359,5,-2.461,-40.869,-50
0.8017,5,-41.133,-21.006,-52
0.8825,5,-47.988,-10.459,-52
0.9648,5,-15.469,-14.854,52
1.0446,5,42.363,-35.596,51
1.1164,5,61.348,-41.396,50
1.2092,5,40.43,-38.584,-51
1.27,5,-9.492,-17.666,-52
1.3347,5,-61.523,2.373,-52
1.414,5,-66.621,9.404,52
1.5038,5,-28.652,2.9,52
1.5764,5,35.156,-24.346,52
1.6372,5,73.125,-34.717,51
1.701,5,80.508,-41.045,-50
1.7848,5,47.285,-40.342,-50
1.8522,5,-29.18,-10.459,-52
1.928,5,-76.816,1.318,-52
2.0183,5,-90.352,6.24,-52
2.0849,5,-66.621,8.525,52
2.1444,5,-11.777,-7.119,52
2.2052,5,74.531,-37.705,51
2.2935,5,100.02,-41.572,50
2.3584,5,97.031,-47.021,-50
2.4281,5,59.941,-48.076,-50
2.5019,5,-31.641,-13.447,-52
2.5862,5,-104.766,0.791,-52
2.678,5,-99.844,9.053,52
2.7887,5,-46.23,6.943,52
2.8625,5,59.59,-33.135,51
2.9418,5,104.414,-38.232,51
3.0116,5,119.707,-42.275,50
3.0774,5,103.359,-50.713,-49
3.1424,5,54.316,-50.186,-49
3.2142,5,-43.77,-12.217,-52
3.2929,5,-107.051,-3.428,-52
3.3655,5,-126.035,-0.967,-52
3.4334,5,-106.699,10.986,52
3.5241,5,-6.68,-6.064,52
3.6268,5,80.156,-34.365,51
3.7176,5,128.32,-36.123,51
3.7834,5,132.539,-43.682,50
3.8598,5,97.91,-57.217,-49
3.9485,5,17.051,-43.154,-50
4.0144,5,-67.324,-11.865,-52
4.0788,5,-115.664,-9.229,-52
4.1406,5,-139.395,-6.24,-52
4.2284,5,-114.082,9.229,52
4.3321,5,-52.031,7.822,52
4.3979,5,39.902,-30.498,51
4.4687,5,106.699,-41.396,50
4.5383,5,140.449,-42.451,50
4.6141,5,141.328,-52.822,49
4.6809,5,113.027,-67.764,-47
4.7498,5,67.324,-69.346,-47
4.8253,5,-64.512,-21.885,-52
4.9093,5,-115.664,-17.666,-52
4.9722,5,-141.68,-16.963,-52
5.0348,5,-141.68,-6.768,-52
5.1023,5,-118.652,6.416,52
5.1653,5,-65.391,9.756,52
5.2411,5,31.641,-27.334,52
5.3119,5,103.359,-40.342,50
5.4002,5,146.426,-41.045,50
5.468,5,143.965,-54.404,-49
5.5438,5,117.07,-67.939,-47
5.6148,5,72.422,-69.873,-47
5.6806,5,-26.016,-32.256,-51
5.7494,5,-105.117,-14.854,-52
5.8538,5,-145.02,-12.217,-52
5.9232,5,-141.152,-0.088,52
5.9881,5,-114.785,12.568,52
6.0528,5,-69.258,14.15,52
6.1152,5,23.203,-21.357,52
6.182,5,103.184,-39.111,51
6.2648,5,142.031,-40.166,50
6.3316,5,148.535,-50.01,49
6.4065,5,124.102,-67.939,-47
6.4833,5,78.926,-73.037,-46
6.5581,5,-14.941,-40.166,-50
6.6245,5,-102.305,-18.369,-52
6.7122,5,-140.273,-17.49,-52
6.7839,5,-143.789,-6.592,-52
6.8567,5,-122.168,7.119,52
6.9176,5,-79.629,12.744,52
6.9864,5,19.336,-20.654,52
7.0722,5,103.184,-39.111,51
7.1355,5,142.207,-39.287,51
7.2139,5,148.887,-49.658,49
7.2847,5,127.617,-66.357,-47
7.3535,5,91.758,-73.564,-46
7.4134,5,29.707,-61.963,-47
7.4789,5,-87.715,-20.83,-52
7.563,5,-127.969,-20.303,-52
7.6282,5,-147.656,-15.908,-52
7.6993,5,-128.848,2.725,52
7.7871,5,-83.496,11.689,52
7.8579,5,-8.086,-8.174,52
7.9193,5,81.211,-37.529,51
7.9912,5,146.602,-38.408,51
8.1008,5,148.711,-51.064,-49
8.1737,5,128.672,-65.127,-47
8.2487,5,84.023,-71.807,-46
8.3116,5,-6.504,-42.275,-50
8.3853,5,-87.539,-16.963,-52
8.4531,5,-133.242,-15.732,-52
8.5259,5,-147.656,-10.459,-52
8.5917,5,-133.594,5.361,52
8.6626,5,-88.77,16.436,52
8.7598,5,44.648,-26.982,52
8.8466,5,107.227,-35.947,51
8.9243,5,148.184,-37.705,51
9.0012,5,143.437,-55.107,-49
9.0899,5,103.535,-72.51,-46
9.1698,5,39.375,-66.709,-47
9.2326,5,-56.25,-28.389,-51
9.2989,5,-130.781,-24.17,-52
9.3996,5,-148.887,-21.709,-52
9.4625,5,-141.855,-9.756,52
9.5278,5,-106.172,3.955,52
9.6008,5,-50.273,-0.088,52
9.6676,5,53.437,-42.803,50
9.7514,5,133.066,-49.482,49
9.8471,5,151.172,-55.283,41
9.9219,5,138.691,-69.521,-47
10.0107,5,98.789,-78.311,-45
10.0855,5,-24.434,-36.65,-50
10.1879,5,-103.711,-16.26,-52
10.2707,5,-140.625,-12.393,-52
10.3375,5,-142.207,-0.439,-52
10.405,5,-106.348,18.896,52
10.4908,5,3.691,-3.252,52
10.5897,5,94.922,-27.51,52
10.6655,5,136.934,-26.982,52
10.734,5,150.469,-32.607,51
10.808,5,129.375,-54.404,-49
10.8881,5,93.867,-63.369,-48
10.9509,5,8.438,-44.561,-50
11.0277,5,-86.309,-14.854,-52
11.0985,5,-129.199,-15.381,-52
11.1831,5,-145.898,-6.592,-52
11.2836,5,-110.742,10.986,52
11.3754,5,-22.324,-0.967,52
11.4528,5,69.082,-36.299,51
11.5287,5,135.527,-39.111,51
11.6114,5,152.402,-46.494,50
11.6955,5,133.242,-66.357,-47
11.7709,5,89.297,-76.201,-46
11.8488,5,10.898,-56.338,-48
11.9179,5,-87.012,-23.115,-52
12.0093,5,-137.285,-22.236,-52
12.0702,5,-146.953,-12.744,-52
12.1559,5,-127.617,1.67,52
12.2233,5,-86.484,8.174,52
12.3333,5,102.832,-47.197,50
12.4656,5,148.008,-49.834,49
12.5515,5,140.098,-67.764,-47
12.6382,5,107.402,-80.42,-45
12.7125,5,25.137,-67.939,-47
12.8012,5,-76.816,-28.916,-51
12.8709,5,-127.969,-26.631,-52
12.9489,5,-146.953,-19.248,-52
13.0345,5,-125.156,-1.846,52
13.1092,5,-84.375,5.186,52
13.182,5,7.559,-22.939,52
13.2468,5,98.437,-46.494,50
13.3706,5,150.82,-52.646,49
13.4669,5,132.363,-70.225,-47
13.5412,5,93.34,-79.014,-45
13.6099,5,-5.098,-51.064,-49
13.6926,5,-103.359,-24.697,-52
13.7825,5,-140.977,-24.17,-52
13.8578,5,-145.898,-15.029,-52
13.9286,5,-121.465,0.439,52
13.998,5,-81.914,4.834,52
14.0768,5,34.102,-36.826,51
14.1476,5,102.305,-50.186,49
14.2145,5,138.34,-50.537,49
14.2783,5,148.535,-60.205,48
14.3673,5,128.32,-75.674,-46
14.4343,5,90.352,-82.354,-45
14.5169,5,-37.617,-38.584,-50
14.6022,5,-119.707,-25.752,-52
14.69,5,-143.789,-23.818,-52
14.7872,5,-130.078,-4.131,52
14.864,5,-73.301,3.428,52
14.9497,5,7.383,-25.225,52
15.0106,5,99.844,-50.186,49
15.0924,5,140.625,-50.537,49
15.1801,5,145.547,-63.369,38
15.2609,5,106.875,-81.299,-45
15.3576,5,43.77,-75.498,-46
15.432,5,-66.621,-31.553,-51
15.4998,5,-127.441,-27.686,-52
15.5826,5,-146.074,-24.521,-52
15.6525,5,-137.285,-10.986,52
15.7219,5,-100.195,0.264,52
15.7953,5,-31.465,-10.986,52
15.8671,5,71.895,-52.119,49
15.9429,5,128.672,-55.459,49
16.0197,5,148.184,-59.678,48
16.0935,5,138.34,-73.213,-46
16.171,5,82.441,-82.705,-45
16.2916,5,-57.305,-30.322,-51
16.3814,5,-122.168,-21.885,-52
16.4672,5,-141.68,-9.404,-52
16.5988,5,-94.57,12.393,52
16.6746,5,-15.293,-1.494,52
16.746,5,86.309,-32.783,51
16.8297,5,132.891,-31.729,51
16.8975,5,151.348,-35.42,51
