t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-2.285,2.021,-58
0.1018,5,-10.195,10.986,-58
0.1846,5,-15.996,24.17,-58
0.258,5,-3.691,35.068,57
0.3493,5,23.203,27.861,57
0.4113,5,37.793,21.182,58
0.48,5,30.234,16.963,-58
0.5534,5,-0.703,25.049,-58
0.6112,5,-37.793,38.584,-56
0.6781,5,-50.977,43.506,-56
0.7469,5,-36.035,42.451,56
0.8217,5,17.578,18.018,58
0.8856,5,54.668,1.494,58
0.9454,5,68.203,-7.998,58
1.0063,5,43.418,-16.26,-58
1.0961,5,-28.125,5.537,-58
1.1828,5,-78.223,15.205,-58
1.2825,5,-71.191,18.193,58
1.3589,5,-26.367,6.768,58
1.4208,5,40.078,-24.697,58
1.4811,5,86.66,-38.584,56
1.5578,5,94.395,-47.373,56
1.6395,5,44.121,-51.416,-55
1.724,5,-28.301,-23.818,-58
1.7999,5,-103.359,-9.932,-58
1.8973,5,-107.227,-4.482,-58
1.9604,5,-61.172,0.088,58
2.0526,5,14.238,-28.389,57
2.1204,5,90.0,-49.307,55
2.1922,5,119.355,-52.822,48
2.2675,5,111.621,-61.436,-53
2.3422,5,77.168,-64.6,-53
2.4105,5,4.395,-41.396,-56
2.4704,5,-78.75,-10.459,-58
2.5572,5,-123.926,-4.307,-58
2.624,5,-126.035,8.174,-58
2.6958,5,-97.91,21.709,58
2.7716,5,11.074,-1.494,58
2.8664,5,96.504,-21.006,58
2.9372,5,131.484,-21.006,58
2.996,5,143.262,-27.686,57
3.0614,5,121.289,-47.9,-55
3.1387,5,64.16,-55.107,-54
3.225,5,-42.012,-17.139,-58
3.3,5,-110.039,-8.701,-58
3.3644,5,-140.625,-9.58,-58
3.4273,5,-148.359,-0.264,-58
3.497,5,-117.246,19.424,58
3.5885,5,-70.312,21.182,58
3.6549,5,49.043,-26.104,58
3.7412,5,109.688,-36.475,57
3.8061,5,151.523,-42.803,56
3.8958,5,148.535,-63.018,-53
3.9664,5,128.145,-79.717,-51
4.0452,5,75.937,-86.572,-49
4.109,5,-25.137,-48.252,-55
4.1849,5,-97.207,-29.795,-57
4.2617,5,-148.184,-24.17,-58
4.3544,5,-145.547,-8.701,58
4.4163,5,-124.98,6.24,58
4.4981,5,-56.602,10.107,58
4.5771,5,52.383,-33.486,57
4.647,5,114.609,-41.748,56
4.7178,5,152.754,-45.791,56
4.8006,5,149.238,-66.533,-53
4.8829,5,127.09,-82.354,-50
4.9463,5,73.301,-86.396,-49
5.0271,5,-4.922,-56.689,-54
5.0899,5,-109.16,-25.752,-58
5.19,5,-148.359,-16.436,-58
5.2871,5,-133.242,6.24,58
5.3649,5,-101.074,18.018,58
5.4297,5,-8.789,-0.791,58
5.5153,5,83.672,-32.08,57
5.5919,5,140.449,-34.541,57
5.6648,5,155.566,-43.154,56
5.7301,5,144.668,-63.896,-53
5.7969,5,110.918,-82.178,-50
5.8705,5,23.379,-71.455,-52
5.9633,5,-76.816,-34.014,-57
6.0595,5,-140.801,-31.729,-57
6.1324,5,-149.59,-16.26,-58
6.2241,5,-126.738,2.021,58
6.2869,5,-70.84,10.283,58
6.3716,5,59.766,-35.244,57
6.4664,5,121.289,-40.166,56
6.5322,5,155.391,-42.1,56
6.608,4,156.973,-60.381,15
6.6873,4,132.363,-84.639,21
6.7561,0,89.473,-97.998,0
