t_s,mode,alpha_deg,theta_deg,pwm
0.0,5,-0.703,-9.141,-59
0.0719,5,-8.613,-0.879,-59
0.1387,5,-15.996,10.547,-59
0.2024,5,-17.402,21.797,-59
0.265,5,-6.152,28.828,58
0.3309,5,23.379,21.797,59
0.4014,5,40.078,15.293,59
0.4697,5,35.859,10.723,-59
0.5351,5,6.68,16.699,-59
0.5959,5,-31.641,30.937,-58
0.6558,5,-51.68,37.441,-58
0.7186,5,-49.57,40.078,57
0.7814,5,-1.758,22.324,59
0.8618,5,48.691,-1.582,59
0.935,5,71.191,-18.633,59
1.0268,5,50.449,-24.785,-59
1.0936,5,-36.914,0.176,-59
1.1855,5,-74.707,6.68,-59
1.2522,5,-84.023,9.844,-59
1.332,5,-55.195,8.789,59
1.3988,5,9.844,-17.93,59
1.4635,5,74.707,-41.66,57
1.5334,5,98.437,-48.516,56
1.5972,5,89.121,-58.184,-55
1.681,5,36.563,-54.668,-55
1.7498,5,-44.473,-22.148,-59
1.8162,5,-96.504,-13.184,-59
1.889,5,-112.148,-6.328,-59
1.9934,5,-132.187,11.777,-59
2.7032,5,-113.73,30.41,58
2.7769,5,-70.137,37.266,57
2.8507,5,36.211,1.758,59
2.9425,5,119.883,-8.789,59
3.0143,5,143.613,-11.602,59
3.0781,5,140.625,-26.543,-59
3.142,5,106.875,-45.176,-57
3.2427,5,-9.492,-21.621,-59
3.323,5,-87.363,-0.527,-59
3.3888,5,-136.758,-0.527,-59
3.4637,5,-150.469,4.922,-59
3.5315,5,-135.352,23.555,59
3.6093,5,-95.449,35.156,58
3.6785,5,-20.215,19.512,59
3.7454,5,78.926,-18.457,59
3.8176,5,127.266,-22.324,59
3.8835,5,153.633,-29.004,58
3.9463,5,145.195,-56.777,-55
4.0349,5,120.059,-73.652,-52
4.0958,5,75.586,-78.926,-51
4.1566,5,-17.578,-46.055,-56
4.2274,5,-101.953,-25.488,-59
4.3022,5,-138.867,-24.785,-59
4.3703,5,-153.105,-15.996,-59
4.4435,5,-130.957,8.262,59
4.5344,5,-88.066,17.051,59
4.5972,5,-15.469,-1.582,59
4.6601,5,75.41,-37.266,58
4.7279,5,126.563,-41.66,57
4.7867,5,153.281,-46.055,57
4.8506,5,156.094,-60.469,30
4.9286,5,129.199,-85.781,-50
5.0146,5,84.023,-90.879,57
5.087,5,-1.406,-65.215,-53
5.1578,5,-81.387,-38.32,-57
5.2575,5,-148.184,-33.398,-58
5.6982,5,147.129,-54.141,43
5.7638,5,161.719,-59.062,30
5.8344,4,159.258,-68.73,22
5.8972,4,125.508,-86.836,21
6.0239,4,56.426,-86.309,21
6.1216,4,-77.52,-39.023,24
6.2209,4,-135.879,-44.648,66
6.3036,4,-143.613,-51.504,-42
6.3813,4,-107.578,-50.625,-42
6.517,4,58.359,-94.395,57
6.6147,0,112.676,-92.988,0
