t_s,mode,alpha_deg,theta_deg,pwm,i_ma
7.7835,5,56.953,-65.127,-45,62.3
7.8473,5,-44.121,-24.346,-48,58.5
7.9138,5,-103.008,-15.029,-49,58.5
7.9876,5,-140.098,-14.854,-49,71.3
8.0593,5,-142.559,-6.768,-49,67.4
8.1251,5,-113.555,7.646,49,67.4
8.2054,5,-29.004,-1.318,49,78.0
8.3212,5,88.066,-41.221,47,67.3
8.3879,5,132.187,-41.045,47,73.0
8.457,5,145.723,-46.143,47,73.1
8.5423,5,121.816,-61.787,-45,63.8
8.6398,5,58.887,-62.314,-45,63.8
8.7093,5,-46.934,-18.896,-49,58.0
8.7841,5,-109.336,-9.58,-49,66.7
8.8539,5,-143.262,-3.779,-49,68.6
8.9631,5,-129.375,8.174,49,80.0
9.0259,5,-95.449,15.908,49,80.0
9.0887,5,-30.234,5.01,49,74.9
9.1546,5,60.469,-31.377,48,67.8
9.2194,5,116.191,-35.947,48,67.8
9.2853,5,141.855,-36.65,48,75.4
9.358,5,140.625,-47.9,-28,44.5
9.4268,5,112.5,-60.908,-45,44.5
9.5043,5,33.223,-54.053,-46,62.9
9.5886,5,-67.324,-15.381,-49,58.2
9.6545,5,-115.137,-12.568,-49,69.5
9.7151,5,-140.801,-12.92,-49,69.5
9.781,5,-132.187,1.494,49,66.6
9.8842,5,-80.859,9.404,49,79.8
9.9726,5,9.844,-21.006,49,68.1
10.0427,5,87.187,-43.506,47,68.1
10.1031,5,128.32,-44.385,47,72.5
10.1669,5,144.844,-50.01,47,71.6
10.2485,5,124.98,-64.951,-45,68.0
10.3292,5,66.094,-68.994,-44,68.0
10.4119,5,-23.555,-34.189,-48,58.5
10.4777,5,-98.262,-16.963,-49,66.3
10.5518,5,-134.824,-16.787,-49,69.3
10.6221,5,-143.262,-10.459,-49,69.3
10.6919,5,-114.609,6.592,49,67.1
10.7703,5,-58.184,8.525,49,76.8
10.848,5,42.715,-29.268,49,76.8
10.9108,5,110.039,-36.826,48,70.8
10.9867,5,142.559,-35.244,48,75.2
11.0655,5,144.141,-44.385,-47,71.5
11.1272,5,121.992,-56.689,-46,71.5
11.2001,5,69.082,-60.205,-45,64.4
11.2669,5,-32.344,-21.709,-49,58.3
11.3403,5,-105.996,-8.35,-49,69.6
11.4211,5,-138.867,-8.877,-49,69.6
11.4848,5,-143.437,-1.846,-49,68.7
11.5586,5,-121.113,11.338,49,77.5
11.6205,5,-76.641,15.205,49,77.5
11.6873,5,15.996,-17.314,49,72.7
11.7647,5,103.711,-37.354,48,70.6
11.8416,5,142.91,-38.057,48,73.8
11.929,5,139.395,-51.943,-46,73.8
12.0068,5,102.832,-65.479,-45,67.4
12.0916,5,5.625,-45.088,-47,63.1
12.1794,5,-86.309,-15.732,-49,62.9
12.254,5,-134.297,-16.084,-49,68.7
12.3299,5,-145.371,-12.217,-49,68.7
12.4027,5,-128.672,1.318,49,67.7
12.4699,5,-85.078,8.35,49,77.9
12.5461,5,-5.625,-14.326,49,77.9
12.6109,5,85.254,-43.857,47,57.7
12.6801,5,126.738,-44.385,47,75.2
12.7447,5,145.547,-47.725,47,75.2
12.8175,5,135.703,-59.854,-45,69.3
12.8943,5,98.789,-70.225,-44,63.7
12.9552,5,-21.27,-34.541,-48,59.2
13.0587,5,-90.527,-16.611,-49,66.6
13.1209,5,-130.781,-15.908,-49,66.6
13.1901,5,-143.965,-10.986,-49,69.0
13.2666,5,-120.586,5.01,49,80.5
13.3434,5,-81.035,9.404,49,80.5
13.4093,5,32.168,-29.795,49,75.4
13.493,5,98.965,-42.275,47,69.0
13.5602,5,142.559,-42.627,47,72.4
13.6549,5,138.34,-55.107,-46,69.4
13.7289,5,112.324,-65.479,-45,69.4
13.8015,5,45.703,-61.611,-45,61.7
13.8735,5,-66.094,-17.842,-49,58.5
13.9582,5,-120.234,-13.975,-49,68.9
14.0382,5,-143.613,-8.877,-49,67.4
14.1185,5,-127.969,3.604,49,67.4
14.1823,5,-91.582,11.865,49,79.3
14.2521,5,-4.219,-9.756,49,67.7
14.323,5,85.605,-37.354,48,67.7
14.3938,5,132.715,-36.826,48,74.5
14.4676,5,146.074,-42.979,47,73.2
14.5514,5,123.398,-58.447,-46,67.8
14.6382,5,71.895,-63.018,-45,67.8
14.7079,5,-22.676,-28.389,-48,62.5
14.7803,5,-97.559,-11.514,-49,67.6
14.8471,5,-133.945,-12.041,-49,67.6
14.9074,5,-144.668,-8.174,-49,68.1
14.9687,5,-124.453,6.416,49,79.6
15.0536,5,-86.66,11.514,49,79.6
15.1163,5,6.328,-17.49,49,74.9
15.1952,5,88.242,-41.924,47,66.8
15.267,5,131.133,-42.803,47,74.5
15.3293,5,145.195,-48.779,47,74.5
15.4039,5,130.781,-61.787,-45,70.5
15.4688,5,77.871,-69.873,-44,62.5
15.5595,5,-0.879,-44.736,-46,56.5
15.6243,5,-100.898,-16.787,-49,56.5
15.7082,5,-135.352,-16.963,-49,68.5
15.775,5,-143.789,-11.865,-49,67.6
15.838,5,-127.09,0.967,49,67.6
15.9159,5,-77.52,7.646,49,80.3
15.9902,5,16.172,-24.697,49,71.6
16.063,5,98.437,-44.033,47,74.1
16.1338,5,136.406,-43.506,47,74.1
16.2027,5,144.668,-49.658,47,74.0
16.269,5,115.664,-66.885,-45,67.9
16.3568,5,50.801,-65.654,-44,59.9
16.4476,5,-79.453,-19.248,-49,65.5
16.5483,5,-131.484,-18.369,-49,65.5
16.6186,5,-144.316,-14.15,-49,68.5
16.6899,5,-128.145,-0.967,49,65.5
16.7558,5,-89.473,6.768,49,77.2
16.8222,5,3.516,-19.248,49,77.2
16.8991,5,92.988,-43.857,47,67.4
16.9764,5,135.879,-43.154,47,75.0
17.0552,5,145.723,-48.779,47,69.6
17.1178,5,120.938,-65.303,-45,69.6
17.2182,5,65.215,-68.291,-44,64.8
17.2893,5,-37.969,-28.564,-48,59.7
17.3572,5,-110.918,-17.314,-49,66.4
17.4326,5,-139.395,-17.842,-49,66.4
17.4973,5,-138.164,-6.24,49,67.5
17.5861,5,-113.203,3.252,49,79.7
17.651,5,-51.504,0.088,49,72.5
17.7313,5,56.777,-43.857,47,72.5
17.7991,5,128.145,-49.482,47,69.5
17.8982,5,144.668,-52.646,46,73.2
17.9612,5,136.406,-63.193,-45,66.0
18.027,5,93.691,-73.213,-44,66.0
18.1321,5,-4.922,-43.857,-47,60.9
18.1991,5,-101.074,-16.26,-49,58.5
18.2913,5,-137.285,-14.854,-49,69.3
18.3592,5,-140.801,-6.943,-49,68.4
18.4235,5,-119.531,5.889,49,68.4
18.4973,5,-45.527,5.186,49,77.6
18.587,5,54.316,-34.365,48,63.4
18.6563,5,116.719,-39.639,48,79.2
18.7413,5,144.668,-41.221,47,79.2
18.808,5,137.285,-52.998,-46,65.1
18.8738,5,102.656,-65.303,-45,64.7
18.9516,5,25.488,-53.877,-45,56.3
19.0693,5,-107.227,-15.381,-49,68.6
19.1418,5,-140.977,-16.084,-49,68.6
19.2166,5,-141.68,-8.877,49,68.3
19.2783,5,-113.73,3.076,49,80.7
19.3612,5,-62.578,2.197,49,73.6
19.4224,5,30.586,-36.299,48,73.6
19.4907,5,101.602,-51.064,46,69.1
19.5686,5,139.219,-51.592,46,70.8
19.679,5,131.836,-66.885,-45,63.8
19.7767,5,73.828,-74.268,-43,60.2
19.8437,5,-8.262,-44.736,-47,60.2
19.9065,5,-84.199,-20.83,-49,58.8
19.9843,5,-135.176,-18.896,-49,69.2
20.0577,5,-142.559,-13.096,-49,66.0
20.1212,5,-107.93,5.361,49,66.0
20.2179,5,-54.316,4.482,49,76.9
20.2919,5,85.605,-41.045,47,64.1
20.3922,5,128.496,-40.518,48,72.5
20.4556,5,146.074,-42.979,47,73.2
20.5373,5,132.363,-57.041,-46,73.2
20.6015,5,93.164,-67.061,-44,61.8
20.6727,5,25.312,-54.756,-46,58.7
20.7406,5,-74.531,-18.545,-49,58.7
20.8144,5,-123.047,-17.49,-49,65.6
20.8772,5,-144.492,-16.787,-49,68.6
20.9424,5,-137.461,-6.24,49,68.6
21.0113,5,-108.809,3.076,49,78.6
21.0871,5,-44.121,-2.9,49,76.3
21.1508,5,70.137,-47.725,47,71.1
21.2335,5,121.113,-50.713,46,71.1
21.3024,5,143.086,-51.768,46,71.1
21.3641,5,135.527,-65.303,-45,67.9
21.4579,5,101.074,-75.146,-43,60.7
21.5209,5,39.375,-67.061,-44,60.7
21.5877,5,-49.043,-28.74,-48,57.5
21.6501,5,-114.258,-20.303,-49,70.2
21.7269,5,-142.91,-18.369,-49,70.2
21.8072,5,-135.879,-6.592,49,67.8
21.8745,5,-101.953,4.834,49,79.4
21.9507,5,-26.016,-6.943,49,68.9
22.0216,5,83.672,-44.736,47,68.9
22.1064,5,133.418,-44.736,47,71.5
22.1857,5,145.02,-50.537,47,71.0
22.2617,5,129.727,-62.49,-45,63.9
22.3245,5,91.934,-69.697,-44,63.9
22.4012,5,-30.234,-29.971,-48,59.7
22.495,5,-101.953,-15.381,-49,65.6
22.5668,5,-136.934,-15.205,-49,69.4
22.6338,5,-131.484,0.615,49,67.4
22.7435,5,-92.285,10.811,49,67.4
22.8132,5,-18.633,-3.779,49,76.3
22.8861,5,79.277,-37.178,48,69.5
22.9543,5,128.848,-37.178,48,75.9
23.0451,5,146.953,-41.748,47,75.9
23.1134,5,119.531,-60.381,-45,69.0
23.2061,5,71.543,-64.072,-45,66.1
23.271,5,-11.777,-34.893,-48,57.8
23.3368,5,-87.891,-13.975,-49,57.8
23.414,5,-134.473,-14.502,-49,69.4
23.4808,5,-144.844,-9.932,-49,68.4
23.5487,5,-129.023,2.021,49,68.4
23.6103,5,-85.957,9.053,49,77.5
23.6831,5,-12.48,-10.459,49,72.0
23.7582,5,86.836,-43.857,47,72.3
23.8247,5,127.266,-44.736,47,72.3
23.8874,5,146.074,-49.131,47,72.5
23.9644,5,136.406,-60.557,-46,65.5
24.0252,5,105.469,-70.4,-44,65.5
24.0921,5,52.207,-66.709,-44,61.4
24.1549,5,-39.375,-27.861,-48,61.4
24.2357,5,-114.609,-16.436,-49,60.9
24.3021,5,-139.922,-15.557,-49,69.1
24.3696,5,-134.648,-2.549,49,53.7
24.4568,5,-104.414,6.768,49,53.7
24.5202,5,-44.824,0.967,49,76.6
24.5911,5,57.832,-40.693,48,64.0
24.6589,5,111.445,-46.318,47,64.0
24.7217,5,140.098,-46.67,47,72.6
24.7985,5,139.57,-57.92,-46,69.8
24.8713,5,111.797,-70.225,-44,63.4
24.937,5,64.16,-70.752,-44,63.4
24.9983,5,-27.246,-35.244,-48,57.4
