t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,-1.582,4.131,49,27.6
0.0774,5,6.855,-3.779,49,75.0
0.1411,5,15.645,-17.139,49,74.1
0.225,5,12.832,-28.037,-49,73.9
0.2949,5,-10.195,-28.037,-49,73.9
0.3737,5,-29.883,-24.346,-49,67.5
0.4605,5,-25.84,-25.928,49,69.9
0.5313,5,1.406,-38.936,48,71.4
0.597,5,29.355,-53.174,46,71.4
0.6673,5,33.047,-56.865,36,60.5
0.7342,5,-5.273,-40.342,-47,61.6
0.8213,5,-42.012,-21.709,-49,64.8
0.903,5,-43.242,-15.732,-49,64.8
0.9737,5,-16.699,-19.248,49,67.9
1.0399,5,26.367,-34.893,48,69.8
1.1008,5,51.504,-41.396,47,69.8
1.1677,5,45.703,-40.869,-47,72.1
1.2483,5,-9.316,-16.963,-49,64.1
1.3322,5,-54.316,2.725,-49,66.7
1.41,5,-61.875,8.701,-49,66.7
1.4728,5,-32.52,6.768,49,68.1
1.5513,5,25.137,-16.084,49,69.8
1.6158,5,63.281,-27.158,49,69.8
1.6798,5,72.598,-30.85,48,74.7
1.7507,5,48.164,-30.322,-48,67.4
1.8225,5,-14.766,-6.24,-49,62.3
1.8853,5,-61.699,9.229,-49,62.3
1.9622,5,-79.277,14.854,-49,68.8
2.046,5,-36.738,9.58,49,76.3
2.1309,5,39.902,-23.467,49,68.3
2.2092,5,81.562,-34.014,48,68.3
2.2804,5,82.793,-40.693,-48,72.4
2.3731,5,21.094,-31.729,-48,69.5
2.4629,5,-56.953,-2.725,-49,60.6
2.5326,5,-92.812,1.67,-49,68.8
2.6034,5,-89.121,4.834,49,68.8
2.6851,5,-48.516,0.088,49,75.9
2.753,5,26.719,-32.959,48,66.2
2.8158,5,78.574,-47.549,47,66.2
2.8776,5,101.074,-51.416,46,72.0
2.9425,5,93.34,-56.514,-46,28.1
3.0123,5,45.527,-52.646,-46,28.1
3.0892,5,-42.012,-16.611,-49,59.9
3.1615,5,-90.527,-6.943,-49,67.7
3.2275,5,-108.809,-4.131,-49,67.7
3.288,5,-95.273,2.373,49,69.2
3.3608,5,-50.273,-0.439,49,72.9
3.4396,5,70.137,-43.857,47,65.9
3.5395,5,113.73,-47.549,47,72.2
3.6278,5,105.996,-53.174,-46,64.4
3.7015,5,69.434,-54.053,-46,64.4
3.7634,5,-18.105,-21.357,-49,61.6
3.8365,5,-88.242,-2.021,-49,68.0
3.9123,5,-119.531,2.021,-49,68.5
4.0002,5,-109.16,10.459,49,68.5
4.0631,5,-66.797,13.975,49,77.8
4.1349,5,17.578,-15.381,49,64.1
4.2137,5,102.656,-32.432,48,72.5
4.2914,5,125.332,-32.959,48,72.5
4.3553,5,121.113,-40.166,-48,71.7
4.4191,5,92.637,-46.67,-47,71.7
4.4809,5,32.344,-37.529,-48,65.6
4.5498,5,-63.809,-0.439,-49,61.4
4.6186,5,-113.027,3.252,-49,61.4
4.6861,5,-130.605,4.834,-49,69.2
4.7544,5,-107.578,16.611,49,77.7
4.8492,5,-54.492,13.975,49,77.5
4.9211,5,57.656,-30.498,49,62.1
5.005,5,111.973,-36.65,48,62.1
5.0713,5,135.352,-40.166,48,73.0
5.1486,5,121.641,-52.471,-46,69.3
5.2294,5,79.98,-58.447,-46,69.3
5.2939,5,-1.582,-34.014,-48,62.3
5.3627,5,-82.266,-8.525,-49,63.4
5.4354,5,-131.309,-7.646,-49,71.9
5.5182,5,-136.406,-1.846,-49,71.9
5.5818,5,-117.949,7.998,49,78.9
5.6462,5,-71.895,10.811,49,76.4
5.7214,5,24.082,-24.873,49,76.4
5.7843,5,97.91,-41.045,47,69.0
5.8586,5,132.891,-41.221,47,72.7
5.9267,5,139.395,-47.373,47,72.7
5.9945,5,114.609,-60.732,-45,69.2
6.0724,5,46.934,-58.447,-45,63.6
6.1522,5,-68.203,-14.678,-49,58.6
6.2519,5,-131.66,-11.865,-49,69.5
6.3368,5,-140.449,-5.889,-49,66.6
6.4051,5,-115.488,8.525,49,66.6
6.4908,5,-49.746,8.701,49,75.5
6.572,5,56.074,-31.025,48,63.3
6.647,5,117.598,-35.068,48,75.0
6.7211,5,143.437,-35.244,48,75.0
6.7919,5,134.473,-48.604,-47,74.7
6.8677,5,95.801,-60.205,-45,66.9
6.9391,5,7.91,-41.045,-47,59.8
7.0329,5,-87.363,-11.338,-49,59.8
7.0945,5,-133.066,-12.393,-49,68.2
7.1723,5,-142.559,-4.658,-49,69.0
7.269,5,-116.719,7.998,49,79.6
7.3342,5,-68.555,9.58,49,79.6
7.4007,5,25.137,-26.104,49,73.6
7.4785,5,104.062,-42.1,47,71.9
7.5445,5,140.449,-41.748,47,67.8
7.6234,5,143.965,-50.361,47,67.8
7.6972,5,119.355,-64.424,-45,70.7
