t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.035,0.18,-0.18,-0.18,-34,5,14.788,5.7,86.0
0.128,-0.18,-0.7,-0.7,-34,5,14.796,4.4,66.0
0.205,-1.93,-2.64,-2.64,54,5,14.608,57.1,836.0
0.28,-15.64,-14.77,-14.77,52,5,14.624,53.1,776.0
0.362,-35.33,-24.96,-24.96,46,5,14.688,33.9,498.0
0.465,-49.4,-1.41,-1.41,-39,5,14.788,4.8,72.0
0.564,-49.22,32.17,32.17,-40,5,14.796,8.9,132.0
0.645,-57.83,30.59,30.59,36,5,14.78,10.8,160.0
0.731,-77.34,-2.99,-2.99,28,5,14.792,5.3,78.0
0.812,-85.96,-22.85,-22.85,24,5,14.788,4.7,68.0
0.883,-76.47,-11.07,-11.07,-19,5,14.792,4.0,58.0
0.967,-57.13,16.88,16.88,-35,5,14.792,4.0,58.0
1.056,-45.53,24.43,24.43,41,5,14.74,22.7,334.0
1.133,-53.44,-2.81,-2.81,38,5,14.764,13.1,194.0
1.236,-61.52,-30.06,-30.06,34,5,14.772,9.1,134.0
1.318,-49.4,-12.48,-12.48,-39,5,14.792,4.3,62.0
1.395,-29.71,19.86,19.86,-48,5,14.776,11.2,164.0
1.471,-17.4,33.93,33.93,-30,5,14.796,5.2,76.0
1.551,-23.38,9.84,9.84,50,5,14.632,51.0,748.0
1.63,-48.16,-38.15,-38.15,40,5,14.748,18.7,276.0
1.708,-57.3,-50.8,-50.8,-36,5,14.788,4.9,72.0
1.797,-49.57,-16.0,-16.0,-39,5,14.788,6.2,92.0
1.889,-27.95,44.47,44.47,-49,5,14.756,15.6,194.0
1.969,-25.14,54.84,54.84,-27,5,14.796,3.9,58.0
2.072,-36.39,24.61,24.61,45,5,14.704,33.1,488.0
2.165,-75.59,-53.79,-53.79,29,5,14.792,6.3,92.0
2.241,-75.41,-50.1,-50.1,-20,5,14.792,4.4,66.0
2.343,-48.34,12.13,12.13,-39,5,14.692,14.1,206.0
2.418,-31.64,54.49,54.49,-47,5,14.768,11.8,174.0
2.506,-28.65,53.61,53.61,48,5,14.656,41.5,610.0
2.595,-55.37,-7.91,-7.91,37,5,14.776,12.0,176.0
2.671,-75.23,-56.07,-56.07,29,5,14.788,5.5,82.0
2.752,-74.0,-53.26,-53.26,-23,5,14.792,5.4,78.0
2.831,-53.26,-4.75,-4.75,-37,5,14.788,6.2,56.0
2.912,-29.36,47.46,47.46,-48,5,14.768,13.5,200.0
2.998,-21.62,59.77,59.77,51,5,14.624,53.6,784.0
3.096,-40.6,8.09,8.09,44,5,14.72,24.7,364.0
3.173,-69.43,-53.09,-53.09,31,5,14.804,3.3,50.0
3.246,-73.83,-66.27,-66.27,26,5,14.796,4.0,58.0
3.341,-61.0,-23.55,-23.55,-34,5,14.792,3.7,56.0
3.424,-31.46,42.72,42.72,-47,5,14.768,7.9,150.0
3.537,-21.97,67.5,67.5,-28,5,14.616,53.4,780.0
3.613,-33.75,26.19,26.19,46,5,14.684,34.7,512.0
3.707,-70.66,-49.22,-49.22,30,5,14.792,6.9,102.0
3.781,-76.99,-72.25,-72.25,25,5,14.792,4.6,68.0
3.861,-72.77,-50.98,-50.98,-24,5,14.792,6.8,102.0
3.937,-43.59,16.17,16.17,-42,5,14.788,5.4,78.0
4.025,-25.49,69.61,69.61,-49,5,14.752,15.1,222.0
4.099,-22.15,68.2,68.2,51,5,14.62,54.1,790.0
4.173,-35.51,24.96,24.96,46,5,14.696,32.2,472.0
4.27,-75.41,-60.47,-60.47,29,5,14.792,4.8,72.0
4.367,-78.75,-72.25,-72.25,-15,5,14.796,5.0,76.0
4.443,-68.91,-35.16,-35.16,-31,5,14.792,3.8,56.0
4.536,-32.34,48.34,48.34,-47,5,14.776,9.9,148.0
4.613,-24.43,76.29,76.29,-28,5,14.752,17.6,258.0
4.685,-23.73,63.81,63.81,50,5,14.632,49.6,728.0
4.783,-61.88,-21.27,-21.27,34,5,14.784,7.0,104.0
4.869,-79.63,-70.66,-70.66,27,5,14.792,6.1,76.0
4.949,-80.68,-72.95,-72.95,-12,5,14.792,2.9,42.0
5.025,-67.15,-26.72,-26.72,-32,5,14.796,4.5,66.0
5.097,-35.68,43.07,43.07,-45,5,14.78,6.2,92.0
5.211,-25.84,78.75,78.75,36,5,14.756,15.1,222.0
5.315,-39.02,26.89,26.89,44,5,14.7,32.8,482.0
5.411,-80.16,-60.47,-60.47,27,5,14.788,6.5,96.0
5.503,-84.02,-76.64,-76.64,-7,5,14.796,3.5,52.0
5.585,-76.64,-44.65,-44.65,-18,5,14.8,3.4,50.0
5.676,-37.44,45.88,45.88,-45,5,14.78,8.3,122.0
5.755,-29.36,76.99,76.99,-48,5,14.764,15.7,232.0
5.836,-27.95,66.62,66.62,49,5,14.652,43.1,632.0
5.94,-62.58,-14.41,-14.41,34,5,14.788,6.4,96.0
6.055,-83.67,-77.17,-77.17,26,5,14.8,4.0,58.0
6.147,-77.17,-49.75,-49.75,-17,5,14.796,4.2,62.0
6.229,-41.31,29.88,29.88,-43,5,14.78,7.5,112.0
6.318,-28.48,71.89,71.89,-48,5,14.76,13.5,200.0
6.414,-26.02,60.82,60.82,49,5,14.652,44.9,658.0
6.508,-64.16,-23.73,-23.73,33,5,14.784,6.9,102.0
6.597,-80.86,-74.71,-74.71,27,5,14.792,6.8,102.0
6.671,-80.68,-71.89,-71.89,-12,5,14.792,5.2,76.0
6.746,-68.38,-29.71,-29.71,-31,5,14.788,5.5,82.0
6.829,-34.45,46.58,46.58,-46,5,14.78,7.8,114.0
6.907,-26.19,77.52,77.52,-27,5,14.752,15.3,226.0
6.985,-25.49,63.63,63.63,49,5,14.64,47.5,694.0
7.09,-65.57,-24.96,-24.96,33,5,14.8,5.8,86.0
7.16,-81.91,-72.42,-72.42,27,5,14.804,4.2,62.0
7.234,-82.97,-76.29,-76.29,-8,5,14.792,4.2,62.0
7.326,-68.38,-24.61,-24.61,-31,5,14.796,4.0,58.0
7.406,-36.03,49.22,49.22,-45,5,14.784,8.6,128.0
7.488,-28.3,79.28,79.28,-48,5,14.764,11.2,164.0
7.558,-28.12,66.09,66.09,49,5,14.62,52.5,770.0
7.642,-56.43,-2.64,-2.64,37,5,14.776,10.2,150.0
7.73,-81.91,-63.98,-63.98,26,5,14.792,5.3,78.0
7.828,-84.02,-75.41,-75.41,-7,5,14.788,4.6,68.0
7.902,-69.96,-27.95,-27.95,-29,5,14.788,4.4,66.0
7.978,-36.21,47.46,47.46,-45,5,14.784,10.3,150.0
8.053,-28.12,77.17,77.17,-48,5,14.76,15.0,222.0
8.135,-26.19,67.68,67.68,49,5,14.652,45.2,662.0
8.226,-56.95,-6.33,-6.33,36,5,14.776,10.1,150.0
8.299,-80.86,-66.09,-66.09,27,5,14.792,5.8,86.0
8.372,-82.97,-77.52,-77.52,24,5,14.8,4.1,62.0
8.451,-75.76,-46.41,-46.41,-19,5,14.792,3.6,52.0
8.536,-42.72,27.6,27.6,-42,5,14.788,6.6,98.0
8.623,-28.12,75.94,75.94,-26,5,14.768,15.9,236.0
8.7,-25.66,70.84,70.84,49,5,14.64,46.7,684.0
8.774,-43.59,17.75,17.75,42,5,14.728,21.8,322.0
8.858,-76.47,-50.8,-50.8,28,5,14.796,5.7,86.0
8.953,-82.79,-77.87,-77.87,-2,5,14.792,2.8,42.0
9.048,-70.84,-32.87,-32.87,-28,5,14.792,3.1,46.0
9.171,-33.22,54.84,54.84,-46,5,14.772,9.2,134.0
9.25,-25.49,76.82,76.82,49,5,14.644,46.6,682.0
9.334,-32.87,41.84,41.84,47,5,14.68,37.4,550.0
9.408,-74.0,-42.01,-42.01,29,5,14.788,4.3,62.0
9.487,-83.32,-76.99,-76.99,26,5,14.792,3.6,52.0
9.56,-82.44,-69.96,-69.96,-9,5,14.792,4.6,68.0
9.652,-63.1,-12.83,-12.83,-33,5,14.792,0.1,0.0
9.73,-32.87,62.05,62.05,-47,5,14.776,10.5,154.0
9.818,-27.42,77.69,77.69,49,5,14.644,45.3,662.0
9.897,-34.45,43.77,43.77,46,5,14.68,34.4,504.0
9.967,-69.78,-27.25,-27.25,34,5,14.788,6.6,98.0
10.068,-85.08,-76.64,-76.64,-1,5,14.796,4.6,68.0
10.144,-82.79,-64.51,-64.51,-9,5,14.8,3.7,56.0
10.216,-63.1,-10.02,-10.02,-33,5,14.78,6.7,98.0
10.308,-33.93,61.0,61.0,-46,5,14.772,11.0,164.0
10.405,-28.3,73.65,73.65,48,5,14.66,43.2,632.0
10.483,-40.08,31.29,31.29,43,5,14.712,26.4,390.0
10.56,-76.64,-43.24,-43.24,29,5,14.792,4.2,62.0
10.633,-84.55,-74.36,-74.36,25,5,14.768,8.0,118.0
10.71,-82.97,-65.92,-65.92,-8,5,14.8,4.0,58.0
10.809,-50.1,14.06,14.06,-39,5,14.788,5.6,82.0
10.89,-32.17,64.51,64.51,-47,5,14.768,13.1,194.0
10.965,-27.6,74.53,74.53,-26,5,14.784,7.7,114.0
11.068,-38.85,25.31,25.31,45,5,14.704,31.2,458.0
11.148,-76.11,-57.3,-57.3,28,5,14.784,7.7,82.0
11.227,-79.28,-77.34,-77.34,25,5,14.788,5.3,78.0
11.307,-73.83,-53.97,-53.97,-23,5,14.796,4.6,68.0
11.4,-37.44,28.48,28.48,-44,5,14.788,6.3,92.0
11.501,-21.45,77.52,77.52,-51,5,14.74,20.1,294.0
11.585,-20.57,60.47,60.47,51,5,14.624,53.5,784.0
11.663,-53.26,-11.43,-11.43,41,5,14.748,15.7,232.0
