t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.034,-0.18,0.18,0.18,-34,5,14.7,2.9,42.0
0.134,0.88,1.76,1.76,-54,5,14.604,28.5,416.0
0.219,12.3,11.43,11.43,-54,5,14.608,28.4,416.0
0.296,23.55,14.59,14.59,29,5,14.692,4.2,62.0
0.377,17.58,-12.13,-12.13,53,5,14.488,52.8,764.0
0.456,1.41,-39.55,-39.55,54,5,14.476,56.1,812.0
0.534,-12.83,-43.24,-43.24,-54,5,14.592,29.5,430.0
0.615,-5.62,0.88,0.88,-54,5,14.616,26.2,384.0
0.689,9.32,48.69,48.69,-54,5,14.596,29.4,430.0
0.774,13.18,61.17,61.17,54,5,14.48,58.0,838.0
0.871,-10.02,8.96,8.96,54,5,14.5,51.0,740.0
0.945,-47.99,-57.13,-57.13,47,5,14.564,35.7,522.0
1.039,-68.03,-81.91,-81.91,-16,5,14.704,3.3,50.0
1.12,-78.22,-56.43,-56.43,-38,5,14.696,5.7,86.0
1.224,-56.95,46.23,46.23,-44,5,14.644,15.4,226.0
1.299,-58.53,84.73,84.73,-44,5,14.684,8.9,132.0
1.39,-64.69,78.75,78.75,42,5,14.624,25.8,376.0
1.462,-81.74,31.11,31.11,37,5,14.684,12.4,184.0
1.539,-118.48,-41.13,-41.13,27,5,14.676,7.2,104.0
1.645,-126.39,-75.41,-75.41,26,5,14.688,-8.6,124.0
1.719,-118.65,-48.34,-48.34,-27,5,14.704,4.9,72.0
1.811,-78.57,35.68,35.68,-38,5,14.7,4.2,62.0
1.896,-64.86,76.47,76.47,-42,5,14.684,6.4,96.0
1.993,-62.93,58.18,58.18,43,5,14.608,25.6,374.0
2.09,-96.5,-26.72,-26.72,34,5,14.688,9.3,138.0
2.183,-106.17,-72.95,-72.95,30,5,14.7,7.1,104.0
2.254,-101.78,-63.81,-63.81,-31,5,14.692,6.2,92.0
2.324,-83.67,-18.28,-18.28,-36,5,14.7,5.3,78.0
2.416,-47.28,59.41,59.41,-47,5,14.676,11.0,160.0
2.511,-38.32,75.76,75.76,49,5,14.532,43.8,636.0
2.601,-47.46,27.42,27.42,47,5,14.556,37.6,548.0
2.688,-83.85,-51.85,-51.85,37,5,14.66,12.5,184.0
2.773,-91.76,-82.44,-82.44,34,5,14.68,8.9,132.0
2.867,-90.35,-52.56,-52.56,-35,5,14.7,7.0,102.0
2.938,-63.1,17.93,17.93,-42,5,14.692,6.7,98.0
3.008,-48.52,70.31,70.31,-47,5,14.664,11.6,170.0
3.08,-46.05,85.96,85.96,-47,5,14.664,13.1,194.0
3.159,-48.16,64.69,64.69,47,5,14.56,37.8,550.0
3.242,-84.73,-16.0,-16.0,36,5,14.688,8.8,128.0
3.324,-105.47,-72.95,-72.95,31,5,14.692,7.8,114.0
3.4,-108.11,-81.39,-81.39,-30,5,14.704,3.8,36.0
3.488,-98.79,-35.33,-35.33,-32,5,14.704,6.3,92.0
3.561,-65.39,41.13,41.13,-42,5,14.7,6.2,92.0
3.689,-54.84,85.96,85.96,-19,5,14.684,9.4,138.0
3.774,-58.36,54.14,54.14,44,5,14.6,27.9,406.0
3.86,-98.61,-35.86,-35.86,32,5,14.692,7.1,104.0
3.938,-108.63,-77.52,-77.52,30,5,14.696,6.4,96.0
4.014,-107.58,-75.06,-75.06,-30,5,14.696,5.5,82.0
4.103,-89.12,-17.58,-17.58,-35,5,14.688,7.4,108.0
4.177,-56.95,55.9,55.9,-44,5,14.684,7.9,114.0
4.286,-48.16,82.62,82.62,47,5,14.552,39.8,580.0
4.364,-52.56,49.75,49.75,46,5,14.58,34.6,504.0
4.442,-88.42,-27.42,-27.42,35,5,14.684,8.9,132.0
4.527,-102.83,-76.11,-76.11,31,5,14.696,6.0,88.0
4.601,-103.89,-78.93,-78.93,-31,5,14.692,4.0,58.0
4.681,-93.87,-34.98,-34.98,-34,5,14.7,5.0,72.0
4.764,-59.77,42.36,42.36,-43,5,14.696,5.7,86.0
4.844,-49.92,84.2,84.2,-46,5,14.672,11.2,164.0
4.918,-48.52,75.06,75.06,47,5,14.552,39.8,580.0
4.993,-64.51,23.2,23.2,43,5,14.624,21.1,308.0
5.065,-100.37,-52.91,-52.91,32,5,14.688,6.8,98.0
5.141,-106.88,-82.62,-82.62,30,5,14.684,7.5,112.0
5.214,-106.35,-72.6,-72.6,-30,5,14.684,-16.7,242.0
5.297,-90.0,-18.11,-18.11,-34,5,14.7,3.7,56.0
5.375,-58.89,56.78,56.78,-44,5,14.684,9.0,132.0
5.448,-53.09,85.08,85.08,-45,5,14.68,9.8,144.0
5.557,-54.84,59.94,59.94,45,5,14.588,32.1,468.0
5.638,-96.15,-32.52,-32.52,33,5,14.692,6.6,98.0
5.737,-108.98,-80.68,-80.68,30,5,14.692,8.6,128.0
5.825,-106.7,-64.86,-64.86,-30,5,14.704,3.8,56.0
5.919,-72.77,18.98,18.98,-40,5,14.7,6.4,56.0
5.999,-55.55,74.36,74.36,-44,5,14.696,7.3,108.0
6.091,-51.85,81.03,81.03,46,5,14.564,36.7,534.0
6.165,-60.47,39.55,39.55,43,5,14.596,28.2,412.0
6.239,-97.91,-39.73,-39.73,33,5,14.604,-7.2,104.0
6.316,-107.4,-78.4,-78.4,30,5,14.692,5.7,86.0
6.388,-107.05,-75.41,-75.41,-30,5,14.696,5.2,76.0
6.462,-97.03,-35.33,-35.33,-33,5,14.696,6.4,96.0
6.551,-58.89,53.09,53.09,-44,5,14.672,12.1,176.0
6.635,-52.03,82.79,82.79,-46,5,14.676,12.1,176.0
6.71,-51.15,69.43,69.43,46,5,14.572,36.9,538.0
6.787,-74.88,5.45,5.45,39,5,14.656,17.3,252.0
6.883,-104.41,-68.2,-68.2,31,5,14.7,7.1,104.0
