t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.056,-5.27,-5.27,-5.27,54,5,14.556,60.1,816.0
0.142,-26.89,-21.97,-21.97,52,5,14.576,56.0,816.0
0.225,-46.41,-22.5,-22.5,-47,5,14.724,14.9,220.0
0.301,-45.88,8.09,8.09,-47,5,14.752,11.6,170.0
0.374,-40.6,38.67,38.67,-49,5,14.724,16.9,250.0
0.47,-43.07,37.09,37.09,48,5,14.624,45.9,672.0
0.562,-71.02,-13.89,-13.89,40,5,14.712,17.6,258.0
0.655,-85.61,-43.24,-43.24,0,5,14.772,3.6,52.0
0.772,-68.03,-5.8,-5.8,-13,5,14.772,6.2,92.0
0.872,-40.78,47.11,47.11,-49,5,14.728,16.8,250.0
0.954,-37.62,36.21,36.21,50,5,14.608,47.6,694.0
1.039,-63.63,-21.97,-21.97,42,5,14.692,23.6,348.0
1.128,-77.17,-57.48,-57.48,2,5,14.776,5.1,76.0
1.216,-72.07,-40.25,-40.25,-5,5,14.776,3.9,58.0
1.302,-38.32,31.99,31.99,-49,5,14.736,14.5,212.0
1.386,-24.26,63.81,63.81,-52,5,14.704,22.1,324.0
1.466,-20.39,52.38,52.38,53,5,14.576,56.3,822.0
1.566,-56.95,-31.99,-31.99,45,5,14.672,30.4,446.0
1.646,-72.25,-74.36,-74.36,40,5,14.716,18.2,268.0
1.728,-76.64,-71.54,-71.54,2,5,14.776,3.8,56.0
1.812,-60.65,-7.56,-7.56,-30,5,14.776,3.9,58.0
1.908,-37.27,60.65,60.65,-50,5,14.724,16.8,246.0
1.993,-31.64,81.74,81.74,51,5,14.58,53.3,776.0
2.067,-35.86,53.26,53.26,50,5,14.608,49.9,730.0
2.146,-74.36,-26.02,-26.02,39,5,14.728,16.1,236.0
2.237,-91.06,-79.81,-79.81,0,5,14.76,6.3,50.0
2.411,-66.09,-7.91,-7.91,-16,5,14.772,3.9,58.0
2.512,-32.7,75.76,75.76,-51,5,14.72,19.5,278.0
2.647,-23.38,69.61,69.61,52,5,14.568,60.8,884.0
2.724,-55.2,-11.78,-11.78,45,5,14.684,27.6,406.0
2.825,-80.16,-85.43,-85.43,6,5,14.772,4.5,66.0
2.899,-81.56,-92.11,-92.11,0,5,14.776,3.7,56.0
2.98,-77.17,-57.13,-57.13,5,5,14.776,3.2,46.0
3.071,-35.51,43.07,43.07,-49,5,14.74,13.9,206.0
3.165,-24.08,91.06,91.06,52,5,14.7,28.9,422.0
3.324,-21.62,71.72,71.72,53,5,14.588,55.5,810.0
3.42,-78.93,-69.43,-69.43,4,5,14.772,4.3,62.0
3.524,-84.2,-104.77,-104.77,0,5,14.776,4.8,72.0
3.607,-84.2,-81.91,-81.91,0,5,14.712,14.6,216.0
3.74,-34.8,55.02,55.02,-50,5,14.736,14.7,216.0
3.834,-26.72,103.89,103.89,52,5,14.572,58.5,852.0
3.937,-27.95,99.49,99.49,-52,5,14.684,26.7,394.0
4.019,-44.12,24.61,24.61,48,5,14.576,44.7,656.0
4.126,-87.01,-80.33,-80.33,0,5,14.776,1.8,26.0
4.213,-88.42,-110.22,-110.22,0,5,14.776,3.5,52.0
4.313,-86.48,-75.59,-75.59,0,5,14.772,3.7,56.0
4.403,-45.53,27.77,27.77,-47,5,14.756,9.0,134.0
4.482,-28.83,90.7,90.7,0,5,14.712,19.8,292.0
4.558,-27.77,111.97,111.97,52,5,14.564,58.9,858.0
4.637,-29.0,95.1,95.1,-51,5,14.708,21.6,318.0
4.751,-62.4,-8.26,-8.26,43,5,14.704,22.6,288.0
4.843,-88.59,-93.87,-93.87,0,5,14.716,14.7,216.0
4.945,-87.89,-109.69,-109.69,0,5,14.78,1.9,30.0
5.025,-84.73,-70.66,-70.66,0,5,14.776,3.1,46.0
5.103,-49.75,16.35,16.35,-46,5,14.768,6.7,98.0
5.215,-27.25,95.1,95.1,52,5,14.568,59.2,862.0
5.288,-28.12,114.26,114.26,-52,5,14.712,24.3,358.0
5.385,-27.95,74.53,74.53,52,5,14.572,56.6,826.0
5.458,-62.93,-16.0,-16.0,43,5,14.712,20.4,302.0
5.535,-84.2,-90.18,-90.18,0,5,14.776,4.0,58.0
5.636,-82.79,-119.53,-119.53,0,5,14.78,4.1,58.0
5.718,-82.97,-97.91,-97.91,0,5,14.776,3.3,50.0
5.797,-70.84,-37.79,-37.79,-7,5,14.776,3.0,46.0
5.897,-24.43,79.98,79.98,-52,5,14.68,26.1,384.0
5.984,-22.68,120.41,120.41,53,5,14.576,55.7,812.0
6.085,-24.96,108.81,108.81,-52,5,14.704,20.6,302.0
6.158,-30.76,46.76,46.76,51,5,14.596,49.6,724.0
