t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.024,-0.53,-0.7,-0.7,54,5,14.456,57.8,836.0
0.098,-11.95,-11.6,-11.6,54,5,14.468,54.7,792.0
0.188,-35.86,-25.31,-25.31,50,5,14.512,47.1,684.0
0.265,-51.15,-17.58,-17.58,-46,5,14.656,9.5,138.0
0.337,-49.04,15.82,15.82,-47,5,14.668,11.9,174.0
0.429,-47.46,41.66,41.66,-47,5,14.664,11.4,168.0
0.522,-61.17,21.27,21.27,43,5,14.596,27.1,396.0
0.601,-87.89,-23.03,-23.03,35,5,14.664,11.5,168.0
0.683,-98.61,-39.9,-39.9,-32,5,14.7,5.6,82.0
0.766,-87.36,-7.56,-7.56,-35,5,14.68,7.4,108.0
0.844,-67.85,36.74,36.74,-41,5,14.684,7.3,108.0
0.921,-62.75,46.58,46.58,43,5,14.624,25.7,376.0
1.021,-79.28,2.81,2.81,38,5,14.652,13.7,200.0
1.128,-97.56,-44.12,-44.12,33,5,14.692,8.4,124.0
1.202,-90.88,-31.46,-31.46,-34,5,14.7,8.4,124.0
1.279,-66.27,14.41,14.41,-42,5,14.676,7.8,114.0
1.356,-48.69,47.64,47.64,-47,5,14.664,10.3,150.0
1.448,-45.7,37.62,37.62,48,5,14.532,41.2,600.0
1.547,-76.11,-31.29,-31.29,39,5,14.648,15.9,232.0
1.618,-85.43,-56.78,-56.78,-11,5,14.664,10.9,160.0
1.695,-82.97,-42.72,-42.72,-37,5,14.688,4.6,68.0
1.778,-58.53,14.77,14.77,-44,5,14.696,7.2,104.0
1.86,-42.01,59.24,59.24,-48,5,14.664,14.5,212.0
1.958,-40.6,48.16,48.16,49,5,14.52,43.4,630.0
2.058,-77.87,-31.82,-31.82,38,5,14.652,15.5,226.0
2.146,-91.23,-68.2,-68.2,34,5,14.672,9.6,140.0
2.229,-91.06,-54.32,-54.32,-34,5,14.7,4.5,66.0
2.317,-68.91,5.8,5.8,-41,5,14.652,12.2,180.0
2.394,-48.34,66.97,66.97,-47,5,14.66,12.7,186.0
2.492,-46.41,63.28,63.28,47,5,14.544,39.4,574.0
2.57,-67.85,8.96,8.96,41,5,14.628,19.0,278.0
2.642,-97.03,-54.67,-54.67,33,5,14.68,7.2,104.0
2.711,-102.13,-73.3,-73.3,31,5,14.68,9.3,138.0
2.785,-100.55,-58.18,-58.18,-32,5,14.696,5.4,78.0
2.867,-72.42,12.66,12.66,-40,5,14.708,6.2,92.0
2.964,-53.26,68.38,68.38,-45,5,14.676,9.7,140.0
3.041,-49.4,73.12,73.12,47,5,14.532,41.2,600.0
3.127,-64.69,21.97,21.97,42,5,14.608,23.6,344.0
3.2,-97.73,-49.4,-49.4,33,5,14.684,7.0,102.0
3.293,-103.71,-76.11,-76.11,-31,5,14.696,5.8,86.0
3.378,-98.09,-48.16,-48.16,-32,5,14.552,-0.5,6.0
3.453,-64.51,27.6,27.6,-42,5,14.688,7.8,114.0
3.533,-50.45,73.12,73.12,-46,5,14.652,14.1,206.0
3.618,-46.23,75.06,75.06,47,5,14.536,40.8,594.0
3.696,-59.77,25.31,25.31,44,5,14.604,25.6,374.0
3.792,-96.15,-55.02,-55.02,33,5,14.692,7.1,104.0
3.875,-101.78,-80.33,-80.33,-31,5,14.68,6.7,98.0
3.96,-97.91,-52.91,-52.91,-32,5,14.7,4.5,66.0
4.037,-63.1,30.06,30.06,-42,5,14.688,-9.0,132.0
4.139,-48.87,82.09,82.09,-47,5,14.66,11.9,174.0
4.214,-46.58,73.3,73.3,47,5,14.552,38.4,560.0
4.311,-74.88,-1.93,-1.93,40,5,14.652,12.4,180.0
4.383,-100.19,-65.22,-65.22,32,5,14.684,5.5,82.0
4.478,-103.89,-82.09,-82.09,-31,5,14.696,5.2,76.0
4.548,-99.67,-53.44,-53.44,-32,5,14.684,6.1,88.0
4.618,-70.49,16.52,16.52,-38,5,14.696,2.7,40.0
4.696,-53.09,70.84,70.84,-45,5,14.672,10.0,148.0
4.792,-47.99,83.32,83.32,47,5,14.528,42.9,622.0
4.867,-56.25,42.72,42.72,45,5,14.576,30.8,448.0
4.945,-95.1,-37.97,-37.97,33,5,14.68,8.8,128.0
5.017,-106.0,-79.81,-79.81,31,5,14.7,3.6,52.0
5.119,-106.35,-72.77,-72.77,-30,5,14.692,3.6,52.0
5.195,-90.0,-17.58,-17.58,-35,5,14.7,4.1,58.0
5.271,-58.18,60.47,60.47,-44,5,14.656,12.3,180.0
5.342,-52.91,87.01,87.01,-46,5,14.672,8.3,122.0
5.426,-51.15,77.52,77.52,46,5,14.556,35.3,514.0
5.498,-69.96,17.23,17.23,41,5,14.632,19.0,278.0
5.576,-103.53,-59.94,-59.94,31,5,14.656,11.7,170.0
5.651,-107.58,-84.9,-84.9,30,5,14.696,5.3,78.0
5.732,-105.82,-68.73,-68.73,-30,5,14.692,7.9,114.0
5.805,-84.9,-8.26,-8.26,-36,5,14.7,7.4,108.0
5.88,-56.95,59.94,59.94,-44,5,14.672,9.4,138.0
5.95,-50.98,87.36,87.36,-46,5,14.664,12.6,184.0
6.04,-49.4,74.0,74.0,47,5,14.54,42.2,612.0
6.136,-75.41,3.69,3.69,41,5,14.644,16.5,242.0
6.213,-105.29,-72.6,-72.6,31,5,14.692,7.2,104.0
6.286,-107.58,-85.61,-85.61,-30,5,14.692,6.6,98.0
6.363,-103.89,-56.43,-56.43,-31,5,14.688,5.8,86.0
6.436,-73.48,17.58,17.58,-39,5,14.692,4.1,58.0
6.533,-54.67,82.79,82.79,-45,5,14.676,9.6,140.0
6.61,-51.68,85.61,85.61,46,5,14.544,38.5,560.0
6.701,-65.57,29.0,29.0,42,5,14.512,35.0,512.0
6.773,-101.6,-48.16,-48.16,32,5,14.688,7.8,114.0
6.873,-109.16,-86.13,-86.13,30,5,14.68,5.9,86.0
6.946,-107.75,-70.84,-70.84,-30,5,14.692,4.6,68.0
7.032,-80.86,3.69,3.69,-37,5,14.692,4.7,68.0
7.105,-57.48,67.5,67.5,-44,5,14.672,9.5,140.0
7.202,-51.85,87.72,87.72,46,5,14.56,37.0,538.0
7.283,-55.37,56.07,56.07,45,5,14.576,31.2,456.0
7.352,-90.0,-21.27,-21.27,35,5,14.676,9.4,138.0
7.432,-106.88,-76.64,-76.64,30,5,14.684,6.3,92.0
7.525,-107.58,-80.33,-80.33,-30,5,14.692,6.7,98.0
7.594,-99.84,-42.72,-42.72,-32,5,14.7,6.5,96.0
7.681,-64.86,36.21,36.21,-42,5,14.692,6.7,98.0
7.762,-52.73,85.78,85.78,-46,5,14.668,10.9,160.0
7.851,-50.27,75.76,75.76,46,5,14.544,38.4,558.0
7.954,-70.31,14.77,14.77,41,5,14.564,1.3,20.0
8.03,-105.64,-72.25,-72.25,30,5,14.688,6.6,98.0
8.121,-107.93,-84.55,-84.55,-30,5,14.7,5.1,76.0
8.203,-100.72,-44.3,-44.3,-32,5,14.692,3.8,56.0
8.276,-65.92,35.16,35.16,-42,5,14.688,6.9,102.0
8.375,-53.97,85.78,85.78,-45,5,14.684,8.8,128.0
8.468,-51.33,79.81,79.81,46,5,14.552,36.7,534.0
8.543,-75.23,8.09,8.09,39,5,14.648,3.0,42.0
8.619,-105.12,-63.81,-63.81,31,5,14.692,4.9,72.0
8.706,-108.63,-86.31,-86.31,30,5,14.688,9.0,132.0
8.791,-105.29,-60.29,-60.29,-30,5,14.692,4.7,68.0
