t,servo_deg,pend_deg,pend_raw_deg,pwm,mode,v_bus,i_ma,p_mw
0.03,1.23,1.05,1.05,54,5,14.484,62.4,904.0
0.112,-15.64,-15.12,-15.12,54,5,14.508,55.1,800.0
0.214,-41.31,-32.52,-32.52,49,5,14.524,47.6,692.0
0.338,-63.1,-18.11,-18.11,-43,5,14.688,8.5,124.0
0.427,-62.23,36.91,36.91,-43,5,14.704,9.2,134.0
0.501,-71.02,36.74,36.74,40,5,14.644,17.4,256.0
0.581,-92.99,0.88,0.88,35,5,14.68,11.2,164.0
0.656,-113.03,-34.1,-34.1,29,5,14.7,5.1,76.0
0.746,-110.04,-26.37,-26.37,-29,5,14.704,5.1,76.0
0.817,-89.65,12.3,12.3,-35,5,14.704,5.3,78.0
0.903,-76.11,36.91,36.91,-39,5,14.7,7.0,102.0
0.978,-76.47,25.84,25.84,39,5,14.66,16.7,246.0
1.069,-95.62,-24.96,-24.96,33,5,14.692,7.1,104.0
1.153,-97.21,-39.73,-39.73,-33,5,14.684,9.3,138.0
1.23,-82.09,-16.17,-16.17,-37,5,14.704,4.1,58.0
1.303,-57.13,24.26,24.26,-44,5,14.692,9.1,134.0
1.4,-43.95,36.39,36.39,48,5,14.536,43.4,632.0
1.478,-55.37,-0.18,-0.18,46,5,14.584,34.7,508.0
1.567,-75.06,-44.82,-44.82,39,5,14.656,17.5,256.0
1.67,-79.81,-50.1,-50.1,-38,5,14.7,5.5,82.0
1.743,-59.41,5.1,5.1,-44,5,14.696,9.5,140.0
1.816,-44.12,46.41,46.41,-48,5,14.668,14.4,210.0
1.911,-40.96,48.34,48.34,49,5,14.532,45.8,666.0
1.99,-61.52,-0.35,-0.35,43,5,14.588,30.8,448.0
2.087,-89.82,-61.35,-61.35,35,5,14.692,7.4,108.0
2.169,-92.99,-61.7,-61.7,-34,5,14.708,5.5,82.0
2.251,-75.41,-7.38,-7.38,-39,5,14.704,4.7,68.0
2.325,-54.14,48.69,48.69,-45,5,14.684,10.1,148.0
2.424,-49.75,62.05,62.05,46,5,14.572,36.4,530.0
2.497,-61.35,26.02,26.02,43,5,14.616,27.2,396.0
2.578,-94.22,-39.55,-39.55,34,5,14.692,7.9,114.0
2.647,-103.53,-68.91,-68.91,31,5,14.708,7.3,108.0
2.745,-97.56,-44.12,-44.12,-33,5,14.704,5.1,76.0
2.818,-69.26,18.11,18.11,-41,5,14.708,5.3,78.0
2.909,-53.44,63.63,63.63,-45,5,14.692,9.2,134.0
2.997,-51.5,56.78,56.78,46,5,14.576,32.5,476.0
3.103,-84.38,-20.74,-20.74,36,5,14.648,16.2,236.0
3.189,-101.07,-69.43,-69.43,32,5,14.7,8.6,128.0
3.301,-95.45,-47.11,-47.11,-33,5,14.704,6.3,92.0
3.407,-55.9,43.42,43.42,-45,5,14.692,8.2,122.0
3.496,-46.76,70.14,70.14,38,5,14.66,15.1,222.0
3.569,-49.75,46.58,46.58,47,5,14.564,37.7,550.0
3.663,-89.3,-39.9,-39.9,35,5,14.696,8.8,128.0
3.735,-99.32,-74.0,-74.0,32,5,14.7,7.9,114.0
3.805,-99.84,-71.72,-71.72,-32,5,14.704,5.0,72.0
3.883,-87.01,-26.89,-26.89,-35,5,14.704,7.3,108.0
3.958,-56.95,41.31,41.31,-44,5,14.636,10.9,160.0
4.038,-48.34,74.0,74.0,-47,5,14.676,11.6,170.0
4.11,-47.81,62.58,62.58,47,5,14.56,39.0,566.0
4.185,-68.56,7.21,7.21,43,5,14.64,21.9,302.0
4.262,-98.26,-58.36,-58.36,32,5,14.696,6.7,98.0
4.34,-103.53,-80.68,-80.68,-8,5,14.7,6.0,88.0
4.435,-99.49,-55.02,-55.02,-32,5,14.708,5.0,72.0
4.53,-58.89,42.72,42.72,-44,5,14.696,7.2,104.0
4.627,-49.75,77.69,77.69,-46,5,14.684,11.4,168.0
4.702,-50.62,59.24,59.24,46,5,14.572,35.9,524.0
4.785,-81.56,-13.18,-13.18,39,5,14.668,12.6,184.0
4.877,-104.24,-77.17,-77.17,31,5,14.688,9.5,140.0
4.954,-104.77,-77.69,-77.69,-31,5,14.704,4.8,72.0
5.047,-88.24,-21.8,-21.8,-35,5,14.704,4.3,62.0
5.119,-57.3,49.57,49.57,-44,5,14.696,7.8,114.0
5.226,-49.22,79.63,79.63,-47,5,14.68,14.4,212.0
5.327,-57.66,33.57,33.57,44,5,14.6,31.5,458.0
5.405,-96.68,-50.27,-50.27,33,5,14.7,8.6,128.0
5.486,-103.71,-81.91,-81.91,31,5,14.696,5.4,78.0
5.579,-102.13,-66.8,-66.8,-31,5,14.7,5.9,62.0
5.673,-66.8,20.92,20.92,-41,5,14.7,6.0,88.0
5.763,-50.8,74.71,74.71,-46,5,14.68,10.4,154.0
5.851,-47.28,72.95,72.95,47,5,14.556,40.3,586.0
5.924,-60.47,25.31,25.31,43,5,14.616,25.8,376.0
6.005,-97.38,-53.79,-53.79,33,5,14.668,11.9,174.0
6.087,-104.24,-86.13,-86.13,31,5,14.692,8.3,122.0
6.19,-100.55,-58.36,-58.36,-31,5,14.708,3.3,50.0
6.26,-70.14,14.06,14.06,-40,5,14.7,6.3,92.0
6.334,-52.91,68.03,68.03,-45,5,14.688,9.6,140.0
6.439,-47.99,79.28,79.28,47,5,14.556,40.7,594.0
6.517,-58.36,33.22,33.22,44,5,14.564,38.2,558.0
6.619,-101.6,-64.86,-64.86,32,5,14.64,16.3,240.0
6.697,-105.64,-87.54,-87.54,31,5,14.704,3.5,52.0
6.784,-102.66,-62.75,-62.75,-31,5,14.7,6.5,96.0
6.887,-63.1,33.57,33.57,-42,5,14.7,6.3,92.0
6.971,-51.5,81.39,81.39,-46,5,14.684,10.5,154.0
7.044,-49.22,76.82,76.82,47,5,14.56,39.8,580.0
7.125,-64.16,23.73,23.73,42,5,14.536,8.6,124.0
7.231,-104.41,-67.85,-67.85,31,5,14.708,6.6,98.0
7.316,-107.75,-86.66,-86.66,-30,5,14.708,4.9,72.0
7.421,-98.44,-41.84,-41.84,-32,5,14.716,3.2,46.0
7.489,-61.7,41.84,41.84,-42,5,14.7,5.1,76.0
7.57,-52.91,79.28,79.28,-46,5,14.676,10.4,154.0
7.643,-50.1,76.64,76.64,46,5,14.568,36.7,534.0
7.722,-61.7,30.41,30.41,43,5,14.62,25.2,368.0
7.823,-103.71,-65.57,-65.57,31,5,14.704,7.6,112.0
7.903,-107.23,-87.19,-87.19,-7,5,14.7,4.4,66.0
7.978,-104.77,-67.5,-67.5,-31,5,14.708,4.6,68.0
8.063,-72.07,13.54,13.54,-40,5,14.704,4.3,62.0
8.159,-52.38,76.47,76.47,-46,5,14.672,12.7,186.0
8.236,-49.04,78.93,78.93,47,5,14.568,40.1,584.0
8.343,-71.37,8.26,8.26,40,5,14.656,15.6,230.0
8.429,-104.06,-69.43,-69.43,31,5,14.708,8.5,124.0
8.503,-107.05,-87.36,-87.36,31,5,14.712,6.8,102.0
8.575,-104.59,-65.92,-65.92,-31,5,14.708,5.2,76.0
8.655,-76.99,4.75,4.75,-38,5,14.708,3.2,46.0
8.746,-54.49,71.54,71.54,-45,5,14.688,10.7,158.0
8.821,-50.45,81.91,81.91,46,5,14.572,35.0,512.0
8.897,-55.37,48.87,48.87,45,5,14.576,31.3,456.0
8.985,-96.15,-40.08,-40.08,34,5,14.704,9.7,144.0
9.06,-106.7,-82.27,-82.27,30,5,14.692,7.6,112.0
9.155,-106.35,-75.76,-75.76,-30,5,14.704,4.0,58.0
9.234,-90.53,-23.03,-23.03,-35,5,14.704,5.0,72.0
9.306,-58.53,51.15,51.15,-44,5,14.692,8.3,122.0
9.405,-50.62,83.5,83.5,-21,5,14.708,5.4,78.0
9.487,-52.38,56.25,56.25,46,5,14.576,37.0,540.0
9.562,-84.73,-17.75,-17.75,36,5,14.684,9.8,144.0
9.64,-104.24,-75.06,-75.06,31,5,14.704,4.9,72.0
9.714,-106.0,-87.19,-87.19,-30,5,14.704,4.7,68.0
9.81,-98.09,-46.23,-46.23,-32,5,14.708,6.0,88.0
9.881,-62.93,32.87,32.87,-42,5,14.708,8.0,118.0
9.966,-51.5,78.22,78.22,-46,5,14.68,10.7,158.0
10.036,-48.34,79.98,79.98,47,5,14.552,40.3,586.0
10.171,-65.74,17.75,17.75,42,5,14.628,23.2,340.0
10.264,-105.64,-82.44,-82.44,30,5,14.7,7.1,104.0
10.339,-106.52,-84.2,-84.2,-30,5,14.708,3.7,56.0
10.418,-97.21,-40.6,-40.6,-33,5,14.7,5.7,86.0
10.513,-58.53,51.15,51.15,-44,5,14.612,20.1,294.0
10.589,-51.68,83.85,83.85,-46,5,14.68,10.6,154.0
10.666,-50.62,72.07,72.07,46,5,14.568,36.6,534.0
10.762,-70.84,12.13,12.13,41,5,14.656,17.9,262.0
10.836,-105.82,-71.72,-71.72,30,5,14.704,5.1,76.0
10.91,-108.28,-87.72,-87.72,-7,5,14.704,6.1,88.0
10.987,-105.29,-64.86,-64.86,-30,5,14.712,7.1,104.0
11.057,-79.28,1.23,1.23,-37,5,14.704,5.6,82.0
11.135,-55.9,66.09,66.09,-45,5,14.688,8.4,124.0
11.226,-50.98,83.14,83.14,46,5,14.464,48.5,704.0
11.312,-56.25,46.23,46.23,45,5,14.592,30.3,442.0
11.404,-100.19,-51.15,-51.15,32,5,14.704,-4.5,66.0
11.488,-107.4,-85.25,-85.25,30,5,14.7,6.0,88.0
11.57,-106.52,-75.41,-75.41,-30,5,14.708,3.8,56.0
