t,pend,servo,mode,pwm,v
0.061,-0.7,-2.11,5,38,14.72
0.141,-6.33,-8.44,5,38,14.72
0.216,-6.5,-14.41,5,-30,14.75
0.296,5.45,-14.06,5,-30,14.76
0.372,13.71,-13.71,5,-30,14.73
0.53,8.96,-18.46,5,37,14.72
0.622,-10.9,-33.22,5,-17,14.76
0.701,4.75,-26.72,5,-21,14.76
0.804,17.58,-20.21,5,37,14.74
0.904,0.18,-28.48,5,35,14.74
1.009,-13.54,-34.98,5,-16,14.76
1.155,9.14,-22.15,5,-24,14.76
1.239,15.47,-16.17,5,37,14.73
1.362,-14.94,-30.23,5,35,14.74
1.436,-14.06,-29.88,5,-20,14.77
1.525,12.48,-16.17,5,-29,14.76
1.628,20.92,-10.72,5,38,14.72
1.7,0.0,-20.57,5,37,14.73
1.783,-20.92,-31.29,5,35,14.74
1.876,-10.37,-27.95,5,-20,14.76
1.971,21.27,-13.54,5,-30,14.76
2.049,24.79,-12.13,5,37,14.72
2.129,-0.88,-25.49,5,36,14.74
2.21,-23.55,-37.44,5,34,14.75
2.287,-15.47,-34.98,5,-16,14.76
2.366,16.0,-20.21,5,-26,14.76
2.452,28.65,-14.59,5,38,14.77
2.532,7.56,-24.43,5,36,14.74
2.61,-19.51,-37.97,5,34,14.74
2.687,-22.5,-39.2,5,-13,14.76
2.764,4.57,-25.84,5,-22,14.76
2.848,28.12,-14.06,5,-30,14.76
2.918,21.62,-15.82,5,38,14.72
3.0,-9.84,-31.11,5,35,14.74
3.07,-27.25,-38.85,5,34,14.74
3.147,-15.82,-33.57,5,-16,14.76
3.254,21.62,-14.94,5,-29,14.76
3.325,27.6,-11.43,5,38,14.73
3.402,0.7,-24.43,5,36,14.74
3.511,-28.65,-38.85,5,34,14.74
3.586,-12.48,-31.99,5,-18,14.76
3.682,20.57,-16.0,5,-29,14.76
3.762,27.77,-12.48,5,37,14.73
3.837,-2.29,-27.6,5,36,14.74
3.913,-27.42,-39.9,5,33,14.75
3.99,-21.62,-37.79,5,-14,14.76
4.068,11.78,-21.62,5,-25,14.75
4.144,31.99,-12.3,5,-31,14.76
4.226,19.16,-17.58,5,38,14.72
4.305,-15.64,-35.16,5,35,14.74
4.381,-29.88,-41.66,5,-24,14.75
4.477,-2.81,-29.0,5,-20,14.75
4.583,32.34,-12.13,5,-31,14.75
4.682,11.95,-20.74,5,37,14.72
4.769,-26.72,-39.55,5,33,14.75
4.846,-26.54,-39.55,5,-13,14.77
4.955,19.16,-18.11,5,-27,14.76
5.045,33.75,-11.6,5,-32,14.76
5.137,5.27,-24.79,5,36,14.74
5.212,-27.25,-40.78,5,34,14.74
5.296,-24.96,-40.08,5,-12,14.76
5.379,12.83,-22.15,5,-25,14.78
5.453,33.05,-13.36,5,-30,14.76
5.552,16.35,-20.39,5,37,14.73
5.631,-21.45,-39.2,5,33,14.75
5.707,-29.71,-42.72,5,-11,14.76
5.783,-5.45,-31.29,5,-18,14.76
5.88,30.76,-13.89,5,-30,14.76
5.987,16.35,-19.34,5,37,14.73
6.086,-27.25,-39.73,5,33,14.75
6.183,-22.85,-37.79,5,-14,14.76
6.254,11.07,-21.27,5,-25,14.76
6.348,33.75,-10.9,5,-32,14.77
6.438,9.32,-22.15,5,36,14.74
6.533,-25.84,-39.73,5,34,14.73
6.608,-26.72,-40.43,5,-12,14.76
6.695,11.78,-22.15,5,-25,14.76
6.799,34.45,-11.95,5,-32,14.77
6.875,11.6,-21.97,5,36,14.74
6.963,-25.49,-40.25,5,34,14.75
7.071,-19.86,-37.62,5,-14,14.76
7.148,18.46,-18.63,5,-27,14.77
7.233,34.1,-11.43,5,38,14.68
7.308,13.18,-20.74,5,37,14.73
7.388,-24.08,-39.55,5,33,14.74
7.462,-30.41,-42.36,5,-11,14.76
7.552,-5.45,-31.11,5,-18,14.76
7.657,33.93,-12.48,5,-31,14.76
7.742,16.17,-20.04,5,37,14.74
7.814,-19.86,-38.15,5,33,14.75
7.935,-24.61,-40.08,5,-12,14.76
8.011,11.78,-22.15,5,-25,14.76
8.116,34.1,-11.6,5,-32,14.76
8.189,12.3,-20.21,5,37,14.72
8.26,-21.62,-36.21,5,33,14.74
8.334,-31.99,-40.25,5,38,14.75
8.433,0.35,-25.49,5,-22,14.76
8.516,31.64,-11.07,5,-32,14.76
8.614,20.39,-15.82,5,38,14.74
8.706,-21.09,-36.91,5,34,14.75
8.795,-30.06,-41.66,5,-12,14.76
8.867,-1.58,-28.83,5,-20,14.76
8.957,32.87,-13.36,5,-30,14.76
9.029,29.88,-14.41,5,38,14.73
9.124,-13.54,-35.86,5,34,14.75
9.203,-31.99,-44.12,5,33,14.75
9.283,-15.64,-37.44,5,-14,14.7
9.378,18.98,-20.92,5,-26,14.76
9.458,33.22,-14.77,5,38,14.72
9.536,2.11,-29.71,5,35,14.74
9.613,-27.95,-43.95,5,33,14.75
9.69,-26.54,-43.42,5,-10,14.76
9.778,8.79,-26.54,5,-21,14.76
9.874,33.57,-15.29,5,-29,14.76
9.956,12.48,-24.08,5,37,14.74
10.035,-21.97,-40.96,5,34,14.75
10.11,-29.0,-43.42,5,-10,14.76
10.185,-6.15,-32.34,5,-18,14.75
10.262,27.6,-15.47,5,-29,14.76
10.338,30.94,-13.18,5,37,14.73
10.447,3.34,-26.02,5,36,14.72
10.544,-30.23,-42.01,5,-11,14.76
10.636,2.99,-26.37,5,-22,14.76
10.715,31.46,-13.01,5,-30,14.74
10.811,21.8,-16.88,5,37,14.74
10.928,-26.02,-40.78,5,33,14.75
11.008,-26.72,-41.31,5,-12,14.76
11.085,9.32,-24.08,5,-23,14.76
11.186,33.57,-13.18,5,-31,14.76
11.313,-9.32,-33.75,5,35,14.74
11.395,-30.94,-43.77,5,33,14.75
11.478,-11.95,-35.51,5,-15,14.76
11.551,21.97,-19.16,5,-27,14.75
11.622,33.57,-13.89,5,-30,14.76
11.707,11.78,-23.2,5,36,14.74
11.803,-27.25,-41.84,5,33,14.75
11.896,-21.27,-39.02,5,-13,14.76
11.983,13.18,-22.32,5,-25,14.76
12.061,33.4,-13.01,5,-32,14.76
12.147,10.55,-23.03,5,36,14.74
12.246,-28.65,-42.01,5,32,14.75
12.347,-18.28,-37.79,5,-14,14.76
12.416,17.23,-20.57,5,-25,14.77
12.509,32.87,-13.54,5,38,14.72
12.592,8.44,-24.79,5,36,14.73
12.67,-24.08,-40.96,5,34,14.74
12.749,-27.42,-42.54,5,-11,14.76
12.818,0.88,-29.53,5,-18,14.76
12.922,32.7,-15.12,5,-29,14.77
13.028,7.38,-26.54,5,36,14.72
13.11,-23.73,-41.66,5,33,14.75
13.202,-22.85,-41.13,5,-12,14.76
13.318,22.85,-19.16,5,-27,14.76
13.417,29.53,-15.82,5,37,14.73
13.505,-12.3,-36.03,5,34,14.75
13.593,-29.53,-43.59,5,-23,14.76
13.682,-3.69,-31.11,5,-18,14.76
13.773,28.83,-15.29,5,-29,14.76
13.843,27.6,-15.12,5,37,14.72
13.924,-5.98,-31.64,5,35,14.74
14.014,-29.88,-42.72,5,32,14.76
14.12,-12.66,-35.33,5,-16,14.74
14.21,30.23,-14.94,5,-29,14.76
14.281,27.07,-16.17,5,37,14.73
14.36,-3.16,-31.64,5,35,14.74
14.441,-28.83,-44.12,5,33,14.75
14.513,-18.28,-39.73,5,-12,14.76
14.592,13.71,-24.26,5,-23,14.76
14.673,32.52,-15.82,5,-29,14.76
14.768,5.62,-28.12,5,36,14.73
14.852,-24.79,-42.89,5,32,14.75
14.942,-20.04,-40.6,5,-12,14.76
15.043,20.57,-20.39,5,-26,14.76
15.129,30.76,-15.29,5,38,14.72
15.199,6.5,-26.37,5,36,14.74
15.299,-27.6,-42.54,5,32,14.75
15.391,-15.12,-36.74,5,-14,14.76
15.471,20.21,-19.16,5,-27,14.76
15.555,30.94,-14.06,5,38,14.72
15.647,0.7,-28.3,5,36,14.74
15.75,-28.65,-42.54,5,32,14.68
15.829,-16.0,-37.27,5,-14,14.76
15.941,29.36,-15.82,5,-29,14.72
16.01,28.12,-16.17,5,37,14.73
16.093,-4.75,-32.17,5,35,14.74
16.188,-28.83,-43.59,5,33,14.75
16.271,-10.02,-35.16,5,-16,14.76
16.358,26.19,-17.75,5,-28,14.76
16.431,30.94,-15.12,5,-32,14.76
16.507,5.1,-26.37,5,36,14.74
16.589,-25.31,-40.6,5,34,14.74
16.694,-21.09,-38.32,5,-14,14.76
16.772,16.35,-19.86,5,-26,14.76
16.854,31.99,-12.66,5,36,14.76
16.922,13.54,-20.92,5,37,14.74
17.006,-22.5,-39.38,5,33,14.75
17.102,-26.02,-41.31,5,-12,14.76
17.209,20.74,-19.34,5,-27,14.76
17.288,32.34,-14.24,5,36,14.73
17.372,8.61,-25.49,5,36,14.74
17.452,-23.03,-41.31,5,34,14.75
17.526,-26.37,-43.07,5,-10,14.76
17.641,17.58,-21.97,5,-25,14.76
17.711,32.17,-15.29,5,37,14.74
17.79,13.89,-23.55,5,36,14.74
17.866,-19.16,-40.25,5,33,14.76
17.947,-28.3,-44.12,5,-10,14.76
18.021,-4.22,-32.87,5,-16,14.76
18.092,25.31,-18.46,5,-27,14.75
18.173,29.88,-16.0,5,37,14.73
18.245,2.81,-29.0,5,35,14.74
18.321,-25.84,-42.89,5,32,14.76
18.431,-17.05,-39.02,5,-13,14.76
18.506,18.81,-21.62,5,-25,14.76
18.583,31.46,-16.0,5,37,14.75
18.659,11.6,-24.79,5,36,14.73
18.744,-23.73,-42.19,5,32,14.75
