t,th_deg,al_deg,pwm,i_ma,mode
8.24,33.57,-56.43,-68,41.7,4
8.2979,39.2,-64.69,43,31.5,4
8.3515,44.47,-71.19,-66,31.5,4
8.4121,50.27,-78.22,-65,32.9,4
8.4778,55.2,-82.09,-65,32.9,4
8.5391,62.75,-85.43,-63,58.6,4
8.6053,70.31,-87.89,-62,50.8,4
8.6698,76.47,-85.96,-61,50.8,4
8.7311,85.25,-86.84,-59,43.7,4
8.7954,94.92,-88.77,-57,36.0,4
8.8548,101.25,-90.18,-55,36.0,4
8.913,106.35,-90.35,-54,26.5,4
8.9672,109.86,-89.82,-53,26.5,4
9.0272,113.03,-88.59,-53,23.5,4
9.1077,115.14,-85.25,-52,22.5,4
9.1948,114.26,-78.75,-52,22.5,4
9.2676,111.62,-71.89,-53,23.9,4
9.3346,109.86,-67.68,-53,24.3,4
9.4014,108.63,-62.58,-54,24.3,4
9.4727,108.28,-60.29,-54,27.2,4
9.5416,108.11,-61.88,-54,26.9,4
9.5974,108.11,-64.69,-54,26.9,4
9.6616,108.11,-68.91,-54,27.2,4
9.7223,108.28,-69.08,-54,26.9,4
9.7805,108.81,-70.66,-54,26.9,4
9.8408,109.16,-73.83,-53,26.3,4
9.8974,108.98,-76.64,-53,24.3,4
9.96,109.51,-77.34,-53,24.3,4
10.0253,110.39,-78.05,-53,24.2,4
10.0856,111.44,-78.93,-53,24.2,4
10.1478,112.32,-78.05,-53,24.4,4
10.2053,112.32,-76.64,-53,24.3,4
10.2596,112.32,-73.83,-53,24.3,4
10.3137,111.8,-71.02,-53,25.0,4
10.3745,110.74,-68.91,-53,25.0,4
10.4485,110.04,-66.09,-53,24.6,4
10.5025,109.69,-64.69,-53,24.5,4
10.5552,109.69,-64.69,-53,24.5,4
10.6161,109.51,-64.34,-53,24.6,4
10.6738,109.51,-64.16,-53,24.6,4
10.7369,109.51,-61.88,-53,24.6,4
10.8129,108.81,-58.71,-54,24.6,4
10.8672,108.28,-56.78,-54,24.6,4
10.9291,107.75,-55.02,-54,27.0,4
10.9842,107.4,-52.91,-54,27.0,4
11.0432,106.52,-49.75,-54,27.1,4
11.112,106.35,-50.98,-54,27.1,4
11.1656,106.0,-51.5,-54,27.1,4
11.2354,106.0,-52.21,-54,27.0,4
11.2906,106.0,-52.03,-54,27.0,4
11.3503,105.82,-52.03,-54,27.1,4
11.4229,105.82,-52.03,-54,26.9,4
11.4745,105.64,-52.38,-54,26.9,4
11.5277,105.64,-52.38,-54,27.2,4
11.6119,105.64,-52.21,-54,27.1,4
11.6732,105.64,-52.56,-54,27.1,4
11.7435,105.64,-53.26,-54,26.9,4
11.827,105.64,-54.32,-54,27.0,4
11.887,105.64,-55.2,-54,27.0,4
11.9644,105.82,-57.66,-54,27.1,4
12.0296,106.17,-60.29,-54,26.4,4
12.0993,107.05,-65.74,-54,26.4,4
12.1528,106.88,-65.04,-54,27.0,4
12.2239,107.4,-65.39,-54,26.9,4
12.2864,107.4,-64.69,-54,26.9,4
12.3865,107.4,-63.46,-54,26.8,4
12.4431,107.4,-61.52,-54,26.9,4
12.513,107.4,-60.29,-54,27.0,4
12.5871,107.4,-59.59,-54,27.0,4
12.6459,107.4,-59.06,-54,26.9,4
12.7222,107.4,-58.18,-54,26.6,4
12.7965,107.23,-57.83,-54,26.6,4
12.8635,107.23,-57.3,-54,26.8,4
12.9415,107.23,-57.13,-54,26.9,4
12.9961,107.23,-57.13,-54,26.9,4
13.0519,107.23,-57.48,-54,27.3,4
13.1157,107.23,-58.36,-54,27.0,4
13.1859,107.05,-58.71,-54,27.0,4
13.2497,107.05,-58.18,-54,26.9,4
13.3265,107.05,-57.83,-54,27.0,4
13.4036,107.05,-58.89,-54,27.0,4
13.4646,107.05,-58.71,-54,27.0,4
13.5215,107.05,-59.06,-54,26.9,4
13.6393,107.05,-58.89,-54,26.8,4
13.6935,107.05,-58.71,-54,26.8,4
13.7493,107.05,-58.89,-54,27.0,4
13.8087,107.23,-59.94,-54,27.0,4
13.8728,107.4,-62.05,-54,27.0,4
13.9498,107.4,-62.05,-54,27.1,4
14.0185,107.4,-61.7,-54,27.2,4
14.0765,107.58,-61.35,-54,27.2,4
14.1346,107.58,-61.52,-54,26.8,4
14.1901,107.58,-61.52,-54,26.8,4
14.2476,107.58,-61.52,-54,27.0,4
14.3081,107.4,-60.82,-54,27.0,4
14.3701,106.88,-59.59,-54,27.6,4
14.434,101.95,-54.84,-55,27.5,4
14.503,89.65,-33.75,-58,27.5,4
14.5601,86.48,-33.93,-58,39.4,4
14.6206,84.9,-35.33,-59,41.8,4
14.6816,85.61,-38.67,-59,41.8,4
14.7386,85.78,-42.72,-59,41.8,4
14.8102,87.36,-50.1,-58,41.8,4
14.8983,90.0,-57.66,-58,37.9,4
14.9583,79.98,-53.44,-60,39.6,4
15.0129,64.86,-42.89,-63,58.4,4
15.0956,56.07,-39.02,-64,58.4,4
15.17,51.68,-39.55,-65,60.4,4
15.2284,40.43,-35.51,-67,70.7,4
15.2896,31.82,-34.1,-68,70.7,4
15.3567,21.09,-32.34,-69,78.5,4
15.408,15.64,-32.17,-69,78.5,4
15.466,14.59,-36.03,-69,75.4,4
15.524,14.59,-40.43,-69,80.3,4
15.5797,6.15,-39.9,-69,80.3,4
15.635,-4.57,-37.79,-68,78.1,4
15.6922,-12.66,-35.33,-63,78.1,4
15.7535,-14.59,-36.21,-62,56.3,4
15.8111,-9.67,-41.13,-64,56.3,4
15.8754,-3.52,-48.52,-68,58.2,4
15.9327,-2.64,-51.85,-68,74.8,4
15.9997,-7.38,-49.92,-66,74.8,4
16.0589,-8.96,-48.52,-65,69.0,4
16.119,-8.26,-48.34,-65,63.5,4
16.1856,-8.79,-48.69,-65,63.5,4
16.2655,-12.83,-49.4,-63,61.0,4
16.339,-12.83,-52.56,-63,56.0,4
16.4116,-14.41,-51.68,-62,56.0,4
16.4775,-16.52,-51.68,-61,52.5,4
16.5408,-18.11,-51.15,-60,49.1,4
16.6109,-18.11,-51.33,-60,49.1,4
16.6802,-18.63,-52.56,-60,45.3,4
16.7612,-18.98,-52.73,-60,45.2,4
16.8461,-18.98,-53.79,-60,45.2,4
16.8999,-18.98,-55.72,-60,45.2,4
16.9576,-18.98,-57.66,-60,45.1,4
17.014,-18.98,-59.94,-60,45.1,4
17.0748,-18.63,-63.81,-60,45.0,4
17.1327,-18.46,-64.16,-60,45.1,4
17.1946,-18.28,-58.53,-60,45.1,4
17.2576,-17.93,-56.25,-61,45.1,4
17.3211,-17.05,-61.0,-61,48.3,4
17.3869,-15.12,-66.09,-62,48.3,4
17.449,-8.26,-73.12,69,83.8,4
17.5081,-1.05,-80.51,69,83.8,4
17.562,4.04,-86.66,68,73.0,4
17.6756,1.93,-105.47,68,95.8,4
17.7417,-7.56,-137.81,69,105.7,4
17.7945,-34.98,-196.0,68,105.7,4
17.8571,-47.64,-231.68,66,82.9,4
17.9288,-39.02,-251.72,67,96.0,4
17.9948,-36.74,-267.19,0,96.0,4
18.0521,-28.12,-263.14,0,3.6,4
18.1172,-5.45,-236.95,-66,3.6,4
18.1775,20.04,-206.72,-69,68.5,4
18.2442,48.87,-181.58,-66,66.0,4
18.3007,68.56,-180.0,8,66.0,4
18.3555,82.62,-196.88,4,4.5,4
18.4163,86.31,-238.53,-59,4.5,4
18.5031,91.58,-281.95,0,40.9,4
18.5728,101.78,-301.99,0,4.2,4
18.6545,108.98,-281.78,0,3.4,4
18.7492,113.2,-246.09,-53,3.4,4
18.8237,101.6,-200.57,-55,21.5,4
18.8939,84.9,-201.27,0,32.1,4
18.9762,72.42,-225.7,-61,3.5,4
19.0381,76.82,-242.75,-61,49.0,4
19.1043,93.87,-244.16,-57,49.0,4
19.1692,111.8,-241.88,-53,29.8,4
19.2372,114.78,-251.02,-52,29.8,4
19.2995,109.51,-264.02,0,23.6,4
19.3733,108.11,-258.22,0,3.9,4
19.4287,111.62,-240.65,-53,23.4,4
19.4888,110.57,-227.11,-53,23.4,4
19.557,103.89,-220.96,-55,28.1,4
19.6219,97.21,-223.42,-56,28.1,4
19.6805,97.21,-225.35,-56,33.2,4
19.7387,100.72,-228.52,-55,31.6,4
19.8028,102.13,-231.85,-55,31.6,4
19.8693,101.6,-227.99,-55,29.8,4
19.936,98.09,-226.93,-56,33.2,4
19.9953,93.87,-226.41,-57,33.2,4
20.0578,88.24,-225.7,-58,36.0,4
20.1369,74.88,-232.56,-60,47.2,4
20.1971,57.3,-247.15,35,47.2,4
20.259,40.6,-263.32,0,3.5,4
20.3264,30.06,-269.65,0,3.5,4
20.3821,23.2,-278.96,0,3.8,4
20.4513,16.17,-287.58,0,3.3,4
20.505,7.03,-302.17,0,3.3,4
20.6077,-7.03,-310.78,0,3.2,4
20.6744,-14.06,-310.61,0,3.8,4
20.7321,-20.57,-320.45,0,3.1,4
