t_ms,mode,pwm,servo_count,servo_deg,setpoint_deg,error_deg,gain_mode,pend_count,pend_deg,v_bus,i_ma,p_mw
0,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,26.3,386.0
154,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.7,27.1,400.0
278,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,28.1,412.0
409,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.688,27.8,410.0
538,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,26.3,386.0
664,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.696,27.7,406.0
792,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.696,26.9,396.0
914,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.568,20.2,294.0
1063,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.688,26.8,394.0
1197,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.696,28.1,412.0
1324,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,26.6,390.0
1449,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,27.4,404.0
1596,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.676,29.3,430.0
1758,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.696,26.6,390.0
1897,2,0,-110,0.0,0.0,0.0,0,1,0.176,14.692,28.1,412.0
2019,2,-99,-93,2.988,45.0,42.012,0,18,3.164,14.1,177.4,2504.0
2181,2,-30,40,26.367,45.0,18.633,0,99,17.402,14.616,45.7,666.0
2308,2,-40,50,28.125,45.0,16.875,0,-82,-14.414,14.58,53.9,786.0
2436,2,4,119,40.254,45.0,4.746,0,-75,-13.184,14.684,27.7,396.0
2577,2,-13,127,41.66,45.0,3.34,0,10,1.758,14.668,30.2,442.0
2804,2,-41,60,29.883,45.0,15.117,0,38,6.68,14.584,54.7,796.0
2938,2,-45,58,29.531,45.0,15.469,0,16,2.813,14.568,59.3,866.0
3103,2,-25,79,33.223,45.0,11.777,0,-21,-3.691,14.628,40.7,596.0
3232,2,-24,94,35.859,45.0,9.141,0,-27,-4.746,14.644,40.1,586.0
3368,2,-29,91,35.332,45.0,9.668,0,-6,-1.055,14.616,44.1,646.0
3495,2,-39,76,32.695,45.0,12.305,0,17,2.988,14.584,54.0,786.0
3628,2,-38,74,32.344,45.0,12.656,0,6,1.055,14.472,41.5,600.0
3825,2,-35,84,34.102,45.0,10.898,0,-11,-1.934,14.6,49.6,708.0
3954,2,-33,93,35.684,45.0,9.316,0,-12,-2.109,14.612,46.5,678.0
4085,2,-36,93,35.684,45.0,9.316,0,-1,-0.176,14.6,51.2,748.0
4211,2,-39,91,35.332,45.0,9.668,0,9,1.582,14.588,51.9,756.0
4336,2,-41,90,35.156,45.0,9.844,0,2,0.352,14.58,54.1,790.0
4486,2,-39,95,36.035,45.0,8.965,0,-5,-0.879,14.58,51.3,748.0
4644,2,-41,97,36.387,45.0,8.613,0,-3,-0.527,14.58,55.4,810.0
4799,2,-43,97,36.387,45.0,8.613,0,3,0.527,14.564,57.5,838.0
4964,2,-43,98,36.563,45.0,8.438,0,2,0.352,14.572,56.9,830.0
5111,2,-42,101,37.09,45.0,7.91,0,-2,-0.352,14.576,55.0,802.0
5233,2,-43,104,37.617,45.0,7.383,0,-2,-0.352,14.568,56.8,826.0
5384,2,-44,105,37.793,45.0,7.207,0,0,0.0,14.572,59.7,872.0
5510,2,-44,106,37.969,45.0,7.031,0,1,0.176,14.564,55.2,802.0
5644,2,-44,107,38.145,45.0,6.855,0,0,0.0,14.564,57.2,832.0
5778,2,-44,109,38.496,45.0,6.504,0,0,0.0,14.564,59.4,866.0
5907,2,-44,111,38.848,45.0,6.152,0,0,0.0,14.564,58.2,848.0
6030,2,-44,112,39.023,45.0,5.977,0,0,0.0,14.568,58.6,836.0
6170,2,-44,113,39.199,45.0,5.801,0,1,0.176,14.572,58.0,846.0
6302,2,-44,114,39.375,45.0,5.625,0,0,0.0,14.564,59.4,852.0
6434,2,-44,114,39.375,45.0,5.625,0,-1,-0.176,14.564,59.1,862.0
6560,2,-44,114,39.375,45.0,5.625,0,0,0.0,14.528,39.9,576.0
6696,2,-44,114,39.375,45.0,5.625,0,0,0.0,14.564,58.7,856.0
6853,2,-44,114,39.375,45.0,5.625,0,0,0.0,14.564,58.4,852.0
6975,2,-44,115,39.551,45.0,5.449,0,0,0.0,14.572,56.1,816.0
7128,2,-44,116,39.727,45.0,5.273,0,0,0.0,14.56,58.4,852.0
7274,2,-44,116,39.727,45.0,5.273,0,0,0.0,14.54,55.5,894.0
7434,2,-44,117,39.902,45.0,5.098,0,0,0.0,14.568,58.8,856.0
7583,2,-27,118,40.078,45.0,4.922,0,0,0.0,14.628,42.0,612.0
7702,2,-27,117,39.902,45.0,5.098,0,-1,-0.176,14.628,43.0,630.0
7835,2,-27,118,40.078,45.0,4.922,0,2,0.352,14.624,43.7,638.0
7997,2,-27,118,40.078,45.0,4.922,0,2,0.352,14.624,42.4,620.0
8120,2,86,68,31.289,-45.0,-76.289,0,-52,-9.141,14.188,154.3,2188.0
8320,2,30,-200,-15.82,-45.0,-29.18,0,-195,-34.277,14.6,47.8,698.0
8456,2,40,-272,-28.477,-45.0,-16.523,0,114,20.039,14.556,60.2,874.0
8591,2,-18,-356,-43.242,-45.0,-1.758,0,237,41.66,14.676,32.2,472.0
8713,2,-58,-494,-67.5,-45.0,22.5,0,4,0.703,14.472,81.2,1176.0
8833,2,10,-421,-54.668,-45.0,9.668,0,-36,-6.328,14.696,27.0,396.0
8969,2,63,-256,-25.664,-45.0,-19.336,0,52,9.141,14.38,102.8,1482.0
9133,2,57,-267,-27.598,-45.0,-17.402,0,-86,-15.117,14.456,87.5,1264.0
9337,2,26,-289,-31.465,-45.0,-13.535,0,32,5.625,14.628,43.1,630.0
9480,2,6,-336,-39.727,-45.0,-5.273,0,44,7.734,14.688,26.2,384.0
9644,2,19,-332,-39.023,-45.0,-5.977,0,10,1.758,14.664,33.5,492.0
9781,2,40,-294,-32.344,-45.0,-12.656,0,-4,-0.703,14.572,58.8,856.0
9909,2,40,-282,-30.234,-45.0,-14.766,0,-27,-4.746,14.572,55.9,816.0
10030,2,42,-282,-30.234,-45.0,-14.766,0,-10,-1.758,14.56,59.7,868.0
10162,2,33,-300,-33.398,-45.0,-11.602,0,18,3.164,14.612,47.6,694.0
10322,2,29,-315,-36.035,-45.0,-8.965,0,16,2.813,14.616,46.0,672.0
10460,2,32,-314,-35.859,-45.0,-9.141,0,3,0.527,14.496,61.0,888.0
10584,2,39,-308,-34.805,-45.0,-10.195,0,-7,-1.23,14.532,61.3,892.0
10733,2,37,-309,-34.98,-45.0,-10.02,0,4,0.703,14.576,54.4,792.0
