time_s;mode;position_deg;setpoint_deg;pend_position_deg;pwm;voltage_v;current_mA;power_mW
11.4;4;-66.797;0;-77.168;100;;208.5;2976
11.5;4;-42.187;0;-135.352;100;;216.6;3084
11.5;4;-50.098;0;-114.961;100;;197.5;2828
11.6;4;-62.402;0;-20.742;100;;206.6;2950
11.7;4;-64.16;0;93.516;-100;;194.6;2776
11.9;4;-74.355;0;131.836;-100;;187.6;2694
11.9;4;-50.449;0;88.77;-100;;182.9;2632
12.0;4;-40.605;0;-26.191;0;;27.1;406
12.1;4;-19.863;0;-112.324;100;;221;3142
12.2;4;-12.48;0;-122.871;100;;200.2;2864
12.3;4;-29.18;0;-57.129;100;;201.2;2878
12.4;4;-26.191;0;63.457;-100;;192.4;2760
12.5;4;-42.187;0;121.816;-100;;202.1;2890
12.6;4;-31.289;0;102.48;-100;;184.8;2658
12.7;4;-18.809;0;8.613;0;;27.8;416
12.9;4;-11.953;0;-93.516;100;;208.1;2968
12.9;4;-2.988;0;-121.289;100;;201.5;2884
13.0;4;-21.27;0;-72.422;100;;209.5;2988
13.2;4;-24.258;0;41.309;-100;;189.4;2720
13.2;4;-42.012;0;112.148;-100;;201.4;2880
13.4;4;-40.078;0;107.051;-100;;186.5;2680
13.4;4;-26.543;0;27.422;-100;;190.9;2740
13.5;4;-24.609;0;-79.805;100;;207.1;2956
13.6;4;-13.887;0;-115.664;100;;202.4;2894
13.8;4;-28.125;0;-76.816;100;;199.1;2850
13.9;4;-30.059;0;30.937;0;;25.5;380
14.0;4;-43.77;0;105.117;-100;;193.1;2768
14.1;4;-42.012;0;105.117;-100;;194.7;2792
14.2;4;-27.07;0;31.289;-100;;188.9;2710
14.2;4;-24.785;0;-74.883;100;;207.4;2962
14.3;4;-13.535;0;-112.5;100;;203.3;2904
14.5;4;-26.367;0;-75.762;100;;200.7;2870
14.5;4;-28.125;0;29.531;0;;25.4;380
14.6;4;-41.484;0;101.777;-100;;193;2766
14.7;4;-40.078;0;101.25;-100;;186.4;2678
14.8;4;-26.719;0;27.773;-100;;189.5;2720
15.0;4;-22.852;0;-73.125;100;;208.1;2972
15.1;4;-12.656;0;-107.227;100;;202.2;2890
15.2;4;-24.082;0;-68.379;100;;199.4;2854
15.3;4;-25.312;0;34.102;0;;27;404
15.4;4;-38.848;0;98.789;-100;;192.6;2762
15.5;4;-36.563;0;91.582;-100;;187.5;2694
15.7;4;-27.598;0;13.535;0;;27.6;412
16.1;4;-23.906;0;-77.871;100;;207.3;2960
16.1;4;-18.457;0;-100.195;100;;202.1;2890
16.3;4;-30.937;0;-51.68;100;;201.4;2880
16.3;4;-32.344;0;49.043;-100;;191.8;2752
16.4;4;-43.594;0;99.492;-100;;191;2740
16.5;4;-36.035;0;78.574;-100;;186.9;2684
16.5;4;-30.059;0;-10.195;0;;27.6;412
16.6;4;-20.039;0;-85.43;100;;218.6;3110
16.6;4;-17.93;0;-92.637;100;;201.9;2886
16.7;4;-28.652;0;-30.059;100;;202.5;2894
16.7;4;-30.586;0;64.16;-100;;192.5;2760
16.8;4;-39.023;0;97.031;-100;;189.4;2716
17.0;4;-29.355;0;59.59;-100;;187.5;2694
17.2;4;-28.301;0;-35.684;0;;27.2;406
17.2;4;-17.227;0;-90.352;100;;205.6;2936
17.3;4;-21.094;0;-77.168;100;;211.4;3014
17.4;4;-27.246;0;2.109;0;;27.4;410
17.4;4;-34.453;0;78.223;-100;;192.8;2766
17.5;4;-36.914;0;88.242;-100;;188.4;2704
17.5;4;-27.07;0;30.41;-100;;189.5;2720
17.6;4;-24.609;0;-58.887;100;;206.5;2950
17.7;4;-17.93;0;-90.703;100;;202.9;2900
17.8;4;-27.949;0;-55.195;100;;200.7;2870
18.0;4;-31.816;0;34.629;0;;26.8;400
18.1;4;-43.242;0;87.012;-100;;192;2752
18.1;4;-39.551;0;72.773;-100;;188.1;2700
18.2;4;-33.75;0;-4.746;0;;27.2;406
18.3;4;-25.137;0;-74.531;100;;206.8;2952
18.5;4;-22.852;0;-80.859;100;;202.5;2894
18.6;4;-31.113;0;-22.5;0;;29.4;440
18.7;4;-32.52;0;61.523;-100;;191.9;2752
18.8;4;-36.738;0;86.484;-100;;189.2;2716
18.8;4;-26.367;0;45;-100;;188;2696
18.9;4;-22.676;0;-41.836;100;;205.9;2942
19.0;4;-14.238;0;-85.078;100;;205.1;2930
19.1;4;-20.918;0;-63.281;100;;212.4;3028
19.3;4;-26.367;0;17.578;0;;27.2;406
19.4;4;-36.035;0;78.75;-100;;192.4;2760
19.4;4;-35.332;0;76.465;-100;;188.1;2700
19.5;4;-27.773;0;10.547;0;;27.3;410
19.6;4;-22.5;0;-65.566;100;;207.2;2960
19.7;4;-19.336;0;-81.562;100;;213.2;3038
19.8;4;-29.531;0;-33.574;100;;201.9;2886
20.0;4;-32.695;0;50.977;-100;;191.8;2750
20.1;4;-39.199;0;85.254;-100;;190.2;2730
20.2;4;-30.762;0;53.613;-100;;188.1;2700
20.3;4;-26.367;0;-29.883;0;;26.9;404
20.4;4;-16.875;0;-80.684;100;;204.8;2926
20.4;4;-20.742;0;-68.027;100;;212.3;3024
20.5;4;-27.07;0;5.273;0;;26.9;404
20.6;4;-34.629;0;72.773;-100;;192.9;2766
20.7;4;-35.684;0;78.223;-100;;188.5;2706
20.8;4;-27.07;0;20.215;0;;28.5;426
20.9;4;-22.852;0;-58.887;100;;207.1;2960
21.0;4;-18.809;0;-81.562;100;;203.2;2906
21.1;4;-28.652;0;-40.781;100;;202.1;2890
21.2;4;-33.223;0;42.539;-100;;191.7;2750
21.3;4;-41.66;0;82.617;-100;;199.9;2860
21.4;4;-34.98;0;58.535;-100;;187.5;2694
21.5;4;-29.707;0;-20.742;0;;27.1;406
21.6;4;-20.215;0;-76.113;100;;217.4;3096
21.7;4;-23.027;0;-70.312;100;;201.8;2886
21.8;0;-20.566;0;4.219;0;;27.1;406
22.0;0;-22.324;0;71.895;0;;26.8;404
22.0;0;-40.781;0;68.906;0;;27.2;406
22.2;0;-81.738;0;-2.637;0;;27.2;406
22.2;0;-112.852;0;-60.996;0;;26.9;404
22.3;0;-112.5;0;-44.473;0;;27.1;406
22.4;0;-79.453;0;35.859;0;;27.4;410
22.5;0;-70.312;0;67.852;0;;27.2;406
22.6;0;-75.41;0;31.992;0;;26.8;400
22.8;0;-98.613;0;-44.121;0;;27;404
22.9;0;-90.527;0;-54.668;0;;26.5;396
23.0;0;-54.844;0;2.813;0;;27.6;412
23.1;0;-23.379;0;55.195;0;;27.2;406
23.2;0;-17.754;0;39.727;0;;26.8;400
23.4;0;-37.266;0;-31.289;0;;26.6;400
23.4;0;-34.277;0;-54.492;0;;27;404
23.5;0;-9.844;0;-12.129;0;;26.9;404
23.5;0;19.512;0;43.418;0;;27.1;406
23.6;0;16.348;0;31.816;0;;27.2;406
23.7;0;-11.953;0;-30.059;0;;27.2;406
