t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-253.477,6.592,0,-38
0.0721,7,-263.496,17.842,0,-31
0.1465,7,-273.34,35.068,0,-50
0.2283,7,-266.836,47.9,0,-36
0.3111,7,-250.488,60.557,0,19
0.3825,7,-234.492,69.697,0,55
0.4631,7,-224.824,71.982,0,85
0.5349,7,-230.449,66.709,0,33
0.6277,7,-256.113,69.521,0,29
0.7191,7,-279.668,66.533,0,-43
0.7977,7,-278.438,61.084,0,-86
0.8655,7,-268.066,61.787,0,-49
0.9471,7,-249.609,64.248,0,-19
1.02,7,-237.129,69.697,0,53
1.0932,7,-235.195,74.619,0,36
1.1765,7,-250.84,81.65,0,41
1.2793,7,-258.75,79.717,0,1
1.3451,7,-259.805,74.092,0,-23
1.4199,7,-256.816,67.939,0,-41
1.4867,7,-254.883,64.248,0,-23
1.5894,7,-255.234,63.369,0,-21
1.6652,7,-255.234,63.721,0,-18
1.743,7,-253.652,63.721,0,-14
1.8417,7,-252.773,63.896,0,-11
1.9183,7,-252.949,64.775,0,-6
2.0168,7,-253.828,65.303,0,-6
2.0927,7,-254.004,65.303,0,-9
2.1775,7,-254.18,65.303,0,-10
2.2512,7,-254.004,65.303,0,-9
2.318,7,-253.652,65.303,0,-9
2.3939,7,-253.652,65.303,0,-8
2.4646,7,-253.477,65.303,0,-8
2.5664,7,-253.652,65.303,0,-8
2.6303,7,-254.004,65.303,0,-9
2.72,7,-254.004,65.303,0,-9
2.8028,7,-254.004,65.303,0,-9
2.8717,7,-253.828,65.303,0,-9
2.9674,7,-253.652,65.303,0,-8
3.0344,7,-253.652,65.303,0,-8
3.1157,7,-253.652,65.303,0,-8
3.1994,7,-254.004,65.303,0,-9
3.2812,7,-254.004,65.303,0,-9
3.361,7,-254.004,65.303,0,-9
3.4288,7,-253.828,65.303,0,-9
3.5036,7,-253.652,65.303,0,-8
3.5804,7,-253.652,65.303,0,-8
3.733,7,-253.828,65.303,0,-9
3.8263,7,-253.828,65.303,0,-9
3.95,7,-253.828,65.303,0,-9
4.0313,7,-253.828,65.303,0,-9
4.1036,7,-253.828,65.303,0,-9
4.17,7,-253.828,65.303,0,-9
4.2567,7,-253.828,65.303,0,-9
4.3545,7,-253.828,65.303,0,-9
4.4302,7,-253.828,65.303,0,-9
4.5011,7,-253.828,65.303,0,-9
4.5718,7,-253.828,65.303,0,-9
4.6377,7,-253.828,65.303,0,-9
4.7095,7,-253.828,65.303,0,-9
4.8002,7,-253.828,65.303,0,-9
4.8754,7,-253.828,65.303,0,-9
4.9592,7,-253.828,65.303,0,-9
5.052,7,-253.828,65.303,0,-9
5.1153,7,-253.828,65.303,0,-9
5.1899,7,-253.828,65.303,0,-9
5.2617,7,-253.828,65.303,0,-9
5.3315,7,-253.828,65.303,0,-9
5.3994,7,-253.828,65.303,0,-9
5.4671,7,-253.828,65.303,0,-9
5.538,7,-253.828,65.303,0,-9
5.6268,7,-253.828,65.303,0,-9
5.7015,7,-253.828,65.303,0,-9
5.7734,7,-253.828,65.303,0,-9
5.8611,7,-253.828,65.303,0,-9
5.9444,7,-253.828,65.303,0,-9
6.0123,7,-253.828,65.303,0,-9
6.0871,7,-253.828,65.303,0,-9
6.1808,7,-253.828,65.303,0,-9
6.2705,7,-253.828,65.303,0,-9
6.3643,7,-253.828,65.303,0,-9
6.4485,7,-253.828,65.303,0,-9
6.5184,7,-253.828,65.303,0,-9
6.5876,7,-253.828,65.303,0,-9
6.6678,7,-253.828,65.303,0,-9
6.7412,7,-253.828,65.303,0,-9
6.816,7,-253.828,65.303,0,-9
6.8839,7,-253.828,65.303,0,-9
6.9566,7,-253.828,65.303,0,-9
7.0514,7,-253.828,65.303,0,-9
7.1291,7,-253.828,65.303,0,-9
7.2,7,-253.828,65.303,0,-9
7.2658,7,-253.828,65.303,0,-9
7.3423,7,-253.828,65.303,0,-9
7.4244,7,-253.828,65.303,0,-9
7.5182,7,-253.828,65.303,0,-9
7.589,7,-253.828,65.303,0,-9
7.6658,7,-253.828,65.303,0,-9
7.7307,7,-253.828,65.303,0,-9
