t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-47.637,8.086,0,138
0.0831,7,-28.477,-11.074,0,-37
0.1641,7,-29.883,-25.664,0,83
0.2568,7,-35.684,-47.109,0,19
0.3296,7,-60.293,-56.953,0,55
0.4044,7,-78.398,-66.445,0,-69
0.4882,7,-83.145,-70.664,0,18
0.5637,7,-65.039,-78.574,0,-52
0.6355,7,-50.273,-72.598,0,-21
0.7103,7,-50.273,-52.91,0,18
0.7971,7,-50.273,-36.563,0,46
0.8638,7,-50.273,-30.586,0,43
0.9355,7,-50.273,-29.18,0,72
1.0182,7,-50.273,-33.926,0,53
1.1086,7,-50.273,-37.793,0,40
1.1817,7,-50.273,-43.77,0,-5
1.251,7,-50.273,-51.152,0,-32
1.3323,7,-45.176,-60.645,0,-67
1.4042,7,-42.715,-58.887,0,-39
1.4845,7,-38.672,-52.207,0,-56
1.552,7,-38.848,-41.484,0,-11
1.6264,7,-38.848,-32.52,0,21
1.7067,7,-36.914,-26.895,0,58
1.7749,7,-36.563,-25.664,0,82
1.8699,7,-36.914,-32.871,0,13
1.9596,7,-36.914,-36.914,0,10
2.0317,7,-36.914,-37.969,0,7
2.1007,7,-34.805,-45.879,0,-54
2.2235,7,-31.289,-39.199,0,-27
2.3581,7,-31.289,-31.113,0,11
2.4558,7,-28.477,-26.191,0,131
2.5306,7,-27.07,-38.848,0,99
2.6032,7,-29.531,-52.031,0,-58
2.6818,7,-63.984,-53.086,0,51
2.7689,7,-78.223,-62.578,0,-11
2.8439,7,-79.98,-71.895,0,-8
2.9217,7,-65.391,-83.145,0,-73
2.998,7,-57.656,-77.168,0,6
3.0983,7,-55.195,-69.434,0,-2
3.1721,7,-54.844,-57.305,0,-8
3.2582,7,-54.844,-46.758,0,9
3.3306,7,-55.02,-39.199,0,32
3.4041,7,-55.02,-35.508,0,39
3.4799,7,-55.02,-35.859,0,46
3.5886,7,-55.02,-38.32,0,47
3.6644,7,-55.02,-41.484,0,17
3.7492,7,-55.02,-45.527,0,-1
3.824,7,-55.02,-51.328,0,-20
3.9078,7,-55.02,-56.777,0,-20
3.9915,7,-55.02,-57.832,0,-13
4.0684,7,-55.02,-55.02,0,-10
4.151,7,-55.02,-49.922,0,-9
4.2432,7,-55.02,-47.812,0,-3
4.3133,7,-55.02,-45.527,0,0
4.4015,7,-55.02,-42.539,0,13
4.4867,7,-55.02,-38.672,0,31
4.5746,7,-55.02,-38.848,0,23
4.6464,7,-55.02,-39.727,0,26
4.7228,7,-55.02,-40.605,0,28
4.8003,7,-55.02,-41.66,0,21
4.8822,7,-55.02,-42.891,0,11
4.9699,7,-55.02,-43.418,0,4
5.0467,7,-55.02,-43.418,0,5
5.116,7,-55.02,-43.242,0,3
5.2063,7,-55.02,-42.363,0,11
5.2896,7,-55.02,-40.605,0,21
5.3854,7,-55.02,-40.43,0,19
5.488,7,-55.02,-40.43,0,24
5.561,7,-55.02,-40.957,0,19
5.6442,7,-55.02,-41.484,0,19
5.732,7,-55.02,-41.484,0,16
5.8155,7,-55.02,-41.484,0,15
5.8901,7,-55.02,-41.484,0,14
5.9609,7,-55.02,-41.484,0,13
6.0517,7,-55.02,-41.309,0,16
6.1703,7,-55.02,-41.133,0,17
6.2531,7,-55.02,-41.133,0,17
6.3546,7,-55.02,-41.133,0,17
6.4334,7,-55.02,-41.133,0,17
6.5377,7,-55.02,-41.133,0,18
6.6515,7,-55.02,-41.133,0,18
6.7614,7,-55.02,-41.133,0,18
6.8407,7,-55.02,-41.133,0,18
6.9165,7,-55.02,-41.133,0,18
6.9918,7,-55.02,-41.133,0,18
7.0736,7,-55.02,-41.133,0,18
7.1634,7,-55.02,-41.133,0,18
7.2507,7,-55.02,-41.133,0,18
7.3225,7,-55.02,-41.133,0,18
7.4133,7,-55.02,-41.133,0,18
7.4857,7,-55.02,-41.133,0,18
7.571,7,-55.02,-41.133,0,18
7.6599,7,-55.02,-41.133,0,18
7.7377,7,-55.02,-41.133,0,18
7.8164,7,-55.02,-41.133,0,18
7.9092,7,-55.02,-41.133,0,18
7.976,7,-55.02,-41.133,0,18
8.0458,7,-55.02,-41.133,0,18
8.1162,7,-55.02,-41.133,0,18
8.188,7,-55.02,-41.133,0,18
8.2598,7,-55.02,-41.133,0,18
8.3326,7,-55.02,-41.133,0,18
8.4049,7,-55.02,-41.133,0,18
8.5047,7,-55.02,-41.133,0,18
8.5831,7,-55.02,-41.133,0,18
8.6729,7,-55.02,-41.133,0,18
8.7486,7,-55.02,-41.133,0,18
8.8254,7,-55.02,-41.133,0,18
8.9044,7,-55.02,-41.133,0,18
8.9713,7,-55.02,-41.133,0,18
9.0426,7,-55.02,-41.133,0,18
9.1224,7,-55.02,-41.133,0,18
9.1952,7,-55.02,-41.133,0,18
9.2611,7,-55.02,-41.133,0,18
9.3555,7,-55.02,-41.133,0,18
9.4292,7,-55.02,-41.133,0,18
9.4995,7,-55.02,-41.133,0,18
9.5804,7,-55.02,-41.133,0,18
9.6601,7,-55.02,-41.133,0,18
9.7395,7,-55.02,-41.133,0,18
9.8402,7,-55.02,-41.133,0,18
9.911,7,-55.02,-41.133,0,18
9.9873,7,-55.02,-41.133,0,18
10.0591,7,-55.02,-41.133,0,18
10.1412,7,-55.02,-41.133,0,18
10.3173,7,-55.02,-41.133,0,18
10.3956,7,-55.02,-41.133,0,18
10.5008,7,-55.02,-41.133,0,18
10.5766,7,-55.02,-41.484,0,13
10.6554,7,-55.02,-41.309,0,18
10.7446,7,-55.02,-41.484,0,12
10.8199,7,-55.02,-41.309,0,15
10.9057,7,-55.02,-41.309,0,15
10.9775,7,-55.02,-41.309,0,15
11.0543,7,-55.02,-41.133,0,18
11.1401,7,-55.02,-41.309,0,13
11.2129,7,-55.02,-41.133,0,17
11.2837,7,-55.02,-41.309,0,15
11.3774,7,-55.02,-41.309,0,16
11.4552,7,-55.02,-41.309,0,15
11.536,7,-55.02,-41.309,0,15
11.6119,7,-55.02,-41.309,0,15
11.6886,7,-55.02,-41.309,0,15
11.7616,7,-55.02,-41.309,0,15
11.8407,7,-55.02,-41.309,0,15
11.9121,7,-55.02,-41.309,0,15
11.9864,7,-55.02,-41.309,0,15
12.0797,7,-55.02,-41.309,0,15
12.1644,7,-55.02,-41.309,0,15
12.2472,7,-55.02,-41.309,0,15
12.322,7,-55.02,-41.309,0,15
12.4143,7,-55.02,-41.309,0,15
12.4853,7,-55.02,-41.309,0,15
12.5644,7,-55.02,-41.309,0,15
12.6621,7,-55.02,-41.309,0,15
12.7558,7,-55.02,-41.309,0,15
12.8407,7,-55.02,-41.309,0,15
12.9194,7,-55.02,-41.309,0,15
12.9912,7,-55.02,-41.309,0,15
13.067,7,-55.02,-41.309,0,15
13.1359,7,-55.02,-41.309,0,15
13.2216,7,-55.02,-41.309,0,15
13.3106,7,-55.02,-41.309,0,15
13.3974,7,-55.02,-41.309,0,15
13.4712,7,-55.02,-41.309,0,15
13.546,7,-55.02,-41.309,0,15
13.6288,7,-55.02,-41.309,0,15
13.7046,7,-55.02,-41.309,0,15
13.7754,7,-55.02,-41.309,0,15
13.8512,7,-55.02,-41.309,0,15
13.9365,7,-55.02,-41.309,0,15
14.0083,7,-55.02,-41.309,0,15
14.0961,7,-55.02,-41.309,0,15
14.1963,7,-55.02,-41.309,0,15
14.3006,7,-55.02,-41.309,0,15
14.4013,7,-55.02,-41.309,0,15
14.4906,7,-55.02,-41.309,0,15
14.5604,7,-55.02,-41.309,0,15
14.6362,7,-55.02,-41.309,0,15
14.7219,7,-55.02,-41.309,0,15
14.7977,7,-55.02,-41.309,0,15
14.8775,7,-55.02,-41.309,0,15
14.9474,7,-55.02,-41.309,0,15
15.0301,7,-55.02,-41.309,0,15
15.107,7,-55.02,-41.309,0,15
15.1729,7,-55.02,-41.309,0,15
15.2734,7,-55.02,-41.309,0,15
15.3443,7,-55.02,-41.309,0,15
15.4156,7,-55.02,-41.309,0,15
15.4894,7,-55.02,-41.309,0,15
15.5722,7,-55.02,-41.309,0,15
15.649,7,-55.02,-41.309,0,15
15.7199,7,-55.02,-41.309,0,15
15.8026,7,-55.02,-41.309,0,15
15.8807,7,-55.02,-41.309,0,15
