t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-236.602,11.074,0,-53
0.0814,7,-239.941,16.523,0,-35
0.1553,7,-242.93,22.5,0,-27
0.2256,7,-241.699,27.07,0,-18
0.2948,7,-235.02,29.883,0,12
0.3746,7,-230.098,31.816,0,32
0.4514,7,-229.043,33.398,0,38
0.5273,7,-232.383,33.574,0,30
0.5981,7,-238.359,33.574,0,3
0.6659,7,-243.633,33.223,0,-46
0.7378,7,-247.676,35.156,0,-51
0.8132,7,-248.73,40.781,0,-28
0.8933,7,-235.723,43.77,0,12
0.9801,7,-225.352,44.121,0,44
1.0634,7,-220.957,43.945,0,55
1.1342,7,-225.352,40.957,0,38
1.214,7,-243.281,38.848,0,-24
1.3197,7,-258.223,40.957,0,-49
1.3855,7,-261.387,44.824,0,-71
1.4633,7,-249.785,51.328,0,-33
1.5461,7,-227.285,54.844,0,97
1.6319,7,-202.5,48.867,0,81
1.7176,7,-202.5,32.344,0,23
1.8194,7,-229.922,22.5,0,-68
1.8893,7,-275.098,27.949,0,-48
1.9711,7,-292.324,26.895,0,-98
2.0588,7,-278.613,33.223,0,-126
2.1366,7,-248.379,49.219,0,46
2.2094,7,-203.379,53.086,0,86
2.2934,7,-171.738,55.547,0,108
2.3914,7,-191.25,47.109,0,103
2.4697,7,-233.613,42.363,0,-15
2.5366,7,-297.07,36.738,0,-63
2.6592,7,-284.59,30.937,0,-142
2.7889,7,-235.723,37.617,0,-8
2.8747,7,-179.297,49.922,1,-37
3.0004,7,-203.379,74.004,1,-35
3.1084,0,-267.187,116.191,0,0
