t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-1.23,5.889,0,80
0.0869,7,7.734,-3.428,0,63
0.1607,7,12.48,-14.854,0,38
0.2515,7,-0.879,-22.236,0,32
0.3287,7,-8.438,-36.299,0,123
0.4185,7,-14.941,-50.537,0,-103
0.5184,7,-29.883,-48.779,0,-132
0.6073,7,-28.477,-35.068,0,22
0.6987,7,-17.93,-22.764,0,-164
0.7877,7,-1.23,6.24,0,-143
0.8735,7,8.262,30.85,0,174
0.9483,7,26.895,42.451,0,78
1.0441,7,23.027,47.197,0,112
1.1149,7,11.777,29.268,0,83
1.2189,7,2.637,-0.615,0,3
1.3057,7,-7.91,-25.225,0,3
1.3806,7,-20.391,-56.514,0,-11
1.4744,7,-38.496,-70.576,0,-33
1.5548,7,-41.309,-74.443,0,-68
1.6242,7,-32.695,-68.643,0,-119
1.7,7,-30.586,-44.033,0,-6
1.7769,7,-30.586,-22.939,0,91
1.856,7,-7.559,-0.615,0,-119
1.9427,7,-3.867,29.443,0,159
2.0175,7,7.031,35.42,0,95
2.0863,7,-0.352,38.408,0,149
2.1511,7,-4.395,19.248,0,86
2.2235,7,-10.898,-10.459,0,30
2.3182,7,-30.059,-45.615,0,39
2.396,7,-52.91,-70.928,0,-37
2.471,7,-72.422,-85.342,0,-71
2.5489,7,-73.477,-92.725,0,57
2.6245,0,-46.055,-105.908,0,0
