t_s,mode,alpha_deg,theta_deg,hybrid_lqr,pwm
0.0,7,-236.602,4.658,0,-51
0.0904,7,-242.93,11.865,0,-48
0.1654,7,-249.961,26.455,0,-56
0.252,7,-247.852,35.947,0,-47
0.3218,7,-237.129,44.033,0,21
0.3927,7,-220.078,45.967,0,106
0.4664,7,-201.973,37.002,0,115
0.548,7,-202.676,10.986,0,-55
0.6557,7,-262.617,20.127,0,0
0.7485,7,-295.84,24.346,0,-50
0.8143,7,-296.191,24.873,0,-121
0.8901,7,-256.992,41.748,0,24
0.9967,7,-200.039,51.592,0,87
1.0835,7,-169.629,55.459,0,133
1.1643,7,-177.012,44.209,0,29
1.2533,7,-220.078,41.924,1,38
1.3261,7,-275.801,45.439,0,-26
1.3942,7,-302.695,35.596,0,-72
1.473,7,-296.367,30.146,0,-122
1.5448,7,-267.187,34.717,0,-112
1.6326,7,-201.27,47.9,0,88
1.7373,7,-173.145,54.58,0,103
1.8424,7,-207.949,51.064,1,65
1.9451,7,-264.902,49.658,0,-21
2.0319,7,-289.512,42.451,0,-90
2.1216,7,-281.777,40.166,0,-118
2.2105,7,-249.961,49.131,0,22
2.2953,7,-203.555,54.404,0,85
2.369,7,-179.297,55.811,0,56
2.4409,7,-183.691,55.107,1,2
2.5156,7,-225.176,62.139,1,36
2.6018,7,-271.582,67.588,0,6
2.6677,7,-281.25,58.975,0,-94
2.7445,7,-271.23,57.041,0,-85
2.8153,7,-242.051,58.799,0,32
2.901,7,-209.004,58.799,0,86
2.9798,7,-192.832,57.041,0,79
3.0856,7,-210.059,48.955,0,22
3.1584,7,-247.324,45.615,0,-13
3.2391,7,-278.086,41.924,0,-87
3.31,7,-283.887,41.748,0,-82
3.4027,7,-257.695,49.658,0,-58
3.497,7,-213.398,58.447,0,96
3.5928,7,-182.461,58.447,0,56
3.6706,7,-188.613,59.15,0,68
3.7498,7,-231.855,62.139,0,29
3.8321,7,-274.746,60.205,0,-55
3.9298,7,-282.129,54.229,0,-90
4.0036,7,-261.914,55.986,0,-76
4.0924,7,-227.988,58.096,0,21
4.1642,7,-196.348,58.623,0,71
4.2515,7,-190.371,58.623,0,17
4.3409,7,-218.145,57.217,0,23
4.4172,7,-258.223,57.744,0,-9
4.494,7,-279.141,51.592,0,-96
4.5812,7,-266.66,54.404,0,-73
4.6884,7,-232.031,57.568,0,14
4.7672,7,-197.93,57.92,0,77
4.8506,7,-189.316,56.689,0,-14
4.9252,7,-206.016,51.943,0,23
5.007,7,-240.82,46.67,0,-20
5.0787,7,-273.691,42.979,0,-111
5.1566,7,-288.457,42.627,0,-44
5.2284,7,-268.945,45.615,0,-113
5.3228,7,-232.383,53.525,0,53
5.3887,7,-193.535,54.58,0,81
5.4691,7,-180.176,55.283,1,-65
5.5388,7,-198.281,62.666,1,64
5.6216,7,-245.391,76.729,0,71
5.6924,7,-266.836,72.861,0,-46
5.7682,7,-267.539,63.896,0,-67
5.836,7,-256.113,60.557,0,-79
5.9202,7,-226.582,62.842,0,84
6.0219,7,-206.367,58.096,0,78
6.0938,7,-200.742,49.131,0,138
6.1863,7,-212.52,27.861,0,-38
6.256,7,-259.277,31.025,0,1
6.3413,7,-288.809,31.553,0,-85
6.4151,7,-289.16,32.432,0,-119
6.4824,7,-267.715,42.1,0,-78
6.5622,7,-227.285,54.229,0,56
6.6354,7,-184.57,57.041,0,73
6.7162,7,-172.617,53.877,0,59
6.8239,7,-257.695,50.537,0,15
6.9945,7,-299.883,39.639,0,-60
7.0832,7,-286.699,36.475,0,-130
7.152,7,-250.664,43.506,0,-1
7.2268,7,-199.336,48.955,0,69
7.3144,7,-178.945,54.404,0,59
7.3783,7,-184.395,56.338,1,64
7.453,7,-215.859,57.041,1,64
7.5259,7,-257.344,57.041,0,-8
7.6016,7,-282.656,49.658,0,-93
7.6745,7,-284.59,48.428,0,-85
7.7482,7,-259.102,52.998,0,-65
7.8351,7,-223.77,57.393,0,31
7.9079,7,-188.965,59.854,0,69
7.9921,7,-187.207,59.678,0,73
8.0634,7,-211.641,57.393,0,38
8.1532,7,-266.836,57.041,0,-40
8.2404,7,-284.062,50.713,0,-79
8.3172,7,-280.02,49.482,0,-103
8.3851,7,-248.73,55.986,0,36
8.4788,7,-205.488,57.393,0,85
8.563,7,-185.449,57.041,0,56
8.6354,7,-192.48,57.041,0,153
8.7032,7,-216.211,51.064,0,7
8.774,7,-265.254,49.307,0,-15
8.8787,7,-287.227,42.627,0,-82
8.9685,7,-271.23,45.615,0,-112
9.0433,7,-238.535,55.107,0,51
9.134,7,-194.766,56.338,0,85
9.2065,7,-179.473,55.986,0,38
9.2753,7,-195.293,60.205,1,-36
9.3581,7,-252.07,82.705,0,103
9.4279,7,-268.594,77.08,0,-44
9.5077,7,-262.441,63.896,0,-82
9.5865,7,-248.73,59.854,0,-70
9.6578,7,-234.492,63.018,0,21
9.7346,7,-209.707,57.217,0,77
9.8224,7,-198.457,44.561,0,79
9.9031,7,-204.961,23.994,0,-25
9.973,7,-247.852,23.291,0,-91
10.0679,7,-293.555,30.674,0,-55
10.1457,7,-290.918,30.85,0,-130
10.2364,7,-264.902,40.869,0,-8
10.3028,7,-225.527,49.834,0,57
10.3681,7,-187.734,54.932,0,81
10.4379,7,-168.926,57.041,0,132
10.5088,7,-181.934,45.791,0,105
10.5955,7,-224.473,36.299,0,-30
10.6733,7,-280.371,32.607,0,-91
10.7536,7,-308.145,23.818,0,-76
10.8264,7,-289.336,22.236,0,-158
10.9217,7,-244.863,35.068,0,-1
11.0045,7,-190.898,45.264,0,70
11.0892,7,-166.289,51.768,0,148
11.175,7,-179.121,45.088,0,10
11.2518,7,-224.121,42.275,0,27
11.3226,7,-278.086,41.924,0,-39
11.4084,7,-302.52,30.674,0,-94
11.4793,7,-291.27,28.389,0,-136
11.556,7,-256.992,37.705,0,-6
11.6223,7,-201.445,45.967,0,74
11.7191,7,-176.309,54.404,1,-65
11.7909,7,-185.977,70.576,1,62
11.8627,7,-225.703,93.955,1,58
11.9375,0,-265.254,114.346,0,0
