attempt,t,pend_deg,mode,pwm,v_bus
2,17.680,-0.88,4,0,15.024
2,17.982,-1.76,4,0,15.024
2,18.209,3.34,4,58,14.732
2,18.440,-0.18,4,0,15.024
2,18.702,0.00,4,59,15.020
2,19.008,1.23,4,59,14.716
2,19.314,-0.53,4,0,15.024
2,19.556,-0.88,4,-2,15.020
2,19.826,-1.41,4,0,15.020
2,20.150,1.05,4,58,14.732
2,20.446,-1.41,4,-3,15.016
2,20.755,-0.18,4,0,15.020
2,21.053,1.58,4,58,14.728
2,21.371,-1.23,4,-2,15.024
2,21.674,-0.53,4,0,15.020
2,22.004,-0.18,4,0,14.732
2,22.245,-0.88,4,-4,15.020
2,22.611,0.53,4,58,14.736
2,22.849,1.93,4,58,14.728
2,23.119,-0.70,4,-3,15.016
2,23.357,-1.41,4,0,15.024
2,23.615,2.99,4,58,14.728
2,23.990,-1.93,4,0,15.016
2,24.327,2.29,4,58,14.728
2,24.603,-0.35,4,0,15.008
2,24.964,-0.53,4,0,15.016
2,25.255,2.81,4,58,14.728
2,25.555,-0.53,4,0,15.020
2,25.870,-1.23,4,0,15.024
2,26.184,2.81,4,58,14.728
2,26.414,-0.18,4,0,14.920
2,26.679,-1.05,4,0,15.024
2,26.991,2.64,4,58,14.720
2,27.261,-0.53,4,0,15.020
2,27.611,-1.23,4,0,15.024
2,27.845,2.64,4,58,14.732
2,28.089,-0.53,4,0,15.024
2,28.324,-0.88,4,-1,15.024
2,28.636,1.58,4,58,14.728
2,28.966,0.00,4,59,14.720
2,29.189,0.18,4,59,14.728
2,29.480,2.46,4,58,14.732
2,29.765,-0.53,4,0,15.020
2,30.060,0.00,4,0,15.020
3,0.041,-21.45,5,59,14.740
3,0.268,56.95,5,-59,14.860
3,0.505,-66.27,5,58,14.744
3,0.767,50.80,5,-42,14.964
3,1.080,-30.94,5,-38,14.784
3,1.314,-93.52,5,-59,14.836
3,1.603,137.81,5,-39,15.012
3,1.856,-26.19,5,59,14.780
3,2.127,-204.08,4,24,15.016
3,2.364,-414.14,4,24,15.020
3,2.594,62.05,5,52,14.872
3,2.831,74.36,5,40,14.960
3,3.059,45.88,5,43,14.920
3,3.294,98.09,5,50,14.856
3,3.544,29.71,5,-58,14.876
3,3.781,164.18,4,-22,15.024
3,4.048,-0.70,4,-21,15.016
3,4.302,134.47,4,-38,15.016
3,4.543,38.50,4,-18,15.020
3,4.806,90.88,4,-38,15.016
3,5.068,60.82,4,-46,14.980
3,5.379,123.40,4,-42,15.008
3,5.704,48.34,4,-46,14.992
3,6.013,56.07,4,-43,15.000
3,6.241,92.28,4,-39,15.012
3,6.509,59.59,4,-44,15.000
3,6.818,68.91,4,-42,15.004
3,7.047,81.39,4,-40,15.008
3,7.272,69.78,4,-41,15.008
3,7.508,76.82,4,-41,15.008
3,7.845,75.23,4,-41,15.008
3,8.176,74.53,4,-41,15.004
3,8.470,75.23,4,-41,15.012
3,8.721,74.53,4,-41,15.008
3,9.082,75.06,4,-41,15.012
3,9.404,74.71,4,-41,15.008
3,9.680,75.06,4,-41,15.000
3,9.993,74.71,4,-41,15.008
3,10.229,75.06,4,-41,15.008
3,10.519,74.71,4,-41,15.008
3,10.827,74.88,4,-41,15.008
3,11.053,74.88,4,-41,15.004
3,11.283,74.88,4,-41,15.004
3,11.648,74.88,4,-41,15.004
3,11.888,74.88,4,-41,15.004
3,12.144,74.88,4,-41,15.004
3,12.450,74.88,4,-41,15.004
3,12.749,74.88,4,-41,15.000
3,12.986,74.88,4,-41,15.004
3,13.281,74.88,4,-41,15.008
3,13.579,74.88,4,-41,15.004
3,13.895,74.88,4,-41,15.008
3,14.182,74.88,4,-41,14.992
3,14.490,74.88,4,-41,15.004
3,14.829,74.88,4,-41,15.008
3,15.114,74.88,4,-41,15.008
3,15.363,74.88,4,-41,15.008
3,15.621,74.88,4,-41,15.008
3,15.932,74.88,4,-41,15.008
3,16.262,74.88,4,-41,15.004
3,16.497,74.88,4,-41,15.008
3,16.768,74.88,4,-41,15.004
3,17.049,74.88,4,-41,15.004
3,17.371,74.88,4,-41,15.004
3,17.681,74.88,4,-41,15.012
3,17.985,74.88,4,-41,15.008
3,18.291,74.88,4,-41,15.008
3,18.595,74.88,4,-41,15.012
3,18.897,74.88,4,-41,15.008
3,19.211,74.88,4,-41,15.012
3,19.522,74.88,4,-41,15.008
3,19.755,74.88,4,-41,15.012
3,19.989,74.88,4,-41,15.004
3,20.334,74.88,4,-41,15.008
3,20.572,74.88,4,-41,15.004
3,20.816,74.88,4,-41,15.008
3,21.161,74.88,4,-41,15.008
3,21.505,74.88,4,-41,15.008
3,21.791,74.88,4,-41,15.008
3,22.074,74.88,4,-41,15.008
3,22.389,74.88,4,-41,15.004
3,22.681,74.88,4,-41,15.008
3,23.000,74.88,4,-41,15.004
3,23.227,74.88,4,-41,15.004
3,23.462,74.88,4,-41,15.004
3,23.746,74.88,4,-41,15.008
3,23.982,74.88,4,-41,15.008
3,24.238,74.88,4,-41,15.004
3,24.523,74.88,4,-41,15.004
3,24.782,74.88,4,-41,15.004
3,25.157,74.71,4,-41,15.012
3,25.426,74.88,4,-41,15.004
3,25.671,74.88,4,-41,15.004
