t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,-95.977,-5.186,59,26.4
0.0892,5,-86.836,-13.096,59,95.2
0.1823,5,-78.926,-28.74,58,94.3
0.2701,5,-96.855,-39.111,-57,28.1
0.3608,5,-133.066,-29.268,-58,84.4
0.527,5,-102.305,-34.541,58,92.0
0.6152,5,-51.152,-55.986,39,66.7
0.7117,5,-56.953,-55.635,-55,79.5
0.8236,5,-91.406,-14.502,-59,83.6
0.9134,5,-116.543,0.967,-59,83.6
0.9873,5,-107.578,11.514,59,85.8
1.06,5,-46.758,1.67,59,100.9
1.1434,5,19.863,-13.447,59,93.5
1.2293,5,30.937,-15.908,59,96.1
1.2994,5,0.879,-16.787,-59,96.1
1.3901,5,-79.277,15.029,-59,84.2
1.4585,5,-129.902,29.619,-58,84.8
1.5382,5,-144.844,39.111,-57,85.4
1.627,5,-110.391,44.033,57,92.2
1.7028,5,-26.367,15.029,59,92.2
1.7846,5,45.0,-0.439,59,91.0
1.8674,5,59.062,-7.295,59,96.2
1.9392,5,34.453,-18.545,-59,90.9
2.017,5,-37.617,-7.295,-59,90.9
2.0918,5,-131.133,20.303,0,76.7
2.1716,5,-166.113,17.666,59,27.0
2.2444,4,-169.805,13.271,0,99.9
2.3183,4,-119.004,6.768,0,27.2
2.4189,4,-5.977,-39.814,0,27.4
2.5067,4,46.406,-47.373,0,27.4
2.5835,4,60.117,-46.494,0,27.3
2.6548,4,39.199,-47.021,66,27.3
2.7287,4,-19.512,-40.693,67,27.3
2.8035,4,-51.152,-18.545,-60,123.7
2.9002,4,-51.152,-20.83,-54,90.9
2.971,4,-50.977,-19.424,-60,78.0
3.0733,4,-16.348,-32.08,-45,92.1
3.155,4,44.648,-39.287,-43,59.0
3.2209,4,66.27,-28.74,68,59.0
3.2917,4,56.602,-16.611,69,127.0
3.4014,4,-28.828,8.701,66,125.7
3.4882,4,-58.887,4.482,-69,111.0
3.5849,4,-49.922,-12.041,-64,117.0
3.6577,4,-14.766,-27.861,-49,80.9
3.7315,4,18.984,-38.76,67,80.9
3.8063,4,25.137,-37.529,67,108.7
3.8871,4,7.91,-37.354,67,116.0
3.9768,4,-19.863,-41.924,-43,100.6
4.0606,4,-33.574,-50.361,-42,60.2
4.1529,4,-26.543,-58.623,-37,58.0
4.2268,4,-4.043,-68.643,-8,27.6
4.3221,4,5.625,-70.752,62,27.6
4.4069,4,6.328,-73.564,61,103.6
4.4869,4,-2.813,-77.256,60,100.7
4.5662,4,-11.602,-86.924,59,95.0
4.6495,0,-13.711,-102.568,0,27.9
