t_s,mode,alpha_deg,theta_deg,pwm,i_ma
0.0,5,16.699,5.537,-59,28.0
0.0794,5,8.086,14.854,-59,86.3
0.1582,5,3.164,30.146,-58,85.4
0.237,5,16.172,37.178,57,85.4
0.3145,5,52.031,27.334,58,94.9
0.4109,5,52.207,20.303,-59,93.4
0.5586,5,-31.113,52.471,-49,80.6
0.6968,5,-23.203,54.932,55,59.2
0.7966,5,49.57,24.521,59,84.1
0.8761,5,90.879,5.01,59,94.8
0.9773,5,77.695,-3.779,-59,81.4
1.0517,5,8.086,12.041,-59,80.9
1.1389,5,-55.898,26.631,-58,86.0
1.2254,5,-61.172,30.146,-58,86.0
1.3117,5,-24.961,28.389,58,94.5
1.3855,5,66.973,-9.053,59,87.8
1.4683,5,111.621,-19.6,59,92.2
1.5427,5,112.676,-31.553,-58,88.2
1.6381,5,71.191,-32.783,-58,88.2
1.7089,5,-8.789,0.264,-59,81.5
1.7778,5,-63.984,11.162,-59,87.6
1.856,5,-84.727,18.721,-59,89.7
1.9438,5,-49.922,29.092,58,96.2
2.0305,5,31.465,6.24,59,96.2
2.1063,5,117.246,-16.787,59,26.2
2.1821,5,146.426,-17.666,59,96.7
2.2639,5,135.0,-29.268,-58,94.7
2.374,5,45.527,-18.721,-59,83.0
2.4629,5,-57.656,15.908,-59,88.2
2.5432,5,-98.789,19.775,-59,88.2
2.6173,5,-93.516,38.057,57,86.3
2.7202,5,-40.254,48.955,56,96.2
2.7963,5,63.984,14.502,0,86.6
2.8891,5,150.469,10.107,0,27.5
2.9853,5,174.727,19.072,-59,89.6
3.0596,4,167.695,23.115,24,30.2
3.1619,4,103.359,23.818,24,42.2
3.2447,4,4.219,61.611,22,42.2
3.3175,4,-69.434,76.377,21,39.3
3.4008,4,-103.184,71.807,-62,37.1
3.518,4,-74.355,80.244,-60,93.7
3.5985,4,12.48,74.619,-61,87.6
3.6789,4,97.734,61.963,-63,101.1
3.7571,0,135.703,96.24,0,85.5
