attempt,t,pend_deg,mode,pwm,v_bus
1,0.040,-17.58,5,59,0.000
1,0.285,49.22,5,-59,0.000
1,0.507,-47.99,5,-3,0.000
1,0.728,30.94,5,-59,0.000
1,0.977,21.27,5,58,0.000
1,1.215,-100.55,5,-56,0.000
1,1.439,104.59,5,-59,0.000
1,1.674,63.10,5,59,0.000
1,1.899,-131.31,5,-47,0.000
1,2.155,-8.61,5,-57,0.000
1,2.396,140.10,5,56,0.000
1,2.616,14.94,5,59,0.000
1,2.835,-143.26,5,-47,0.000
1,3.058,-44.30,5,-43,0.000
1,3.291,145.02,5,-43,0.000
1,3.521,-23.91,5,-11,0.000
1,3.766,-129.38,5,-56,0.000
1,4.018,95.98,5,-7,0.000
1,4.360,31.82,5,59,0.000
1,4.588,-131.13,5,-45,0.000
1,4.881,106.17,5,-50,0.000
1,5.144,54.32,5,-1,0.000
1,5.394,-117.60,5,-57,0.000
1,5.620,48.16,5,4,0.000
1,5.868,-61.17,5,-48,0.000
1,6.106,68.56,5,-46,0.000
1,6.372,-34.63,5,-39,0.000
1,6.605,26.54,5,-52,0.000
1,6.847,-2.29,5,58,0.000
1,7.076,-56.43,5,-58,0.000
1,7.324,86.48,5,56,0.000
1,7.558,-101.07,5,3,0.000
1,7.793,-13.36,5,-52,0.000
1,8.044,121.99,5,58,0.000
1,8.267,-80.51,5,-50,0.000
1,8.554,2.46,5,-58,0.000
1,8.772,117.77,5,56,0.000
1,9.008,-83.85,5,58,0.000
1,9.239,-127.09,5,-47,0.000
1,9.484,116.02,5,-53,0.000
1,9.729,90.00,5,58,0.000
1,9.975,-124.63,5,-52,0.000
1,10.207,23.38,5,-59,0.000
1,10.438,131.13,5,55,0.000
1,10.683,-64.51,5,-40,0.000
1,10.905,-130.08,5,-43,0.000
1,11.129,83.32,5,-49,0.000
1,11.352,116.54,5,-53,0.000
1,11.585,-107.40,5,-21,0.000
1,11.832,-4.75,5,-58,0.000
1,12.059,-51.50,5,-9,0.000
1,12.315,48.16,5,-48,0.000
1,12.543,14.59,5,-44,0.000
1,12.846,15.82,5,-53,0.000
1,13.086,17.40,5,59,0.000
1,13.308,-94.04,5,-56,0.000
1,13.552,105.47,5,-59,0.000
1,13.780,19.16,5,59,0.000
1,14.038,-143.97,5,-53,0.000
1,14.289,27.25,5,-59,0.000
1,14.527,141.33,5,56,0.000
1,14.775,-7.73,5,59,0.000
1,15.000,-139.92,5,-47,0.000
1,15.258,55.72,5,-52,0.000
1,15.504,116.72,5,58,0.000
1,15.736,-109.16,5,-51,0.000
1,15.970,-69.78,5,-57,0.000
1,16.195,131.84,5,16,0.000
1,16.425,51.15,5,59,0.000
1,16.661,-135.35,5,-46,0.000
1,16.906,34.80,5,-47,0.000
1,17.175,115.14,5,-53,0.000
1,17.420,-111.97,5,2,0.000
1,17.677,29.88,5,54,0.000
1,17.915,-61.88,5,-52,0.000
1,18.135,59.41,5,-49,0.000
1,18.377,-7.73,5,-44,0.000
1,18.605,-21.27,5,-52,0.000
1,18.839,67.32,5,58,0.000
1,19.082,-105.47,5,59,0.000
1,19.302,59.59,5,-59,0.000
1,19.528,97.03,5,58,0.000
