sp,attempt,t,pend_deg,mode,pwm,v_bus
60,2,3.218,73.83,4,-45,14.996
60,2,3.456,98.09,4,-42,15.004
60,2,3.694,-105.82,4,-59,14.848
60,2,3.919,26.89,4,-44,15.012
60,2,4.155,25.66,4,-20,15.016
60,2,4.379,-46.76,4,-60,14.844
60,2,4.616,65.74,4,-44,15.000
60,2,4.858,-67.68,4,-53,14.920
60,2,5.087,38.32,4,-17,15.020
60,2,5.326,-31.64,4,-56,14.892
60,2,5.557,37.62,4,-20,15.016
60,2,5.790,-34.28,4,-53,14.932
60,2,6.024,10.55,4,-19,15.016
60,2,6.270,8.09,4,-47,14.984
60,2,6.528,-24.61,4,-22,15.020
60,2,6.756,25.14,4,-19,15.016
60,2,6.983,-22.50,4,-51,14.952
60,2,7.222,4.04,4,-20,15.016
60,2,7.472,12.66,4,-47,14.988
60,2,7.704,-20.92,4,-51,14.948
60,2,7.935,8.79,4,-20,15.016
60,2,8.185,5.62,4,-47,14.984
60,2,8.428,-15.12,4,-50,14.960
60,2,8.670,0.35,4,-20,15.020
60,2,8.893,5.80,4,-19,15.016
60,2,9.120,-3.87,4,-48,14.972
60,2,9.373,-3.87,4,-48,14.972
60,2,9.615,-2.64,4,-48,14.976
60,2,9.841,-1.93,4,-47,14.980
60,2,10.067,-1.58,4,-46,14.992
60,2,10.299,-1.41,4,-46,14.988
60,2,10.548,-0.53,4,-46,14.984
60,2,10.778,-2.11,4,-46,14.992
60,2,11.011,-0.35,4,-46,14.992
60,2,11.244,-1.76,4,-46,14.988
60,2,11.477,-1.23,4,-46,14.988
60,2,11.699,-0.70,4,-46,14.984
60,2,11.925,-1.93,4,-46,14.984
60,2,12.155,-0.53,4,-46,14.988
60,2,12.378,-1.41,4,-46,14.988
60,2,12.603,-1.41,4,-46,14.984
60,2,12.825,-0.70,4,-46,14.988
60,2,13.053,-1.58,4,-46,14.988
60,2,13.298,-0.88,4,-46,14.988
60,2,13.535,-1.23,4,-46,14.988
60,2,13.765,-1.23,4,-46,14.980
60,2,14.003,-1.05,4,-46,14.988
60,2,14.259,-1.41,4,-46,14.988
60,2,14.490,-1.05,4,-46,14.988
60,2,14.714,-1.23,4,-46,14.984
60,2,14.939,-1.23,4,-46,14.984
60,2,15.253,-1.05,4,-46,14.988
60,2,15.518,-1.23,4,-46,14.980
60,2,15.752,-1.05,4,-46,14.988
60,2,15.994,-1.23,4,-46,14.984
60,2,16.225,-1.23,4,-46,14.980
60,2,16.478,-1.23,4,-46,14.984
60,2,16.701,-1.23,4,-46,14.980
60,2,16.929,-1.23,4,-46,14.984
60,2,17.160,-1.23,4,-46,14.984
60,2,17.425,-1.23,4,-46,14.984
60,2,17.659,-1.23,4,-46,14.972
60,2,17.887,-1.23,4,-46,14.984
