alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
196.348,50,76.6,1,49,0.0,0.0,7.998,14.904
204.258,50,76.6,1,49,0.0,0.071,1.318,14.904
210.586,50,74.1,1,49,0.0,0.1433,-8.701,14.908
206.191,50,75.0,1,49,0.0,0.2188,-19.424,14.916
203.73,50,74.4,1,49,0.0,0.2986,-31.553,14.932
203.73,50,74.4,1,49,0.0,0.377,-45.264,14.932
206.016,50,71.7,1,49,0.0,0.4487,-65.479,14.916
211.113,50,71.5,1,49,0.0,0.5246,-90.967,14.92
204.258,50,23.4,0,0,0.0,0.6004,-108.545,15.02
189.844,50,23.4,0,0,0.0,0.6887,-111.357,15.02
185.625,50,26.9,0,0,0.0,0.7714,-113.115,15.02
198.105,50,26.8,0,0,0.0,0.858,-115.049,15.024
214.453,50,27.0,0,0,0.0,0.9348,-109.951,15.02
212.695,50,26.5,0,0,0.0,1.0285,-94.658,15.02
201.445,50,26.8,0,0,0.0,1.1272,-68.643,15.024
215.332,0,27.3,0,0,0.0,0.0,-48.428,15.02
218.496,0,27.6,0,0,0.0,0.1372,-39.111,15.008
210.234,0,27.1,0,0,0.0,0.2203,-25.576,15.016
202.852,0,27.1,0,0,0.0,0.3061,-14.854,15.016
204.609,0,27.1,0,0,0.0,0.3818,-9.932,15.016
212.695,0,27.4,0,0,0.0,0.4587,-8.877,15.016
217.969,0,27.2,0,0,0.0,0.5275,-7.295,15.016
213.223,0,27.2,0,0,0.0,0.6135,-2.021,15.016
203.379,0,26.3,0,0,0.0,0.6972,5.01,15.02
204.082,0,26.8,0,0,0.0,0.788,5.361,15.02
213.75,-50,27.4,0,0,0.0,0.0,1.67,15.02
214.102,-50,27.0,0,0,0.0,0.077,2.021,15.02
207.773,-50,26.8,0,0,0.0,0.1568,5.186,15.02
204.961,-50,27.1,0,0,0.0,0.2468,5.537,15.016
207.07,-50,27.1,0,0,0.0,0.3266,3.779,15.016
210.41,-50,27.1,0,0,0.0,0.3944,1.494,15.02
211.465,-50,27.0,0,0,0.0,0.4658,0.615,15.016
206.895,-50,26.6,0,0,0.0,0.5635,1.67,15.024
207.598,-50,26.9,0,0,0.0,0.7015,0.439,15.02
209.355,-50,27.1,0,0,0.0,0.8042,-0.439,15.02
209.355,-50,27.0,0,0,0.0,0.9335,-0.264,15.02
209.004,-50,27.0,0,0,0.0,1.0142,-0.088,15.02
208.301,-50,26.9,0,0,0.0,1.093,-0.088,15.016
208.301,0,27.3,0,0,0.0,0.0,-0.088,15.02
208.828,0,27.2,0,0,0.0,0.0848,-0.088,15.016
209.18,0,27.2,0,0,0.0,0.1562,-0.088,15.016
209.18,0,26.6,0,0,0.0,0.2239,-0.088,15.02
209.004,0,27.5,0,0,0.0,0.3081,-0.088,15.016
208.477,0,27.1,0,0,0.0,0.3929,-0.088,15.02
208.301,0,27.1,0,0,0.0,0.4568,-0.088,15.02
208.301,0,26.7,0,0,0.0,0.5365,-0.088,15.024
208.477,0,27.0,0,0,0.0,0.6014,-0.088,15.02
209.004,0,26.9,0,0,0.0,0.6832,-0.088,15.016
209.18,0,27.2,0,0,0.0,0.758,-0.088,15.016
