alpha_deg,cmd_sp,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
166.465,20.0,26.9,2,-57,20.0,0.0,-2.461,15.02
158.906,20.0,65.5,2,-17,20.0,0.0913,6.855,14.932
157.852,20.0,27.2,2,-7,20.0,0.1592,13.711,15.02
166.641,20.0,27.2,2,-9,20.0,0.2299,15.82,15.02
176.309,20.0,26.6,2,0,20.0,0.2967,18.105,15.02
174.375,20.0,26.5,2,28,20.0,0.3922,25.137,15.016
167.52,20.0,62.0,2,41,20.0,0.4713,31.289,14.94
167.344,20.0,46.5,2,24,20.0,0.5456,29.707,14.976
168.75,20.0,28.3,2,12,20.0,0.6389,26.367,15.02
167.344,20.0,28.3,2,9,20.0,0.7206,24.258,15.02
165.059,20.0,28.5,2,6,20.0,0.7944,23.203,15.016
164.004,20.0,27.8,2,1,20.0,0.8632,21.621,15.016
165.234,20.0,29.6,2,-6,20.0,0.9306,18.809,15.008
166.816,20.0,29.6,2,-9,20.0,1.0293,17.227,15.008
166.289,20.0,26.8,2,-29,20.0,1.1031,17.578,15.02
164.707,20.0,30.0,2,0,20.0,1.1827,19.336,14.996
166.113,20.0,26.8,2,0,20.0,1.2675,19.512,15.02
167.695,20.0,27.4,2,0,20.0,1.3493,19.512,15.02
168.223,20.0,27.4,2,0,20.0,1.4388,20.039,15.02
166.992,20.0,26.5,2,0,20.0,1.5156,20.918,15.02
165.937,20.0,27.0,2,5,20.0,1.5834,21.445,15.02
165.937,20.0,27.2,2,4,20.0,1.6587,21.445,15.02
166.641,20.0,26.4,2,4,20.0,1.7475,21.445,15.02
167.168,20.0,27.2,2,4,20.0,1.8642,21.445,15.024
167.168,20.0,27.2,2,4,20.0,1.9635,21.445,15.02
166.816,20.0,27.2,2,4,20.0,2.0432,21.445,15.02
166.289,20.0,27.0,2,4,20.0,2.1241,21.445,15.02
165.937,20.0,28.4,2,4,20.0,2.1886,21.445,15.012
165.937,20.0,26.7,2,4,20.0,2.26,21.445,15.02
166.465,20.0,27.0,2,4,20.0,2.3387,21.445,15.02
166.992,20.0,27.0,2,4,20.0,2.4385,21.445,15.02
167.168,20.0,27.2,2,5,20.0,2.5033,21.445,15.02
166.816,20.0,26.9,2,5,20.0,2.6015,21.445,15.016
166.465,20.0,27.2,2,5,20.0,2.6804,21.445,15.02
166.113,20.0,27.0,2,5,20.0,2.7551,21.445,15.016
166.113,20.0,26.8,2,5,20.0,2.8297,21.445,15.02
166.816,20.0,26.9,2,5,20.0,2.9386,21.445,15.02
166.992,20.0,27.1,2,5,20.0,3.0474,21.445,15.02
166.992,20.0,27.1,2,5,20.0,3.1371,21.445,15.02
166.465,20.0,26.1,2,5,20.0,3.2219,21.445,15.016
166.113,20.0,26.1,2,5,20.0,3.3246,21.445,15.016
166.113,20.0,27.3,2,5,20.0,3.4069,21.445,15.02
166.465,20.0,27.3,2,5,20.0,3.4837,21.445,15.02
187.383,-20.0,181.2,2,19,-20.0,0.0,-0.879,14.676
185.977,-20.0,28.0,2,9,-20.0,0.1492,-11.25,15.02
160.488,-20.0,47.4,2,29,-20.0,0.2343,-11.953,14.976
144.668,-20.0,25.8,2,-34,-20.0,0.3037,-24.961,15.016
144.668,-20.0,83.5,2,-60,-20.0,0.4503,-36.563,14.912
144.668,-20.0,53.1,2,-13,-20.0,0.5381,-29.883,14.976
144.668,-20.0,27.0,2,28,-20.0,0.6406,-14.766,15.036
148.887,-20.0,45.6,2,31,-20.0,0.7811,-10.547,14.996
153.281,-20.0,49.2,2,38,-20.0,0.8663,-8.086,14.972
149.941,-20.0,57.3,2,37,-20.0,0.9885,-7.559,14.956
142.031,-20.0,40.5,2,23,-20.0,1.0775,-10.898,14.992
141.855,-20.0,40.5,2,6,-20.0,1.2,-15.293,14.992
141.855,-20.0,27.5,2,0,-20.0,1.2798,-19.863,15.032
141.855,-20.0,27.5,2,0,-20.0,1.3841,-21.094,15.036
141.855,-20.0,27.5,2,0,-20.0,1.5216,-20.215,15.036
141.855,-20.0,26.7,2,0,-20.0,1.5924,-19.336,15.032
141.855,-20.0,26.8,2,6,-20.0,1.6598,-18.457,15.036
141.855,-20.0,45.3,2,29,-20.0,1.7246,-16.875,15.0
141.855,-20.0,46.0,2,29,-20.0,1.8278,-16.172,14.992
141.855,-20.0,46.0,2,29,-20.0,1.9161,-16.348,14.992
141.855,-20.0,46.4,2,29,-20.0,1.9977,-16.523,14.992
141.855,-20.0,46.1,2,29,-20.0,2.0785,-17.402,14.992
141.855,-20.0,46.8,2,3,-20.0,2.1829,-18.633,14.988
141.855,-20.0,26.8,2,4,-20.0,2.2821,-18.633,15.036
141.855,-20.0,25.1,2,7,-20.0,2.4061,-18.105,15.036
141.855,-20.0,47.0,2,29,-20.0,2.5333,-17.93,14.992
141.855,-20.0,46.5,2,29,-20.0,2.6285,-17.93,14.992
141.855,-20.0,46.5,2,5,-20.0,2.7108,-18.105,14.992
141.855,-20.0,27.5,2,5,-20.0,2.7747,-18.105,15.028
141.855,-20.0,29.5,2,6,-20.0,2.854,-18.105,15.016
141.855,-20.0,27.0,2,6,-20.0,2.9228,-18.105,15.032
141.855,-20.0,27.0,2,6,-20.0,3.0186,-18.105,15.032
141.855,-20.0,46.8,2,29,-20.0,3.0988,-17.93,14.992
141.855,-20.0,46.6,2,29,-20.0,3.1829,-17.93,14.992
141.855,-20.0,46.9,2,29,-20.0,3.2467,-17.93,14.996
141.855,-20.0,45.8,2,29,-20.0,3.3256,-17.93,14.996
141.855,-20.0,27.5,2,6,-20.0,3.4143,-18.105,15.036
141.855,0.0,76.5,2,-42,0.0,0.0,-16.523,14.924
141.504,0.0,35.9,2,-19,0.0,0.0867,-10.02,15.004
145.547,0.0,30.4,2,-17,0.0,0.1905,-7.031,15.012
152.402,0.0,26.6,2,-3,0.0,0.2982,-3.516,15.02
150.293,0.0,26.6,2,13,0.0,0.376,1.406,15.02
145.371,0.0,28.5,2,26,0.0,0.4508,7.383,15.016
148.711,0.0,29.4,2,15,0.0,0.56,6.328,15.016
150.293,0.0,29.4,2,29,0.0,0.6655,5.273,15.016
149.414,0.0,47.0,2,29,0.0,0.7304,4.746,14.972
147.129,0.0,27.9,2,29,0.0,0.8091,3.691,15.016
144.492,0.0,44.9,2,1,0.0,0.8889,1.406,14.988
144.844,0.0,26.8,2,0,0.0,1.0069,-0.176,15.02
146.426,0.0,23.8,2,-3,0.0,1.0923,-1.582,15.02
146.953,0.0,26.9,2,-2,0.0,1.174,-1.582,15.016
146.953,0.0,27.0,2,0,0.0,1.3023,-0.703,15.02
146.953,0.0,27.1,2,0,0.0,1.4061,-0.352,15.02
147.129,0.0,27.1,2,0,0.0,1.4728,-0.176,15.02
147.129,0.0,27.1,2,0,0.0,1.5372,0.176,15.02
146.953,0.0,27.0,2,0,0.0,1.704,0.352,15.02
146.602,0.0,27.0,2,0,0.0,1.8067,0.352,15.02
146.602,0.0,26.4,2,0,0.0,1.9626,0.352,15.02
146.953,0.0,27.0,2,0,0.0,2.0323,0.352,15.016
146.953,0.0,26.3,2,0,0.0,2.1581,0.352,15.02
146.953,0.0,27.4,2,0,0.0,2.2638,0.352,15.02
146.777,0.0,26.6,2,0,0.0,2.3692,0.352,15.02
146.777,0.0,27.2,2,0,0.0,2.4393,0.352,15.012
146.777,0.0,27.2,2,0,0.0,2.568,0.352,15.012
146.953,0.0,26.9,2,0,0.0,2.6498,0.352,15.016
146.953,0.0,27.3,2,0,0.0,2.7602,0.352,15.02
146.953,0.0,27.0,2,0,0.0,2.856,0.352,15.016
146.777,0.0,27.1,2,0,0.0,2.9647,0.352,15.02
146.777,0.0,28.1,2,0,0.0,3.0789,0.352,15.008
146.953,0.0,28.1,2,0,0.0,3.1992,0.352,15.008
146.953,0.0,26.7,2,0,0.0,3.272,0.352,15.02
146.953,0.0,26.6,2,0,0.0,3.3686,0.352,15.02
146.953,0.0,27.2,2,0,0.0,3.476,0.352,15.016
