alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
275.625,27.0,0,0,0.0,0.0,10.898,15.02
277.207,27.1,0,0,0.0,0.0933,10.898,15.024
279.492,27.1,0,0,0.0,0.1761,10.723,15.024
280.371,27.0,0,0,0.0,0.2458,11.426,15.016
278.438,27.0,0,0,0.0,0.3556,12.656,15.02
277.383,27.6,0,0,0.0,0.4463,13.184,15.016
277.91,26.8,0,0,0.0,0.5302,13.008,15.02
278.613,26.5,0,0,0.0,0.6428,13.008,15.02
279.141,26.8,0,0,0.0,0.7305,13.008,15.02
278.613,26.8,0,0,0.0,0.8691,13.008,15.02
278.086,27.4,0,0,0.0,0.9409,13.008,15.024
277.734,27.1,0,0,0.0,1.0267,13.008,15.024
277.734,27.1,0,0,0.0,1.0915,13.008,15.024
278.086,26.9,0,0,0.0,1.1623,13.008,15.02
278.965,27.3,0,0,0.0,1.2391,13.008,15.02
278.789,27.1,0,0,0.0,1.404,13.008,15.016
278.262,27.1,0,0,0.0,1.4918,13.008,15.02
277.734,27.5,0,0,0.0,1.5716,13.008,15.02
277.734,27.5,0,0,0.0,1.6743,13.008,15.02
278.262,27.1,0,0,0.0,1.7551,13.008,15.024
278.789,26.8,0,0,0.0,1.8399,13.008,15.016
278.965,27.2,0,0,0.0,1.9385,13.008,15.02
278.613,27.3,0,0,0.0,2.0273,13.008,15.02
278.086,26.8,0,0,0.0,2.1011,13.008,15.02
277.91,27.4,0,0,0.0,2.1779,13.008,15.024
278.086,26.0,0,0,0.0,2.268,13.008,15.016
278.613,26.8,0,0,0.0,2.3657,13.008,14.996
278.789,26.8,0,0,0.0,2.4823,13.008,14.996
278.789,27.3,0,0,0.0,2.5591,13.008,15.02
278.438,28.0,0,0,0.0,2.6249,13.008,15.016
277.91,23.9,0,0,0.0,2.7005,13.008,14.996
277.91,27.1,0,0,0.0,2.7978,13.008,15.02
278.086,27.1,0,0,0.0,2.8766,13.008,15.02
278.438,26.8,0,0,0.0,2.9608,13.008,15.02
278.789,27.3,0,0,0.0,3.0237,13.008,15.02
278.789,26.8,0,0,0.0,3.1134,13.008,15.02
278.438,26.8,0,0,0.0,3.1803,13.008,15.02
278.086,27.2,0,0,0.0,3.273,13.008,15.02
277.91,27.2,0,0,0.0,3.3768,13.008,15.02
278.262,27.1,0,0,0.0,3.4716,13.008,15.024
278.613,26.4,0,0,0.0,3.5837,13.008,15.016
278.613,27.3,0,0,0.0,3.6585,13.008,15.02
278.613,27.1,0,0,0.0,3.7274,13.008,15.02
278.262,27.3,0,0,0.0,3.8102,13.008,15.02
278.086,27.3,0,0,0.0,3.882,13.008,15.02
278.086,27.3,0,0,0.0,3.9538,13.008,15.02
278.262,27.4,0,0,0.0,4.0306,13.008,15.02
278.613,26.8,0,0,0.0,4.1488,13.008,15.016
278.613,27.1,0,0,0.0,4.2386,13.008,15.024
278.438,27.2,0,0,0.0,4.3303,13.008,15.02
278.262,27.1,0,0,0.0,4.4121,13.008,15.02
278.086,27.1,0,0,0.0,4.4783,13.008,15.02
278.086,27.2,0,0,0.0,4.5501,13.008,15.02
278.438,27.5,0,0,0.0,4.641,13.008,15.016
278.613,26.9,0,0,0.0,4.7437,13.008,15.02
278.613,23.8,0,0,0.0,4.8189,13.008,15.02
278.438,27.2,0,0,0.0,4.9007,13.008,15.02
