alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
156.094,50,27.2,1,49,0.0,0.0,2.725,15.02
160.84,50,76.1,1,49,0.0,0.072,-2.197,14.916
161.719,50,73.5,1,49,0.0,0.1357,-12.744,14.936
161.719,50,73.5,1,49,0.0,0.219,-21.885,14.936
161.719,50,75.8,1,49,0.0,0.2808,-31.377,14.936
156.797,50,73.2,1,49,0.0,0.3496,-45.264,14.924
154.687,50,71.9,1,49,0.0,0.4329,-62.49,14.928
156.973,50,71.9,1,49,0.0,0.5027,-80.771,14.928
158.555,50,72.2,0,0,0.0,0.5711,-100.986,14.932
148.711,50,26.9,0,0,0.0,0.6488,-109.072,15.028
137.637,50,27.1,0,0,0.0,0.7248,-109.951,15.024
139.395,50,27.1,0,0,0.0,0.8076,-110.303,15.024
150.82,50,26.8,0,0,0.0,0.8764,-110.303,15.028
164.18,50,27.6,0,0,0.0,0.948,-104.502,15.024
164.355,50,26.8,0,0,0.0,1.0327,-92.549,15.028
155.918,50,26.8,0,0,0.0,1.1156,-74.092,15.028
151.875,50,27.1,0,0,0.0,1.1983,-59.326,15.024
160.488,0,27.8,0,0,0.0,0.0,-48.428,15.024
167.695,0,28.2,0,0,0.0,0.0683,-42.627,15.024
165.762,0,27.4,0,0,0.0,0.146,-31.904,15.028
155.918,0,26.2,0,0,0.0,0.2386,-18.896,15.028
155.566,0,27.0,0,0,0.0,0.3324,-11.162,15.024
163.125,0,26.5,0,0,0.0,0.4401,-10.811,15.024
166.992,0,26.5,0,0,0.0,0.5094,-10.107,15.024
163.477,0,27.3,0,0,0.0,0.5762,-6.064,15.028
156.973,0,27.5,0,0,0.0,0.6541,-1.846,15.024
153.809,0,27.5,0,0,0.0,0.7203,0.088,15.024
157.148,0,27.4,0,0,0.0,0.7921,-1.494,15.028
163.477,-50,26.8,0,0,0.0,0.0,-4.482,15.02
159.258,-50,26.8,0,0,0.0,0.0801,-2.725,15.02
155.742,-50,26.9,0,0,0.0,0.1565,-1.846,15.024
157.324,-50,27.6,0,0,0.0,0.2318,-3.779,15.028
160.137,-50,27.2,0,0,0.0,0.3202,-5.889,15.028
160.84,-50,27.1,0,0,0.0,0.3935,-6.592,15.024
158.906,-50,27.1,0,0,0.0,0.4784,-6.064,15.024
157.324,-50,26.8,0,0,0.0,0.5561,-5.889,15.028
157.852,-50,27.0,0,0,0.0,0.6533,-6.592,15.028
158.906,-50,27.4,0,0,0.0,0.737,-6.768,15.024
159.434,-50,27.4,0,0,0.0,0.8143,-6.768,15.024
159.785,-50,27.4,0,0,0.0,0.8841,-6.768,15.024
159.434,-50,27.0,0,0,0.0,0.959,-6.592,15.02
158.73,-50,27.2,0,0,0.0,1.039,-6.592,15.024
158.379,-50,27.4,0,0,0.0,1.1368,-6.592,15.024
158.555,0,27.0,0,0,0.0,0.0,-6.592,15.024
158.906,0,27.4,0,0,0.0,0.088,-6.592,15.028
159.434,0,27.5,0,0,0.0,0.1591,-6.592,15.024
159.609,0,27.5,0,0,0.0,0.2269,-6.592,15.024
159.434,0,30.6,0,0,0.0,0.3097,-6.592,14.996
158.906,0,27.7,0,0,0.0,0.3785,-6.592,15.02
158.555,0,29.3,0,0,0.0,0.4492,-6.592,15.012
158.379,0,29.3,0,0,0.0,0.539,-6.592,15.012
158.906,0,27.3,0,0,0.0,0.6148,-6.592,15.028
159.434,0,27.3,0,0,0.0,0.739,-6.592,15.028
