alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-23.379,26.6,4,-69,0.0,0.0,2.725,15.024
-36.738,108.6,4,-69,0.0,0.0785,18.721,14.856
-46.758,103.3,4,-65,0.0,0.1553,52.646,14.864
-38.848,96.9,4,-61,0.0,0.2904,76.025,14.88
-22.324,81.0,0,0,0.0,0.3592,108.018,14.916
-7.383,27.2,0,0,0.0,0.4544,127.002,15.032
16.172,28.5,0,0,0.0,0.5188,133.506,15.02
5.449,27.3,0,0,0.0,0.6308,135.264,15.02
-3.867,26.6,0,0,0.0,0.7321,128.408,15.016
-9.316,26.6,0,0,0.0,0.8019,122.432,15.016
-29.707,26.0,0,0,0.0,0.8761,119.268,15.028
-39.375,27.0,0,0,0.0,0.9639,113.291,15.032
-28.652,26.8,0,0,0.0,1.0412,94.482,15.024
-14.59,27.5,0,0,0.0,1.1329,78.486,15.032
-11.777,27.5,0,0,0.0,1.2077,69.17,15.032
-21.621,27.5,0,0,0.0,1.2755,66.885,15.024
-35.859,26.7,0,0,0.0,1.3418,66.709,15.024
-37.09,26.7,0,0,0.0,1.4246,61.436,15.024
-23.906,26.8,0,0,0.0,1.5003,51.064,15.028
-14.063,25.9,0,0,0.0,1.5792,44.033,15.028
-14.414,26.5,0,0,0.0,1.6435,42.979,15.028
-26.367,26.5,0,0,0.0,1.7073,47.725,15.028
-34.629,27.1,0,0,0.0,1.7871,51.24,15.032
-29.18,27.4,0,0,0.0,1.8649,48.955,15.028
-15.469,27.0,0,0,0.0,1.9532,44.912,15.032
-25.137,26.8,0,0,0.0,2.0694,54.229,15.028
-30.937,26.9,0,0,0.0,2.2192,60.557,15.028
-22.852,26.9,0,0,0.0,2.3255,59.678,15.028
-16.699,26.5,0,0,0.0,2.3933,59.678,15.028
-20.566,27.1,0,0,0.0,2.4742,64.951,15.028
-26.367,24.3,0,0,0.0,2.567,69.521,15.024
-26.016,27.2,0,0,0.0,2.6387,71.455,15.028
-20.742,27.3,0,0,0.0,2.7599,70.049,15.024
-22.852,27.3,0,0,0.0,2.845,72.861,15.032
-25.84,26.4,0,0,0.0,3.0004,74.268,15.028
-25.137,27.1,0,0,0.0,3.0712,73.213,15.024
-21.797,27.3,0,0,0.0,3.1585,70.928,15.024
-22.852,26.6,0,0,0.0,3.3056,71.279,15.028
-23.906,26.8,0,0,0.0,3.3735,71.455,15.028
-24.785,26.7,0,0,0.0,3.4493,71.279,15.028
-24.434,26.7,0,0,0.0,3.5395,71.104,15.028
-23.73,26.6,0,0,0.0,3.6084,70.928,15.028
-23.027,24.5,0,0,0.0,3.6808,70.928,15.028
-22.5,27.1,0,0,0.0,3.7576,70.928,15.032
-22.676,27.1,0,0,0.0,3.8284,71.104,15.032
-23.555,27.4,0,0,0.0,3.9152,71.104,15.024
-24.258,27.0,0,0,0.0,3.992,71.104,15.028
-24.434,26.7,0,0,0.0,4.0748,71.104,15.032
-24.082,27.2,0,0,0.0,4.1467,71.104,15.024
-23.027,26.9,0,0,0.0,4.2175,71.104,15.028
-22.676,26.9,0,0,0.0,4.3333,71.104,15.028
-22.852,26.0,0,0,0.0,4.3991,71.104,15.02
-23.555,27.2,0,0,0.0,4.4775,71.104,15.032
-24.258,27.5,0,0,0.0,4.578,71.104,15.028
-24.258,27.0,0,0,0.0,4.645,71.104,15.028
-23.73,25.0,0,0,0.0,4.7437,71.104,15.028
-23.027,25.0,0,0,0.0,4.828,71.104,15.028
-22.852,27.5,0,0,0.0,4.9143,71.104,15.028
-23.379,27.0,0,0,0.0,5.0484,71.104,15.024
-23.906,27.0,0,0,0.0,5.1178,71.104,15.024
-24.258,26.9,0,0,0.0,5.1946,71.104,15.024
-24.082,27.3,0,0,0.0,5.2624,71.104,15.028
-23.555,27.3,0,0,0.0,5.3332,71.104,15.028
-23.027,27.3,0,0,0.0,5.4279,71.104,15.028
-23.027,27.5,0,0,0.0,5.5092,71.104,15.028
-23.203,23.6,0,0,0.0,5.596,71.104,15.012
-23.73,27.2,0,0,0.0,5.6709,71.104,15.028
-24.082,27.2,0,0,0.0,5.7446,71.104,15.028
-24.082,26.5,0,0,0.0,5.8195,71.104,15.028
-23.73,27.0,0,0,0.0,5.8933,71.104,15.028
-23.203,27.3,0,0,0.0,5.9704,71.104,15.028
-23.027,23.3,0,0,0.0,6.0572,71.104,15.028
-23.203,23.3,0,0,0.0,6.1321,71.104,15.028
-23.555,26.9,0,0,0.0,6.2169,71.104,15.028
-23.906,27.5,0,0,0.0,6.2887,71.104,15.028
-23.906,26.7,0,0,0.0,6.3615,71.104,15.024
-23.73,26.7,0,0,0.0,6.4319,71.104,15.024
-23.379,27.5,0,0,0.0,6.5267,71.104,15.028
-23.203,27.0,0,0,0.0,6.5942,71.104,15.024
-23.203,26.9,0,0,0.0,6.6631,71.104,15.028
-23.555,27.3,0,0,0.0,6.7668,71.104,15.024
-23.73,26.6,0,0,0.0,6.844,71.104,15.028
-23.906,26.4,0,0,0.0,6.953,71.104,15.024
-23.555,26.4,0,0,0.0,7.0422,71.104,15.024
-23.203,26.8,0,0,0.0,7.1644,71.104,15.028
-23.203,26.8,0,0,0.0,7.2512,71.104,15.028
-23.379,26.7,0,0,0.0,7.332,71.104,15.028
-23.73,27.0,0,0,0.0,7.3969,71.104,15.028
-23.73,26.7,0,0,0.0,7.521,71.104,15.028
-23.73,27.0,0,0,0.0,7.5908,71.104,15.032
-23.555,27.5,0,0,0.0,7.6636,71.104,15.024
-23.203,27.5,0,0,0.0,7.7364,71.104,15.024
