alpha_deg,cmd_action,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
420.82,0.35,26.8,6,69,0.0,0.0,1.846,15.028
438.574,0.35,119.4,6,69,0.0,0.0846,-20.83,14.832
431.719,0.35,106.7,6,63,0.0,0.2123,-63.369,14.856
412.207,0.35,558.5,0,0,0.0,0.3664,-132.803,13.92
365.098,0.35,26.9,0,0,0.0,0.4849,-127.529,15.028
356.133,0.35,26.7,0,0,0.0,0.5709,-131.221,15.028
405.0,0.35,27.0,0,0,0.0,0.6826,-134.209,15.028
440.156,0.35,26.9,0,0,0.0,0.7904,-125.596,15.032
445.43,0.35,26.8,0,0,0.0,0.8622,-104.678,15.032
429.082,0.35,27.1,0,0,0.0,0.936,-77.783,15.032
398.145,0.35,27.1,0,0,0.0,1.0058,-39.814,15.032
385.137,0.35,25.3,0,0,0.0,1.0856,-7.646,15.028
403.242,0.35,26.3,0,0,0.0,1.1853,2.021,15.032
441.563,0.35,26.7,0,0,0.0,1.2511,11.689,15.036
429.785,0.35,27.5,0,0,0.0,1.3648,37.354,15.032
394.98,0.35,26.8,0,0,0.0,1.4885,70.225,15.032
393.398,0.35,26.5,0,0,0.0,1.5644,88.682,15.032
430.84,-0.35,26.9,0,0,0.0,0.0,84.99,15.028
437.344,-0.35,26.3,0,0,0.0,0.0865,92.9,15.036
412.559,-0.35,27.1,0,0,0.0,0.1833,109.775,15.028
392.695,-0.35,27.5,0,0,0.0,0.257,121.553,15.032
398.32,-0.35,26.8,0,0,0.0,0.3414,119.268,15.028
426.797,-0.35,26.7,0,0,0.0,0.4182,104.678,15.032
433.125,-0.35,26.7,0,0,0.0,0.5085,100.459,15.032
409.57,-0.35,26.9,0,0,0.0,0.5768,108.018,15.032
394.102,-0.35,26.9,0,0,0.0,0.6825,111.006,15.028
397.969,-0.35,27.0,0,0,0.0,0.7605,104.854,15.032
414.844,-0.35,26.5,0,0,0.0,0.8304,92.373,15.028
427.148,-0.35,26.5,0,0,0.0,0.8951,82.354,15.028
403.594,-0.35,27.1,0,0,0.0,0.9769,85.869,15.028
396.211,-0.35,27.0,0,0,0.0,1.122,85.693,15.028
406.406,-0.35,27.0,0,0,0.0,1.2063,77.432,15.028
422.754,-0.35,27.2,0,0,0.0,1.2867,67.061,15.032
419.062,-0.35,26.9,0,0,0.0,1.3743,67.764,15.032
400.605,-0.35,27.2,0,0,0.0,1.4632,75.498,15.032
406.055,-0.35,27.0,0,0,0.0,1.5798,72.334,15.032
420.82,0.0,27.5,0,0,0.0,0.0,66.533,15.028
415.195,0.0,27.5,0,0,0.0,0.1003,70.752,15.028
406.758,0.0,26.7,0,0,0.0,0.181,76.025,15.028
404.297,0.0,27.0,0,0,0.0,0.2449,78.486,15.032
410.977,0.0,27.0,0,0,0.0,0.3346,76.201,15.032
418.535,0.0,27.5,0,0,0.0,0.4024,74.795,15.028
410.625,0.0,25.3,0,0,0.0,0.5331,80.42,15.012
406.406,0.0,22.6,0,0,0.0,0.6291,82.881,15.028
412.207,0.0,26.9,0,0,0.0,0.7069,80.244,15.032
416.074,0.0,27.2,0,0,0.0,0.8122,78.838,15.032
412.734,0.0,27.3,0,0,0.0,0.9019,80.771,15.024
409.219,0.0,27.3,0,0,0.0,0.9967,82.002,15.024
408.867,0.0,26.6,0,0,0.0,1.068,81.65,15.032
412.207,0.0,27.2,0,0,0.0,1.1464,79.365,15.028
413.438,0.0,26.9,0,0,0.0,1.2349,78.486,15.032
412.031,0.0,27.2,0,0,0.0,1.3077,79.014,15.028
410.801,0.0,27.2,0,0,0.0,1.3954,79.365,15.028
410.449,0.0,27.1,0,0,0.0,1.4643,79.189,15.036
411.68,0.0,27.5,0,0,0.0,1.5411,78.662,15.032
