alpha_deg,cmd_pwm,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
128.672,50,75.9,1,49,0.0,0.0,-0.967,14.92
132.187,50,73.6,1,49,0.0,0.1153,-10.635,14.928
132.187,50,73.3,1,49,0.0,0.1901,-20.479,14.936
128.672,50,73.3,1,49,0.0,0.2789,-32.432,14.928
122.344,50,73.4,1,49,0.0,0.3486,-44.385,14.928
120.059,50,73.0,1,49,0.0,0.4175,-60.381,14.932
122.168,50,71.6,1,49,0.0,0.4953,-81.826,14.932
123.398,50,71.6,0,0,0.0,0.5705,-100.283,14.932
108.105,50,26.9,0,0,0.0,0.6553,-110.479,15.02
101.777,50,26.9,0,0,0.0,0.762,-111.182,15.02
113.555,50,27.4,0,0,0.0,0.8448,-111.885,15.024
127.969,50,26.3,0,0,0.0,0.9355,-106.787,15.02
128.672,50,27.4,0,0,0.0,1.0194,-93.252,15.024
117.949,50,27.1,0,0,0.0,1.1022,-67.412,15.024
122.871,0,26.8,0,0,0.0,0.0,-51.592,15.024
131.484,0,26.8,0,0,0.0,0.0779,-44.912,15.024
130.078,0,27.4,0,0,0.0,0.1587,-32.783,15.028
122.344,0,27.2,0,0,0.0,0.2574,-22.236,15.028
118.477,0,27.4,0,0,0.0,0.3431,-15.029,15.028
122.52,0,27.4,0,0,0.0,0.4124,-12.92,15.028
130.605,0,26.7,0,0,0.0,0.4792,-12.568,15.028
130.957,0,27.2,0,0,0.0,0.568,-10.459,15.028
122.695,0,27.3,0,0,0.0,0.6502,-4.834,15.032
118.828,0,27.3,0,0,0.0,0.7381,-2.9,15.028
124.98,-50,26.6,0,0,0.0,0.0,-6.064,15.028
128.496,-50,26.4,0,0,0.0,0.0717,-7.822,15.02
125.156,-50,27.2,0,0,0.0,0.151,-6.768,15.016
121.465,-50,27.2,0,0,0.0,0.2408,-5.713,15.016
120.938,-50,26.5,0,0,0.0,0.3285,-6.592,15.024
123.75,-50,29.8,0,0,0.0,0.396,-8.701,15.008
125.684,-50,27.6,0,0,0.0,0.4728,-10.107,15.024
124.805,-50,27.6,0,0,0.0,0.5626,-9.932,15.024
123.398,-50,26.7,0,0,0.0,0.6252,-9.58,15.024
122.52,-50,27.8,0,0,0.0,0.693,-9.58,15.02
122.695,-50,27.8,0,0,0.0,0.7588,-9.932,15.02
123.223,-50,27.0,0,0,0.0,0.8336,-10.107,15.028
124.102,-50,27.6,0,0,0.0,0.9006,-10.107,15.028
124.453,-50,30.7,0,0,0.0,0.9695,-10.107,15.0
124.629,-50,30.7,0,0,0.0,1.0385,-9.932,15.0
123.574,-50,27.6,0,0,0.0,1.163,-9.932,15.024
123.047,0,26.7,0,0,0.0,0.0,-9.932,15.024
123.223,0,27.8,0,0,0.0,0.0799,-9.932,15.016
123.75,0,27.8,0,0,0.0,0.1605,-9.932,15.016
124.277,0,27.4,0,0,0.0,0.2522,-9.932,15.028
124.453,0,27.1,0,0,0.0,0.326,-9.932,15.028
124.102,0,27.3,0,0,0.0,0.3975,-9.932,15.032
123.398,0,27.0,0,0,0.0,0.4882,-9.932,15.028
123.047,0,27.4,0,0,0.0,0.5937,-9.932,15.028
123.75,0,27.1,0,0,0.0,0.6891,-9.932,15.028
