t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
44,5,28,-1,-0.176,-1,-0.176,-0.176,True,14.56,50.5,738.0
300,5,-40,-23,-4.043,14,2.461,2.461,True,14.404,56.4,812.0
495,5,-28,-17,-2.988,-11,-1.934,-1.934,True,14.568,57.4,836.0
698,5,-40,-15,-2.637,10,1.758,1.758,True,14.576,53.9,786.0
896,5,40,-1,-0.176,-6,-1.055,-1.055,True,14.564,56.4,822.0
1119,5,-40,2,0.352,35,6.152,6.152,True,14.572,54.8,800.0
1324,5,40,-19,-3.34,-20,-3.516,-3.516,True,14.576,55.7,812.0
1515,5,-40,-61,-10.723,-54,-9.492,-9.492,True,14.584,54.6,796.0
1734,5,40,20,3.516,87,15.293,15.293,True,14.572,55.1,802.0
1921,5,-40,-131,-23.027,-197,-34.629,-34.629,True,14.576,55.1,802.0
2129,5,40,77,13.535,241,42.363,42.363,True,14.56,58.7,856.0
2319,5,40,-144,-25.312,-254,-44.648,-44.648,True,14.568,56.0,816.0
2451,5,-40,-73,-12.832,-56,-9.844,-9.844,True,14.56,55.8,812.0
2653,5,40,68,11.953,213,37.441,37.441,True,14.568,56.0,816.0
2832,5,-28,-163,-28.652,-305,-53.613,-53.613,True,14.56,55.8,812.0
2956,5,-40,-44,-7.734,2,0.352,0.352,True,14.58,51.8,754.0
3185,5,40,34,5.977,127,22.324,22.324,True,14.572,54.3,790.0
3344,5,-28,-171,-30.059,-339,-59.59,-59.59,True,14.564,58.0,714.0
3487,5,-40,-7,-1.23,78,13.711,13.711,True,14.58,53.2,744.0
3663,5,40,87,15.293,283,49.746,49.746,True,14.564,56.9,830.0
3851,5,40,-182,-31.992,-363,-63.809,-63.809,True,14.56,58.2,848.0
3971,5,-40,-124,-21.797,-145,-25.488,-25.488,True,14.584,52.6,766.0
4161,5,40,101,17.754,378,66.445,66.445,True,14.56,56.8,826.0
4287,5,40,-73,-12.832,-70,-12.305,-12.305,True,14.58,53.1,774.0
4508,5,-40,-160,-28.125,-232,-40.781,-40.781,True,14.58,54.0,786.0
4676,5,28,100,17.578,411,72.246,72.246,True,14.576,52.6,766.0
4918,5,40,-186,-32.695,-375,-65.918,-65.918,True,14.564,56.6,822.0
5121,5,-40,-43,-7.559,39,6.855,6.855,True,14.576,53.1,774.0
5312,5,40,98,17.227,392,68.906,68.906,True,14.564,57.6,838.0
5497,5,40,-194,-34.102,-408,-71.719,-71.719,True,14.56,56.5,822.0
5635,5,-40,-176,-30.937,-262,-46.055,-46.055,True,14.392,61.9,898.0
