t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
31,5,-27,2,0.176,2,0.352,0.352,True,14.616,42.9,626.0
221,5,44,13,2.109,-3,-0.527,-0.527,True,14.588,47.6,694.0
404,5,-43,-38,-6.855,-26,-4.57,-4.57,True,14.56,56.6,822.0
607,5,44,15,2.461,53,9.316,9.316,True,14.536,62.9,914.0
828,5,-42,-61,-10.898,-48,-8.438,-8.438,True,14.572,54.7,796.0
1043,5,43,29,4.922,86,15.117,15.117,True,14.536,62.1,904.0
1233,5,-38,-116,-20.566,-193,-33.926,-33.926,True,14.572,54.8,800.0
1428,5,-28,86,14.941,249,43.77,43.77,True,14.604,45.2,662.0
1632,5,45,-124,-21.973,-260,-45.703,-45.703,True,14.62,43.5,636.0
1839,5,-46,63,10.898,203,35.684,35.684,True,14.556,58.7,856.0
2042,5,44,-27,-4.922,-44,-7.734,-7.734,True,14.552,59.0,858.0
2249,5,-38,-120,-21.27,-205,-36.035,-36.035,True,14.588,51.5,750.0
2461,5,38,117,20.391,348,61.172,61.172,True,14.572,54.3,790.0
2686,5,44,-156,-27.598,-375,-65.918,-65.918,True,14.536,64.9,944.0
2808,5,-40,-84,-14.941,-103,-18.105,-18.105,True,14.576,53.6,780.0
2987,5,38,121,21.094,394,69.258,69.258,True,14.568,55.0,800.0
3189,5,45,-147,-26.016,-352,-61.875,-61.875,True,14.532,64.2,934.0
3373,5,-41,-81,-14.414,-93,-16.348,-16.348,True,14.576,53.0,754.0
3580,5,38,127,22.148,403,70.84,70.84,True,14.568,55.4,806.0
3782,5,44,-161,-28.477,-421,-74.004,-74.004,True,14.536,63.0,914.0
3996,5,-44,31,5.273,148,26.016,26.016,True,14.564,56.0,806.0
4194,5,38,120,20.918,363,63.809,63.809,True,14.564,53.8,784.0
4408,5,44,-170,-30.059,-481,-84.551,-84.551,True,14.54,61.0,888.0
4604,5,-46,62,10.723,220,38.672,38.672,True,14.564,57.2,832.0
4740,5,37,134,23.379,509,89.473,89.473,True,14.464,41.5,600.0
4910,5,46,-89,-15.82,-170,-29.883,-29.883,True,14.544,61.3,892.0
5037,5,-19,-177,-31.289,-520,-91.406,-91.406,True,14.64,33.6,492.0
5217,5,-45,43,7.383,173,30.41,30.41,True,14.564,55.6,810.0
5352,5,22,129,22.5,539,94.746,94.746,True,14.628,39.4,576.0
5538,5,45,-106,-18.809,-199,-34.98,-34.98,True,14.548,60.0,872.0
5728,5,-33,-184,-32.52,-479,-84.199,-84.199,True,14.608,49.0,718.0
5854,5,-45,47,8.086,189,33.223,33.223,True,14.56,56.5,822.0
6047,5,38,128,22.324,502,88.242,88.242,True,14.556,57.5,838.0
6241,5,44,-166,-29.355,-442,-77.695,-77.695,True,14.536,62.6,910.0
6441,5,-36,-147,-26.016,-268,-47.109,-47.109,True,14.584,49.3,718.0
6568,5,-46,117,20.391,457,80.332,80.332,True,14.556,59.6,868.0
6749,5,38,120,20.918,407,71.543,71.543,True,14.568,53.7,784.0
6884,5,44,-161,-28.477,-379,-66.621,-66.621,True,14.544,62.5,908.0
7081,5,-33,-180,-31.816,-431,-75.762,-75.762,True,14.6,48.0,702.0
7265,5,38,125,21.797,534,93.867,93.867,True,14.568,56.3,820.0
7478,5,43,45,7.734,136,23.906,23.906,True,14.564,55.2,802.0
7695,5,44,-174,-30.762,-604,-106.172,-106.172,True,14.54,62.6,910.0
7887,5,-45,84,14.59,287,50.449,50.449,True,14.568,57.7,842.0
8082,5,-45,122,21.27,545,95.801,95.801,True,14.536,58.8,856.0
8211,5,45,-110,-19.512,-191,-33.574,-33.574,True,14.556,59.2,862.0
8398,5,44,-175,-30.937,-611,-107.402,-107.402,True,14.536,63.8,928.0
8607,5,-45,108,18.809,414,72.773,72.773,True,14.56,59.5,866.0
8796,5,-46,117,20.391,530,93.164,93.164,True,14.548,61.1,888.0
8939,5,45,-135,-23.906,-252,-44.297,-44.297,True,14.544,62.9,914.0
9107,5,44,-173,-30.586,-640,-112.5,-112.5,True,14.528,65.1,948.0
9312,5,-45,105,18.281,367,64.512,64.512,True,14.556,57.8,842.0
9554,5,38,125,21.797,490,86.133,86.133,True,14.568,55.2,802.0
9719,5,-35,-169,-29.883,-561,-98.613,-98.613,True,14.596,48.9,714.0
9846,5,44,-156,-27.598,-648,-113.906,-113.906,True,14.536,64.9,944.0
10052,5,-45,122,21.27,396,69.609,69.609,True,14.556,59.1,858.0
10232,5,-45,124,21.621,626,110.039,110.039,True,14.552,60.6,882.0
10447,5,43,-168,-29.707,-503,-88.418,-88.418,True,14.54,62.3,904.0
10656,5,-35,-163,-28.828,-489,-85.957,-85.957,True,14.612,46.9,684.0
10780,5,-45,113,19.687,337,59.238,59.238,True,14.556,57.6,838.0
10988,5,-45,121,21.094,666,117.07,117.07,True,14.552,59.2,862.0
11152,5,45,-132,-23.379,-301,-52.91,-52.91,True,14.54,63.1,888.0
11286,5,-36,-144,-25.488,-714,-125.508,-125.508,True,14.588,49.2,718.0
11483,5,-39,-109,-19.336,-228,-40.078,-40.078,True,14.58,51.5,750.0
11677,5,38,117,20.391,731,128.496,128.496,True,14.572,54.1,790.0
11890,5,45,-33,-5.977,-26,-4.57,-4.57,True,14.564,56.0,816.0
12081,5,-21,-141,-24.961,-746,-131.133,-131.133,True,14.592,49.7,724.0
12294,5,-45,36,6.152,100,17.578,17.578,True,14.568,54.1,790.0
12487,5,0,106,18.457,766,134.648,134.648,True,14.676,30.3,446.0
12687,5,44,-9,-1.758,17,2.988,2.988,True,14.564,55.3,806.0
12817,5,-35,-154,-27.246,-674,-118.477,-118.477,True,14.588,48.8,712.0
13000,5,44,-140,-24.785,-591,-103.887,-103.887,True,14.544,64.9,944.0
13228,5,36,145,25.312,692,121.641,121.641,True,14.576,54.9,800.0
13403,5,-45,135,23.555,642,112.852,112.852,True,14.548,59.5,866.0
13556,5,46,-116,-20.566,-264,-46.406,-46.406,True,14.552,60.0,872.0
13721,5,0,-115,-20.391,-800,-140.625,-140.625,True,14.656,34.3,502.0
13922,5,-41,-69,-12.305,-165,-29.004,-29.004,True,14.576,52.8,770.0
14125,5,20,114,19.863,788,138.516,138.516,True,14.648,36.0,528.0
14358,5,44,17,2.813,66,11.602,11.602,True,14.564,56.2,820.0
14538,5,-20,-132,-23.379,-774,-136.055,-136.055,True,14.644,32.9,482.0
14754,5,-37,-134,-23.73,-417,-73.301,-73.301,True,14.588,51.5,750.0
14939,5,37,140,24.434,749,131.66,131.66,True,14.576,49.6,724.0
15082,5,-20,121,21.094,779,136.934,136.934,True,14.652,34.6,508.0
15246,5,45,-70,-12.48,-157,-27.598,-27.598,True,14.556,58.1,846.0
15369,5,-37,-129,-22.852,-730,-128.32,-128.32,True,14.584,50.0,728.0
15558,5,45,-117,-20.742,-675,-118.652,-118.652,True,14.532,66.8,970.0
15700,5,-45,123,21.445,239,42.012,42.012,True,14.564,56.4,822.0
15877,5,20,120,20.918,833,146.426,146.426,True,14.64,35.0,512.0
16076,5,37,141,24.609,399,70.137,70.137,True,14.592,52.7,770.0
16313,5,-20,-101,-17.93,-826,-145.195,-145.195,True,14.652,34.4,504.0
16492,5,45,-119,-21.094,-643,-113.027,-113.027,True,14.532,64.4,938.0
16696,5,34,173,30.234,611,107.402,107.402,True,14.592,50.6,738.0
16836,5,0,106,18.457,871,153.105,153.105,True,14.676,29.8,436.0
16981,5,35,153,26.719,505,88.77,88.77,True,14.552,61.1,888.0
17107,5,44,-136,-24.082,-408,-71.719,-71.719,True,14.532,62.8,914.0
17322,5,21,-74,-13.184,-870,-152.93,-152.93,True,14.632,37.2,544.0
17512,5,-40,-82,-14.59,-267,-46.934,-46.934,True,14.58,52.9,770.0
17704,5,20,140,24.434,822,144.492,144.492,True,14.636,36.4,534.0
17839,5,-20,118,20.566,841,147.832,147.832,True,14.648,32.3,472.0
17968,5,35,152,26.543,402,70.664,70.664,True,14.58,51.1,744.0
18106,5,-37,-139,-24.609,-582,-102.305,-102.305,True,14.584,52.1,748.0
18236,5,-68,-69,-12.305,-886,-155.742,-155.742,True,14.372,104.1,1498.0
18360,5,69,-6,-1.23,-885,-155.566,-155.566,True,14.34,113.2,1626.0
18496,5,-43,-47,-8.438,-414,-72.773,-72.773,True,14.564,57.5,838.0
18642,5,28,241,42.187,613,107.754,107.754,True,14.548,48.6,708.0
