t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
56,5,-27,-1,-0.352,-2,-0.352,-0.352,True,14.624,43.5,636.0
222,5,-27,23,3.867,22,3.867,3.867,True,14.52,65.3,950.0
415,5,49,-20,-3.691,-78,-13.711,-13.711,True,14.504,70.7,1026.0
641,5,-49,22,3.691,116,20.391,20.391,True,14.528,65.7,954.0
766,5,49,-27,-4.922,-11,-1.934,-1.934,True,14.512,69.2,1006.0
961,5,-42,-131,-23.203,-129,-22.676,-22.676,True,14.56,55.6,810.0
1130,5,-28,45,7.734,251,44.121,44.121,True,14.504,70.9,1028.0
1330,5,48,-181,-31.992,-281,-49.395,-49.395,True,14.508,69.2,1002.0
1530,5,-49,14,2.285,218,38.32,38.32,True,14.536,63.2,918.0
1738,5,50,-45,-8.086,4,0.703,0.703,True,14.524,67.7,984.0
1950,5,-37,-187,-33.047,-256,-45.0,-45.0,True,14.536,56.9,830.0
2147,5,-50,77,13.359,409,71.895,71.895,True,14.512,68.5,996.0
2379,5,47,-198,-34.98,-385,-67.676,-67.676,True,14.52,66.5,966.0
2625,5,-49,27,4.57,282,49.57,49.57,True,14.54,63.0,914.0
2876,5,50,-73,-13.008,-34,-5.977,-5.977,True,14.528,65.9,956.0
3078,5,-33,-235,-41.484,-446,-78.398,-78.398,True,14.452,64.3,934.0
3374,5,25,75,13.008,530,93.164,93.164,True,14.58,49.0,714.0
3575,5,45,-224,-39.551,-443,-77.871,-77.871,True,14.528,66.1,960.0
3788,5,-38,-175,-30.937,-152,-26.719,-26.719,True,14.588,26.6,384.0
4019,5,-50,69,11.953,550,96.68,96.68,True,14.504,70.3,1020.0
4161,5,49,-146,-25.84,-137,-24.082,-24.082,True,14.532,64.1,930.0
4510,5,-49,-18,-3.34,196,34.453,34.453,True,14.56,59.3,862.0
4720,5,-51,62,10.723,533,93.691,93.691,True,14.496,72.8,1032.0
4919,5,6,-238,-42.012,-514,-90.352,-90.352,True,14.392,77.6,1124.0
5120,5,-33,-230,-40.605,-360,-63.281,-63.281,True,14.596,46.7,682.0
5324,5,47,61,10.547,641,112.676,112.676,True,14.504,70.7,1026.0
5527,5,49,-26,-4.746,134,23.555,23.555,True,14.532,65.0,944.0
5727,5,-15,-236,-41.66,-685,-120.41,-120.41,True,14.676,29.1,426.0
5957,5,-49,15,2.461,265,46.582,46.582,True,14.416,76.4,1108.0
6153,5,-50,45,7.734,673,118.301,118.301,True,14.524,67.4,980.0
6357,5,45,-233,-41.133,-441,-77.52,-77.52,True,14.52,67.7,984.0
6483,5,-35,-214,-37.793,-738,-129.727,-129.727,True,14.592,49.7,724.0
6659,5,-37,-191,-33.75,-255,-44.824,-44.824,True,14.588,49.6,724.0
6874,5,26,41,7.031,766,134.648,134.648,True,14.52,55.4,810.0
7067,5,49,-6,-1.23,190,33.398,33.398,True,14.488,69.9,1012.0
7270,5,-20,-204,-36.035,-785,-137.988,-137.988,True,14.648,33.3,488.0
7482,5,-37,-188,-33.223,-305,-53.613,-53.613,True,14.576,53.0,774.0
7678,5,24,61,10.547,784,137.812,137.812,True,14.62,39.0,566.0
7885,5,-50,77,13.359,543,95.449,95.449,True,14.5,47.8,688.0
8029,5,46,-211,-37.266,-430,-75.586,-75.586,True,14.516,65.4,950.0
8172,5,-22,-158,-27.949,-865,-152.051,-152.051,True,14.64,35.1,514.0
8401,5,48,-167,-29.531,-573,-100.723,-100.723,True,14.5,73.0,1058.0
8606,5,44,103,17.93,750,131.836,131.836,True,14.5,67.4,980.0
8811,5,20,-203,-35.859,1241,218.145,218.145,True,14.628,47.2,688.0
9010,5,50,-121,-21.445,2618,460.195,460.195,True,14.492,73.8,1020.0
9210,5,31,-485,-85.43,3412,599.766,599.766,True,14.604,44.1,646.0
9420,5,-45,-262,-46.23,4816,846.562,123.926,True,14.54,63.4,920.0
9642,5,-40,-315,-55.547,5478,962.93,240.293,True,14.564,54.6,796.0
9835,5,-50,194,33.926,6752,1186.875,464.238,True,14.488,46.4,668.0
10027,5,-42,297,52.031,7228,1270.547,547.91,True,14.564,55.8,812.0
10232,5,-27,497,87.187,8276,1454.766,9.844,True,14.62,42.4,620.0
10443,5,35,382,66.973,8728,1534.219,89.297,True,14.592,51.1,748.0
10644,5,48,-222,-39.199,7730,1358.789,-86.133,True,14.516,68.7,996.0
10876,5,-32,-413,-72.773,8059,1416.621,-28.301,True,14.6,46.4,678.0
11158,5,42,-291,-51.328,8726,1533.867,88.945,True,14.548,61.7,898.0
11370,5,-13,-537,-94.57,7646,1344.023,-100.898,True,14.664,29.3,430.0
11579,5,-25,-321,-56.602,8118,1426.992,-17.93,True,14.604,43.0,630.0
11877,5,48,36,6.152,8550,1502.93,58.008,True,14.508,71.6,1038.0
12108,5,-20,-154,-27.246,7547,1326.621,-118.301,True,14.64,42.7,622.0
12262,5,-45,-84,-14.941,7982,1403.086,-41.836,True,14.564,56.7,826.0
12491,5,-48,174,30.41,8831,1552.324,107.402,True,14.512,68.0,986.0
12701,5,50,-109,-19.336,7838,1377.773,-67.148,True,14.504,70.8,1026.0
12926,5,49,-140,-24.785,7638,1342.617,-102.305,True,14.416,57.1,820.0
13108,5,42,140,24.434,8760,1539.844,94.922,True,14.548,61.1,888.0
13302,5,42,131,22.852,8679,1525.605,80.684,True,14.548,60.6,882.0
13521,5,-40,-159,-28.125,7522,1322.227,-122.695,True,14.516,36.2,522.0
13727,5,-40,-144,-25.488,7798,1370.742,-74.18,True,14.58,53.6,780.0
13847,5,-49,143,24.961,8698,1528.945,84.023,True,14.52,67.4,980.0
