t_s,position_deg,setpoint_deg,error_deg,pwm,current_ma,voltage_v,power_mw
1232.6020,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1232.7930,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1232.8290,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1232.9590,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.0790,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.2840,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.6780,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.7060,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.9390,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1233.9690,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.0990,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.2190,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.3190,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.5370,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.5760,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.7670,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.8810,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1234.9400,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.0230,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.2250,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.2540,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.4270,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.4740,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.6390,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.6750,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.8440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1235.8920,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.0490,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.0930,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.2490,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.3520,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.4940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.5300,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.6830,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.7430,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1236.8670,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.0720,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.0940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.3790,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.5720,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.5970,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.7880,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.8100,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1237.9940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.0260,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.1940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.2310,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.4020,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.4500,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.6040,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.6730,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.8580,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1238.8780,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.0260,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.0910,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.2220,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.5310,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.5510,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.7300,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.7750,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.9700,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1239.9980,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.1400,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.2130,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.3440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.4540,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.6700,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.6940,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.8600,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1240.8960,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.0590,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.1240,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.2670,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.4750,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.5070,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.6760,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.7120,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.8810,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1241.9440,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.0590,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.1930,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.2640,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.3930,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.6130,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.6330,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.8350,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1242.8560,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.0070,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.1090,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.2170,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.3310,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.4200,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.6250,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.6470,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.8290,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.8910,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1243.9650,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1244.4060,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1244.4670,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1244.6500,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
1244.6750,-23.9060,45.0000,68.9060,0.0000,0.0000,0.0000,0.0000
