t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,120.059,11.074,59,95.8,1335
0.0985,5,133.77,-7.559,59,96.7,1335
0.2072,5,129.727,-20.391,-59,96.7,1335
0.2744,5,101.25,-16.523,-59,88.9,1335
0.3562,5,73.477,-7.734,-59,86.4,1335
0.4351,5,79.98,-4.219,59,87.9,1335
0.5203,5,124.277,-19.687,59,91.7,1335
0.611,5,166.465,-36.563,-58,90.9,1335
0.6818,4,162.949,-35.859,67,90.9,14
0.7527,4,130.957,-28.828,68,117.8,86
0.8195,4,94.57,-25.312,68,124.3,154
0.8883,4,86.66,-42.363,67,124.3,226
0.9736,4,109.512,-84.375,59,106.4,316
1.0623,0,128.32,-117.949,0,83.1,338
