t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,4,164.004,3.955,-7,27.4,1214
0.102,4,164.18,4.307,0,27.4,1214
0.1778,4,164.004,4.658,0,26.7,1214
0.2477,4,163.652,5.186,0,27.2,1214
0.3265,4,163.652,5.537,0,27.5,1214
0.4063,4,164.531,5.186,67,27.5,24
0.4719,4,167.52,2.197,-69,112.4,90
0.5483,4,169.102,-1.67,61,116.1,162
0.6146,4,170.684,-7.998,69,116.1,230
0.6905,4,172.266,-20.479,-54,118.0,313
0.7677,4,172.793,-35.42,67,120.5,385
0.833,4,173.496,-53.525,65,108.7,451
0.9158,4,172.09,-78.135,60,108.7,529
0.9836,0,166.816,-99.58,0,93.8,582
