t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,76.113,5.449,-59,27.1,419
0.0857,5,66.27,17.754,-59,86.2,419
0.1625,5,58.008,36.035,-58,83.0,419
0.2351,5,66.797,53.965,55,93.5,419
0.3279,5,98.262,51.152,56,93.5,419
0.4117,5,117.773,47.637,56,88.8,419
0.4774,5,112.324,47.285,-56,90.7,419
0.5463,5,79.277,59.941,-31,90.7,419
0.6091,5,44.297,74.355,10,45.9,419
0.6819,5,40.605,73.125,52,30.2,419
0.7906,5,87.187,46.055,56,81.9,419
0.857,5,124.629,22.676,59,90.3,419
0.9328,5,133.242,4.219,59,94.7,419
1.0096,5,108.105,-2.461,-59,94.7,419
1.0805,5,44.473,13.535,-59,84.3,419
1.1512,5,3.691,18.984,-59,88.5,419
1.2544,5,14.063,20.039,59,97.8,419
1.3238,5,63.457,3.867,59,97.8,419
1.4015,5,134.121,-27.422,58,86.7,419
1.4654,5,160.664,-34.453,58,30.6,419
1.5462,4,146.953,-41.836,67,111.3,24
1.627,4,92.988,-41.484,67,111.3,100
1.6948,4,36.563,-39.902,67,119.6,168
1.7636,4,13.184,-59.941,64,108.4,242
1.8364,4,24.961,-91.582,58,89.5,320
1.9152,0,58.359,-129.199,0,89.5,329
