t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,5,154.863,1.143,57,27.3,572
0.0755,4,156.797,0.615,-7,27.7,572
0.1403,4,157.148,1.494,0,27.2,572
0.2171,4,155.918,3.428,0,27.2,572
0.3069,4,154.863,5.361,0,27.1,572
0.3747,4,155.391,6.064,-7,29.5,572
0.4428,4,157.676,5.713,67,112.5,31
0.5225,4,160.488,3.779,68,112.5,100
0.5893,4,163.125,-0.439,69,117.2,173
0.6592,4,164.707,-7.822,69,119.9,240
0.734,4,165.762,-19.424,69,119.9,310
0.8093,4,166.816,-37.354,67,116.8,388
0.8741,4,166.289,-57.744,64,107.8,455
0.9529,4,162.949,-87.1,58,93.9,544
1.0297,0,152.227,-107.842,0,93.9,567
