t_s,mode,alpha_deg,theta_deg,pwm,i_ma,lqr_alive_ms
0.0,4,166.992,5.449,0,26.4,740
0.0706,4,168.047,4.043,0,26.4,740
0.1514,4,170.859,3.691,68,106.8,81
0.2352,4,173.145,3.867,62,111.5,155
0.3029,4,174.727,3.691,68,109.3,235
0.3837,4,175.781,2.109,68,109.3,299
0.4465,4,177.012,-3.34,69,117.9,386
0.5398,4,177.891,-12.129,69,104.6,467
0.629,4,178.242,-24.609,68,95.7,545
0.6914,4,178.594,-39.902,67,111.5,614
0.7703,4,179.121,-59.238,64,111.5,687
0.8341,4,178.594,-79.453,60,105.4,753
0.8989,0,175.254,-98.789,0,87.9,800
