alpha_deg,cmd_action,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-281.953,0.35,26.6,6,69,0.0,0.0,4.219,15.02
-267.891,0.35,119.8,6,69,0.0,0.086,-11.426,14.808
-256.465,0.35,116.2,6,66,0.0,0.177,-44.824,14.82
-277.559,0.35,94.7,6,169,0.0,0.2782,-85.957,14.86
-280.195,0.35,94.7,0,0,0.0,0.4074,-124.102,14.86
-318.34,0.35,26.8,0,0,0.0,0.4768,-129.023,15.02
-337.148,0.35,27.5,0,0,0.0,0.5526,-131.836,15.02
-301.113,0.35,27.5,0,0,0.0,0.6944,-134.473,15.02
-258.223,0.35,26.8,0,0,0.0,0.7773,-128.848,15.02
-251.191,0.35,26.8,0,0,0.0,0.8692,-100.898,15.02
-290.391,0.35,27.6,0,0,0.0,0.9632,-48.164,15.02
-310.43,0.35,27.2,0,0,0.0,1.0728,-15.293,15.02
-287.402,0.35,26.4,0,0,0.0,1.1765,2.109,15.02
-259.277,0.35,27.2,0,0,0.0,1.2725,7.207,15.016
-252.422,0.35,27.1,0,0,0.0,1.3591,21.094,15.016
-279.844,0.35,27.1,0,0,0.0,1.4486,50.977,15.02
-306.387,0.35,26.3,0,0,0.0,1.5225,77.344,15.02
-284.59,-0.35,26.5,0,0,0.0,0.0,86.66,15.02
-259.805,-0.35,27.0,0,0,0.0,0.0956,84.375,15.024
-256.289,-0.35,27.0,0,0,0.0,0.1648,90.879,15.024
-284.062,-0.35,26.8,0,0,0.0,0.2486,110.215,15.02
-303.75,-0.35,26.3,0,0,0.0,0.3509,121.992,15.02
-286.172,-0.35,25.0,0,0,0.0,0.4456,113.203,15.012
-264.375,-0.35,28.2,0,0,0.0,0.5377,101.777,15.02
-263.496,-0.35,27.1,0,0,0.0,0.6075,99.844,15.02
-280.195,-0.35,27.1,0,0,0.0,0.6793,105.293,15.02
-297.773,-0.35,26.5,0,0,0.0,0.7461,110.215,15.02
-294.961,-0.35,26.4,0,0,0.0,0.816,102.48,15.016
-277.559,-0.35,27.4,0,0,0.0,0.9177,89.648,15.02
-267.187,-0.35,27.4,0,0,0.0,0.9805,81.035,15.02
-273.516,-0.35,27.6,0,0,0.0,1.0537,80.508,15.016
-291.094,-0.35,26.7,0,0,0.0,1.1216,84.902,15.016
-298.477,-0.35,26.6,0,0,0.0,1.1974,85.078,15.016
-291.27,-0.35,26.6,0,0,0.0,1.2633,78.398,15.016
-272.812,-0.35,27.8,0,0,0.0,1.351,66.621,15.012
-272.637,-0.35,26.7,0,0,0.0,1.4422,65.566,15.016
-283.887,-0.35,27.0,0,0,0.0,1.5067,70.312,15.016
-294.609,-0.35,28.6,0,0,0.0,1.5844,74.531,15.008
-285.996,0.0,24.4,0,0,0.0,0.0,69.961,15.024
-276.504,0.0,24.4,0,0,0.0,0.0734,65.742,15.024
-275.273,0.0,26.9,0,0,0.0,0.1572,66.621,15.02
-284.59,0.0,26.6,0,0,0.0,0.2243,72.773,15.02
-291.094,0.0,27.0,0,0,0.0,0.3015,76.816,15.02
-285.82,0.0,27.3,0,0,0.0,0.3733,75.586,15.02
-276.328,0.0,27.0,0,0,0.0,0.497,72.949,15.02
-278.086,0.0,27.0,0,0,0.0,0.5734,75.41,15.02
-284.766,0.0,27.7,0,0,0.0,0.6433,79.805,15.016
-288.281,0.0,26.5,0,0,0.0,0.7162,81.914,15.02
-285.117,0.0,26.5,0,0,0.0,0.7881,80.508,15.02
-279.141,0.0,26.8,0,0,0.0,0.874,78.047,15.016
-279.141,0.0,22.2,0,0,0.0,0.9613,78.398,15.02
-283.008,0.0,26.8,0,0,0.0,1.0262,80.332,15.024
-285.996,0.0,27.2,0,0,0.0,1.1005,81.035,15.016
-284.414,0.0,27.2,0,0,0.0,1.1862,79.453,15.016
-281.602,0.0,26.5,0,0,0.0,1.268,77.871,15.02
-281.426,0.0,24.6,0,0,0.0,1.3468,77.52,15.02
-283.359,0.0,27.1,0,0,0.0,1.4276,78.223,15.02
-284.238,0.0,27.2,0,0,0.0,1.5181,78.047,15.016
-283.887,0.0,26.7,0,0,0.0,1.5975,77.695,15.016
