alpha_deg,i_ma,mode,pwm,setpoint_deg,t_s,theta_deg,v_bus
-128.496,109.0,4,-69,0.0,0.0,10.811,14.836
-134.648,108.0,4,-68,0.0,0.1338,24.873,14.844
-137.461,108.0,4,-67,0.0,0.2667,38.057,14.844
-139.043,97.8,4,-64,0.0,0.338,62.139,14.868
-137.109,87.5,4,-58,0.0,0.4268,87.451,14.88
-115.488,27.0,0,0,0.0,0.4957,127.529,15.02
-95.449,26.9,0,0,0.0,0.6289,133.682,15.02
-84.199,27.3,0,0,0.0,0.6957,134.912,15.016
-114.609,25.0,0,0,0.0,0.7729,135.264,15.02
-145.02,27.4,0,0,0.0,0.8927,132.451,15.02
-152.402,27.4,0,0,0.0,0.9754,120.146,15.02
-138.34,27.8,0,0,0.0,1.0492,99.053,15.02
-109.863,27.0,0,0,0.0,1.123,68.643,15.02
-105.117,27.0,0,0,0.0,1.1948,48.076,15.016
-125.156,27.4,0,0,0.0,1.3012,46.143,15.02
-150.996,27.3,0,0,0.0,1.3789,42.275,15.016
-136.582,26.4,0,0,0.0,1.4848,25.576,15.02
-115.137,26.4,0,0,0.0,1.5661,9.58,15.02
-103.887,24.5,0,0,0.0,1.631,-0.439,15.016
-128.32,27.1,0,0,0.0,1.7011,4.834,15.02
-144.492,26.9,0,0,0.0,1.8129,9.756,15.016
-142.91,27.1,0,0,0.0,1.8927,6.416,15.016
-124.98,27.1,0,0,0.0,1.9595,-2.725,15.016
-109.512,27.6,0,0,0.0,2.0283,-8.35,15.016
-129.023,27.6,0,0,0.0,2.1589,3.076,15.016
-142.207,27.9,0,0,0.0,2.2507,12.217,15.02
-126.914,26.5,0,0,0.0,2.3614,8.174,15.024
-110.742,27.0,0,0,0.0,2.4322,4.834,15.02
-111.797,26.7,0,0,0.0,2.5165,9.053,15.016
-127.441,27.4,0,0,0.0,2.5813,20.83,15.02
-138.164,27.4,0,0,0.0,2.6626,29.443,15.02
-134.648,27.0,0,0,0.0,2.7285,31.201,15.016
-119.18,26.9,0,0,0.0,2.8052,28.037,15.024
-111.797,26.9,0,0,0.0,2.8817,28.389,15.024
-115.84,26.3,0,0,0.0,2.9496,33.838,15.024
-127.617,27.0,0,0,0.0,3.0177,42.627,15.024
-135.527,26.9,0,0,0.0,3.0856,49.658,15.02
-125.684,27.3,0,0,0.0,3.1723,48.252,15.016
-114.609,27.3,0,0,0.0,3.2572,46.494,15.016
-117.07,26.6,0,0,0.0,3.3477,50.01,15.02
-131.836,27.8,0,0,0.0,3.4315,60.029,15.02
-130.43,26.1,0,0,0.0,3.5534,60.381,15.016
-120.762,26.7,0,0,0.0,3.6374,56.689,15.016
-117.07,26.9,0,0,0.0,3.7182,55.986,15.02
-121.816,26.9,0,0,0.0,3.7842,58.975,15.02
-129.727,26.3,0,0,0.0,3.8632,62.842,15.02
-128.496,27.2,0,0,0.0,3.958,61.963,15.024
-121.465,26.8,0,0,0.0,4.0483,58.271,15.016
-120.059,26.8,0,0,0.0,4.121,57.568,15.02
-124.102,27.5,0,0,0.0,4.1948,59.502,15.016
-127.969,27.4,0,0,0.0,4.2752,60.557,15.02
-126.387,27.4,0,0,0.0,4.3704,59.15,15.02
-123.223,30.5,0,0,0.0,4.4572,57.393,14.996
-122.871,23.3,0,0,0.0,4.531,57.217,15.012
-124.98,26.9,0,0,0.0,4.6198,58.271,15.02
-125.859,26.3,0,0,0.0,4.7065,58.271,15.02
-125.508,26.3,0,0,0.0,4.7963,57.92,15.02
-124.453,26.7,0,0,0.0,4.8651,57.744,15.016
-123.75,21.7,0,0,0.0,4.9633,57.744,15.012
-123.75,27.1,0,0,0.0,5.0531,57.744,15.016
-124.277,27.3,0,0,0.0,5.1329,57.744,15.02
-124.98,26.7,0,0,0.0,5.1997,57.744,15.016
-125.332,27.4,0,0,0.0,5.2835,57.744,15.012
-124.98,27.3,0,0,0.0,5.3912,57.744,15.016
-124.277,27.3,0,0,0.0,5.479,57.744,15.016
-123.926,26.7,0,0,0.0,5.5707,57.744,15.02
-124.102,27.1,0,0,0.0,5.6661,57.744,15.016
-124.453,27.0,0,0,0.0,5.7388,57.744,15.024
-125.156,27.2,0,0,0.0,5.8221,57.744,15.024
-125.156,26.8,0,0,0.0,5.9044,57.744,15.016
-124.98,26.8,0,0,0.0,5.9746,57.744,15.016
-124.277,27.1,0,0,0.0,6.0504,57.744,15.016
-124.102,23.9,0,0,0.0,6.1422,57.744,15.016
-124.102,27.2,0,0,0.0,6.215,57.744,15.016
-124.453,27.2,0,0,0.0,6.2983,57.744,15.016
-124.805,26.8,0,0,0.0,6.3651,57.744,15.02
-125.156,27.4,0,0,0.0,6.4364,57.744,15.02
-124.98,27.4,0,0,0.0,6.5013,57.744,15.02
-124.805,26.7,0,0,0.0,6.5671,57.744,15.016
-124.453,27.2,0,0,0.0,6.6299,57.744,15.02
-124.102,27.2,0,0,0.0,6.7017,57.744,15.02
-124.102,26.9,0,0,0.0,6.7706,57.744,15.02
-124.453,27.2,0,0,0.0,6.8413,57.744,15.02
-124.805,26.8,0,0,0.0,6.9167,57.744,15.012
