sp,attempt,t,servo_deg,pend_deg,mode,pwm,v_bus
45,1,0.106,-14.24,-13.36,5,49,14.556
45,1,0.193,-31.11,-19.51,5,23,14.760
45,1,0.277,-30.41,6.68,5,-48,14.724
45,1,0.352,-23.38,32.70,5,-49,14.708
45,1,0.438,-24.79,28.83,5,-49,14.592
45,1,0.531,-50.98,-18.98,5,-46,14.632
45,1,0.618,-63.28,-41.48,5,-45,14.732
45,1,0.703,-50.10,-13.01,5,-46,14.740
45,1,0.781,-21.80,36.56,5,-49,14.732
45,1,0.853,-8.79,52.73,5,-49,14.600
45,1,0.927,-11.07,28.65,5,49,14.604
45,1,1.052,-42.36,-42.89,5,47,14.624
45,1,1.128,-54.32,-66.27,5,-46,14.696
45,1,1.205,-49.04,-35.33,5,-47,14.728
45,1,1.280,-16.70,39.20,5,-49,14.716
45,1,1.360,-6.33,74.00,5,-49,14.704
45,1,1.441,-3.16,67.32,5,49,14.584
45,1,1.545,-35.68,-11.60,5,48,14.640
45,1,1.637,-62.58,-81.74,5,-45,14.672
45,1,1.729,-63.63,-80.86,5,-45,14.736
45,1,1.830,-38.67,-9.32,5,48,14.736
45,1,1.915,-3.16,72.07,5,-49,14.716
45,1,1.986,5.80,92.11,5,49,14.580
45,1,2.084,6.15,57.66,5,49,14.588
45,1,2.163,-30.94,-24.61,5,48,14.620
45,1,2.242,-52.56,-90.88,5,-46,14.636
45,1,2.321,-60.47,-104.77,5,-45,14.736
45,1,2.401,-65.22,-78.40,5,-45,14.728
45,1,2.486,-34.98,14.06,5,48,14.736
45,1,2.558,-15.47,81.39,5,-49,14.708
45,1,2.629,-12.30,109.16,5,-49,14.712
45,1,2.718,-7.21,96.33,5,49,14.588
45,1,2.796,-18.46,39.38,5,49,14.468
45,1,2.872,-64.51,-58.36,5,-45,14.732
45,1,2.974,-70.14,-108.11,5,-44,14.740
45,1,3.044,-67.85,-107.05,5,-44,14.736
45,1,3.136,-60.29,-63.81,5,-45,14.736
45,1,3.226,-4.04,54.49,5,-49,14.720
45,1,3.306,9.49,105.82,5,-49,14.704
45,1,3.390,19.51,114.43,5,49,14.608
