t_ms,mode,pwm,servo_count,servo_deg,pend_count,pend_raw_deg,pend_deg,ina_ok,v_bus,i_ma,p_mw
37,5,-27,2,0.352,2,0.352,0.352,True,14.624,42.7,626.0
191,5,27,21,3.691,10,1.758,1.758,True,14.604,47.0,684.0
413,5,-47,-65,-11.426,-37,-6.504,-6.504,True,14.544,61.4,892.0
603,5,49,16,2.813,109,19.16,19.16,True,14.508,70.2,1020.0
827,5,-42,-124,-21.797,-118,-20.742,-20.742,True,14.56,41.5,600.0
1029,5,47,58,10.195,217,38.145,38.145,True,14.508,70.0,984.0
1165,5,49,-131,-23.027,-210,-36.914,-36.914,True,14.5,72.0,1046.0
1296,5,-41,-141,-24.785,-177,-31.113,-31.113,True,14.58,53.3,776.0
1516,5,46,83,14.59,271,47.637,47.637,True,14.524,65.9,956.0
1742,5,-37,-190,-33.398,-342,-60.117,-60.117,True,14.588,53.2,776.0
1931,5,-50,53,9.316,292,51.328,51.328,True,14.528,64.9,944.0
2135,5,51,-66,-11.602,-31,-5.449,-5.449,True,14.524,66.3,964.0
2383,5,-40,-143,-25.137,-115,-20.215,-20.215,True,14.58,52.0,756.0
2560,5,-50,82,14.414,439,77.168,77.168,True,14.524,69.2,1006.0
2769,5,47,-200,-35.156,-368,-64.687,-64.687,True,14.524,66.5,960.0
2951,5,-37,-178,-31.289,-194,-34.102,-34.102,True,14.58,51.1,744.0
3158,5,45,92,16.172,484,85.078,85.078,True,14.528,66.4,964.0
3366,5,47,-205,-36.035,-383,-67.324,-67.324,True,14.52,68.6,996.0
3586,5,-37,-184,-32.344,-193,-33.926,-33.926,True,14.584,50.8,740.0
3769,5,-50,85,14.941,530,93.164,93.164,True,14.528,66.7,970.0
3979,5,46,-220,-38.672,-382,-67.148,-67.148,True,14.528,65.8,956.0
4221,5,-40,-150,-26.367,-96,-16.875,-16.875,True,14.576,48.6,708.0
4412,5,-29,77,13.535,573,100.723,100.723,True,14.608,47.6,694.0
4591,5,48,-178,-31.289,-224,-39.375,-39.375,True,14.532,65.4,950.0
4820,5,-32,-243,-42.715,-443,-77.871,-77.871,True,14.596,46.5,678.0
4996,5,46,76,13.359,523,91.934,91.934,True,14.524,63.0,914.0
5215,5,49,-10,-1.758,130,22.852,22.852,True,14.532,65.4,950.0
5427,5,45,-239,-42.012,-605,-106.348,-106.348,True,14.536,64.8,940.0
5633,5,-50,46,8.086,335,58.887,58.887,True,14.532,63.9,928.0
5872,5,-50,75,13.184,553,97.207,97.207,True,14.524,67.7,984.0
6036,5,-32,-243,-42.715,-556,-97.734,-97.734,True,14.596,48.3,704.0
6246,5,-35,-208,-36.563,-280,-49.219,-49.219,True,14.592,51.3,750.0
6440,5,-29,72,12.656,657,115.488,115.488,True,14.524,65.5,954.0
6650,5,50,-100,-17.578,-50,-8.789,-8.789,True,14.532,64.2,934.0
